#"+ESI Neutral Loss:1 (rt: 15.484-15.902 min, 13 scans) Frag=166.0V CID@22.0 -[355.2] LD_NL-MUFA_FAD173-5XFAD-M1-liverLD_100x.d "
#Point,X(Thomsons),Y(Counts)
0,700.0,41.8999977111816
1,700.1,251.14616394043
2,700.2,642.493896484375
3,700.3,819.333923339844
4,700.4,585.413940429688
5,700.5,190.681533813477
6,700.6,198.13850402832
7,700.7,459.061553955078
8,700.8,559.095458984375
9,700.9,397.807739257813
10,701.0,132.792327880859
11,701.1,32.947696685791
12,701.2,30.4661560058594
13,701.3,29.38307762146
14,701.4,35.9692344665527
15,701.5,85.4046096801758
16,701.6,189.881591796875
17,701.7,250.084625244141
18,701.8,200.123107910156
19,701.9,90.403076171875
20,702.0,20.6030788421631
21,702.1,83.7938537597656
22,702.2,442.404663085938
23,702.3,890.376953125
24,702.4,984.644653320313
25,702.5,631.155517578125
26,702.6,176.313858032227
27,702.7,29.0153846740723
28,702.8,26.1753845214844
29,702.9,28.6061573028564
30,703.0,40.9846153259277
31,703.1,49.650764465332
32,703.2,82.4523162841797
33,703.3,132.241546630859
34,703.4,140.130783081055
35,703.5,96.410774230957
36,703.6,34.963077545166
37,703.7,191.600021362305
38,703.8,808.664672851563
39,703.9,1512.23559570313
40,704.0,1700.3125
41,704.1,1192.61083984375
42,704.2,695.106201171875
43,704.3,985.250854492188
44,704.4,1990.87097167969
45,704.5,2527.64306640625
46,704.6,1995.51867675781
47,704.7,959.935424804688
48,704.8,211.678482055664
49,704.9,34.6953887939453
50,705.0,24.8323097229004
51,705.1,22.8769226074219
52,705.2,37.1600074768066
53,705.3,39.2600021362305
54,705.4,33.1892318725586
55,705.5,32.1000022888184
56,705.6,35.3830795288086
57,705.7,157.633865356445
58,705.8,372.363067626953
59,705.9,456.716949462891
60,706.0,338.85546875
61,706.1,193.530776977539
62,706.2,233.11540222168
63,706.3,349.503082275391
64,706.4,329.606140136719
65,706.5,183.601547241211
66,706.6,53.3569259643555
67,706.7,42.3323097229004
68,706.8,45.3815460205078
69,706.9,107.127700805664
70,707.0,222.139999389648
71,707.1,247.576934814453
72,707.2,176.326171875
73,707.3,372.566192626953
74,707.4,931.85546875
75,707.5,1324.22155761719
76,707.6,1281.47705078125
77,707.7,1188.00317382813
78,707.8,1383.57836914063
79,707.9,2026.94006347656
80,708.0,3227.07568359375
81,708.1,4789.146484375
82,708.2,5698.35595703125
83,708.3,5522.6015625
84,708.4,4856.0771484375
85,708.5,4227.109375
86,708.6,3598.18017578125
87,708.7,2671.62768554688
88,708.8,1509.25390625
89,708.9,513.493896484375
90,709.0,249.4892578125
91,709.1,308.652313232422
92,709.2,623.021545410156
93,709.3,806.978515625
94,709.4,1028.00012207031
95,709.5,1309.66784667969
96,709.6,1254.66613769531
97,709.7,794.607788085938
98,709.8,213.881561279297
99,709.9,36.6261558532715
