lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0135,AK0140,AK0142,AK0169,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,Blank-1x
Cer(d20:0/26:0(2OH)),2.847475307375312,6.576284617225956,59.92477176849771,9.855319975942164e-15,1.475341400398542e-11,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,Cer,60257.58404159546,548139.8922462463,11401.320793151855,94111.76588821413,23498.32154846192,10131.400749206545,15790.521091461182,33796.60206604004,18896.801445007324,25157.801864624023,11815.660804748535
Cer(t18:0/26:0(2OH)),2.073967372548848,5.784214833687164,32.89031472468207,9.750784565418055e-9,7.2984622472154145e-6,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,Cer,36233.4628944397,291107.3196754456,9427.680702209473,41202.80269241333,17902.361499786377,7793.180530548096,29897.781887054443,19827.60152053833,17015.521141052246,15974.581268310549,3491.180248260498
Lyso_PS(18:0) | PS (18:0),1.2423441860477946,8.781127302095587,11.984164637140111,5.365453869137207e-4,0.20080211105246,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,PS,501541.6763916016,462335.9404296875,525926.1925048828,1224876.2774658203,163862.77185058594,174079.53198242188,131005.0693359375,291916.7421875,206014.31567382807,301890.8231201172,90023.586181640625
Lyso_PS(18:0) | PS (18:0)_2,1.2434038632570947,8.790542724322489,12.004582084682852,5.306991031649519e-4,0.20080211105246,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,PS,520176.6541748047,461026.2768554688,536274.95166015625,1209579.6811523438,164198.19018554688,169691.4312133789,135240.58959960938,291442.2243041992,209770.2740478516,303361.02087402344,91770.22717285156
C18:1,1.185704038857636,8.707848418038674,10.917346366964921,9.526797535565505e-4,0.2852323182148312,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,FA,1269482.4680786133,15387.740982055664,7960.440567016602,1058808.2702026367,13787.300930023192,7953.66056060791,7970.760578155518,7946.760551452637,909280.2488098145,9939.86066055298,238230.0756225586
PE (16:1),-1.1336972375272438,7.886954706538447,9.018591657290017,0.002672472270438194,0.5715272841208537,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,PE,205148.35388183597,138841.37060546875,116196.50927734376,98413.74710083008,68551.14440917969,120157.18759155272,99047.1069946289,155220.13092041016,64574.42405700684,1046679.6766357422,30637.902252197266
TAG(58:7)_FA 20:0,1.0940123692620152,9.789998076179543,9.293263376806863,0.002299980706695805,0.5715272841208537,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,TAG,1193952.213317871,812895.1039428711,809390.9869384766,3211269.421142578,633503.8635253906,383496.1295776367,205401.77688598636,664380.4997558594,537262.848449707,595594.7951965332,21032.88150024414
C18:0,1.0072029280190324,12.549230875282445,7.873765344382264,0.005015710463002288,0.9385648203893031,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,FA,11906935.778808594,13004.70086288452,7959.860565185547,11930306.547519684,9615.780658721924,7956.4605712890625,7970.400573730469,7948.500526428223,10898688.570976255,7958.540504455566,5543847.183898926
"(11Z,14Z)-eicosadienoylcarnitine",-0.38745644188103423,10.507431479390801,1.1112850484410048,0.29180277805344146,0.9987318603105225,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,CAR,1386486.881225586,1270323.0888671875,1016258.3680419922,1079225.223022461,1106398.5203857422,1174063.134399414,979734.911468506,1315000.8809814453,1150253.9196777344,1287640.1538085938,283604.8807868957
(11Z)-eicoseneoylcarnitine,-0.42732197938824196,10.594853873134946,1.3484627085490504,0.245547048040067,0.9987318603105225,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,CAR,1385807.142211914,1307461.673461914,1112698.895263672,1170394.5592041016,1173379.2845458984,1273471.4271240234,1123954.2408447266,1403092.8359375,1211117.0444335938,1347732.7966308594,285046.4786605835
"(13Z,16Z)-docosadienoylcarnitine",-0.3879043539375352,10.186593324491554,1.1138246870186777,0.2912520550785745,0.9987318603105225,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,CAR,1193675.4536132812,917784.1473388672,858200.9806518555,963797.73193359375,901172.6478271484,994215.9099121094,775983.2182006836,1021483.6547241212,944415.6671142578,1117817.3359375,181664.57362365723
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.34962820384106347,11.176330092590964,0.9069212585982314,0.3409326212072583,0.9987318603105225,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,CAR,2312001.0830078125,1738335.9741210938,2065626.0770263672,2302781.201599121,1975725.435546875,1865403.3950195312,1796025.6650390625,1691230.3599853516,2450736.817749023,2114082.271484375,114023.58724212646
"(5Z,8Z)-tetradecadienoylcarnitine",-0.37660050435221715,9.651172220847663,1.050562548220114,0.3053775625365399,0.9987318603105225,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ WT | time point_ 28d ISCI,CAR,764319.49365234375,655389.2666015625,582569.9982910156,646658.5451660156,623829.7839355469,648136.1826171875,516543.6394042969,733716.3115234375,634336.0673828125,712078.0900878906,158361.42999267578
