lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0145,AK0164,AK0174,AK0175,Blank-1x
C20:1,5.778146260450233,7.685219545555934,192.44228668440252,9.316441294940455e-44,1.394671261852586e-40,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,7964.540580749512,3387301.2391319275,7954.940528869629,8603.780624389648,7946.740524291992,7940.500556945801,7976.280590057373,11042.180751800535,7964.840518951416,7953.040557861328,7982.56058883667
Cer(d20:0/26:0),1.9793595953355128,7.5164439488447,33.87332354697719,5.881969911201422e-9,4.402654478534265e-6,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,Cer,122976.50982284546,21008.941318511963,64888.283515930176,897382.4204978943,972553.6929969788,22905.54180145264,12331.600761413574,41083.24278640747,8932.380596160889,244944.81497573853,3579.960254669189
C18:4,1.8927132164609926,9.612155682039818,31.238520855424213,2.2819282004243133e-8,1.1386821720117323e-5,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,2894270.9978027344,405599.84588623047,285829.51916503906,5712751.576690674,372092.9291992188,323099.70404052734,404067.07208251953,266600.91885375977,571434.2774658203,318459.9401245117,127843.58934020996
C18:2,1.8163399630313979,11.540492258419457,28.982276804985304,7.304353396966748e-8,2.7336542588148054e-5,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,30382811.85083008,1749622.048370361,1030637.5733642578,3706070.332885742,1180134.9066505432,1968676.159423828,2159391.643737793,774634.73876953125,2530091.049926758,1219379.9229125977,191511.09341430664
C20:0,1.601582478573134,4.118840261654167,22.981877780540344,1.6353575296843277e-6,4.896260443874877e-4,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,7966.260536193848,129144.51029586792,7959.200504302978,7964.340545654297,7952.04052734375,7947.500576019287,7977.6005783081055,7975.580577850342,7970.800552368164,7956.640556335449,7982.38060760498
Cer(t18:0/26:0(2OH)),1.540489457589154,5.770057086340283,21.390860787509155,3.7455233546961634e-6,9.345080769966928e-4,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,Cer,10586.800743103027,12692.780986785889,30666.9022064209,225540.09686279297,276953.3325691223,15254.46109008789,7124.720485687256,20583.52146911621,5092.140342712402,84920.7845993042,3491.180248260498
C24:5,1.3989416553552798,11.783386126398254,17.869143120071392,2.3662687668892304e-5,0.005060434777190254,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,28005625.03112793,3050610.21774292,1810146.6446228027,4780553.716369629,1804504.928527832,2821938.868713379,3108907.9731445312,1778013.4094543457,3056002.045700073,1619711.4777832031,505308.3322067261
C22:1,1.075238773184786,10.937275066161309,10.84949603190762,9.882264822311537e-4,0.18492188048750463,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,FA,13455427.26031494,1840780.876789093,1091551.633239746,2633722.0825195312,1314462.6401062012,2262475.203582764,1976226.8056030276,1072527.111175537,2300666.792984009,1102661.9021606443,229673.77950286865
"(11Z,14Z)-eicosadienoylcarnitine",0.24338666663407332,10.083394460542669,0.5885060515429359,0.44299740146033484,0.9992206602743139,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,CAR,1380411.956298828,1179871.0670166016,1218773.5845947266,1302167.092163086,1176849.5888671875,2821156.5366210938,1130798.7427978516,1181701.8826904297,1254938.1559448242,1132406.2965698242,283604.8807868957
(11Z)-eicoseneoylcarnitine,0.2537863086179034,10.156482876095787,0.6395056180481333,0.4238898767307339,0.9992206602743139,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,CAR,1499141.0727539062,1159558.7852783203,1202099.1199951172,1561939.1799316406,1278446.3055419922,2960353.279296875,1128833.5732421875,1278053.767944336,1238776.1319580078,1282045.1535644531,285046.4786605835
"(13Z,16Z)-docosadienoylcarnitine",0.2762658435162052,9.964547869082384,0.7568627934906544,0.38431209005909095,0.9992206602743139,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,CAR,1488449.0466308594,1193195.6975708008,1149769.7707519531,1397754.8560791016,1063207.8836669922,2707231.5189208984,1079653.0477294922,1238666.0463256836,1221247.5565185547,1017794.9621582032,181664.57362365723
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.05005011186354152,10.733167888305045,0.02525280773988925,0.8737387416724208,0.9992206602743139,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,CAR,2612464.2541503906,1584487.484008789,1759009.0557861328,2210718.679321289,2266709.955444336,4539267.546386719,2139352.323059082,2044519.1489868164,2786300.2643432617,2522326.7109375,114023.58724212646
"(5Z,8Z)-tetradecadienoylcarnitine",0.36269486829484443,9.373876370251716,1.2980077145039104,0.2545774583667105,0.9992206602743139,6,4,Genotype_ cKO | time point_ healthy,Genotype_ WT | time point_ healthy,CAR,1094941.124267578,718203.7386474609,721524.2933959961,936592.482421875,645266.2047119141,1766401.763671875,699176.3087768555,659514.9055175781,764933.9527587891,652278.2630615234,158361.42999267578
