lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,AK0145,AK0164,AK0174,AK0175,Blank-1x
C20:0,9.095173189090342,10.79051804319696,280.56172431826417,5.664832963848375e-63,8.480254946881017e-60,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7962.060558319092,7282259.104370117,3481641.4356536865,1868761.908214569,7970.640548706055,7967.440536499023,7977.6005783081055,7975.580577850342,7970.800552368164,7956.640556335449,7982.38060760498
C20:1,7.33118243604723,9.15612536601,212.76856345184888,3.4187087387011777e-48,2.5589034909178315e-45,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7961.680530548096,1986363.870147705,1209698.3086586,838526.0964393616,7981.80057144165,7960.600532531738,7976.280590057373,11042.180751800535,7964.840518951416,7953.040557861328,7982.56058883667
C19:0,-4.269564419862812,11.01060656794825,130.27823094897377,3.561835097136472e-30,1.7773557134710995e-27,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7960.260559082031,1059006.3234291077,8068.940589904785,23827.90168762207,7966.140563964844,7956.360549926758,17100273.705768585,13906721.654541016,18006.801136016846,7951.920562744141,10814.50089263916
Cer(d20:0/26:0(2OH)),-2.904254264190158,6.624733120872965,66.11592400368926,4.2516692565718166e-16,1.5911872192720023e-13,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,Cer,23498.32154846192,10131.400749206545,15790.521091461182,33796.60206604004,18896.801445007324,25157.801864624023,47042.62385940552,36811.48260116577,934894.2044754028,190485.75704956052,11815.660804748535
C18:1,-2.135455007055665,9.194223403747777,37.02690022656316,1.1651071515000274e-9,3.4360982931108265e-7,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,13787.300930023192,7953.66056060791,7970.760578155518,7946.760551452637,909280.2488098145,9939.86066055298,1552003.7389526367,915327.4682312012,1626866.467254639,1097749.0740356443,238230.0756225586
C20:3,2.347806754148816,7.83361577665704,36.70085009672039,1.377193704653638e-9,3.4360982931108265e-7,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,7961.200519561768,601637.4836425781,440364.6297492981,368083.64696502686,7967.140556335449,7957.88053894043,19220.861457824707,391500.4481658936,7964.820560455322,7953.920543670654,7980.980609893799
C18:0,-1.9180972699063148,12.891647053991285,30.076524662484417,4.153286014070231e-8,8.88209880437591e-6,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,9615.780658721924,7956.4605712890625,7970.400573730469,7948.500526428223,10898688.570976255,7958.540504455566,14504722.104736328,9520386.383178713,13695625.021362305,12505735.22674179,5543847.183898926
C15:1,1.7936616225715978,11.415643998613913,22.64090470323572,1.952824506461735e-6,3.654222857716522e-4,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,FA,3027454.519836426,2725583.9951782227,1562332.9965820312,1924519.3202514648,1563118.1477661133,1509064.061767578,968810.4743652344,860388.900970459,1112653.8436279297,1348329.6302490234,1725227.109222412
PI (14:1),1.5997125026579588,2.9075249837965815,18.323538820559477,1.863898690570403e-5,0.003100284821982104,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PI,6856.800373077393,8058.4605712890625,8416.52053451538,7662.880554199219,7386.060531616211,4264.680313110352,5953.940464019775,5064.360424041748,4037.1203079223633,3309.700225830078,1559.7401123046875
Lyso_PG(18:4),-1.4794969260442292,10.29342025314543,18.050610874775288,2.1510961249610917e-5,0.003220190899066754,6,4,Genotype_ WT | time point_ 28d ISCI,Genotype_ WT | time point_ healthy,PG,151242.47003173828,126781.00955200195,114769.20919799805,159162.1885986328,144929.26998901367,171985.7088623047,903768.1249389648,1190525.328918457,949961.8805541992,165826.90878295898,1838982.054840088
