lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD93_F4_Female_5xFAD_cerebellum_N1_Brain_Region,DOD93_F4_Female_5xFAD_cortex,DOD93_F4_Female_5xFAD_diencephalon_N1_Brain_Region,DOD93_F4_Female_5xFAD_hippocampus_N1_Brain_Region,DOD94_F4_Female_5xFAD_cerebellum_N1_Brain_Region,DOD94_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_diencephalon_N1_Brain_Region,DOD94_F4_Female_5xFAD_hippocampus_N1_Brain_Region,FAD185_M1_Male_5xFAD_cerebellum_N1_Brain_Region,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_diencephalon_N1_Brain_Region,FAD185_M1_Male_5xFAD_hippocampus_N1_Brain_Region,FAD185_M3_Male_5xFAD_cerebellum_N1_Brain_Region,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_diencephalon_N1_Brain_Region,FAD185_M3_Male_5xFAD_hippocampus_N1_Brain_Region,FAD189_M1_Male_5xFAD_cerebellum_N1_Brain_Region,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_diencephalon_N1_Brain_Region,FAD189_M1_Male_5xFAD_hippocampus_N1_Brain_Region,FAD189_M2_Male_5xFAD_cerebellum_N1_Brain_Region,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_diencephalon_N1_Brain_Region,FAD189_M2_Male_5xFAD_hippocampus_N1_Brain_Region,DOD94_F3_Female_WT_cerebellum_N1_Brain_Region,DOD94_F3_Female_WT_cortex,DOD94_F3_Female_WT_diencephalon_N1_Brain_Region,DOD94_F3_Female_WT_hippocampus_N1_Brain_Region,FAD184_F3_Female_WT_cerebellum_N1_Brain_Region,FAD184_F3_Female_WT_cortex,FAD184_F3_Female_WT_diencephalon_N1_Brain_Region,FAD184_F3_Female_WT_hippocampus_N1_Brain_Region,FAD184_F4_Female_WT_cerebellum_N1_Brain_Region,FAD184_F4_Female_WT_cortex,FAD184_F4_Female_WT_diencephalon_N1_Brain_Region,FAD184_F4_Female_WT_hippocampus_N1_Brain_Region,FAD185_M4_Male_WT_cerebellum_N1_Brain_Region,FAD185_M4_Male_WT_cortex,FAD185_M4_Male_WT_diencephalon_N1_Brain_Region,FAD185_M4_Male_WT_hippocampus_N1_Brain_Region,FAD189_M3_Male_WT_cerebellum_N1_Brain_Region,FAD189_M3_Male_WT_cortex,FAD189_M3_Male_WT_diencephalon_N1_Brain_Region,FAD189_M3_Male_WT_hippocampus_N1_Brain_Region,Blank_Blank_Blank_Blank_Blank_N1_Brain_Region
[TG(58:7)|TG(57:0)]_FA20:4,1.6442460999304178,9.230199420568573,63.00310571116279,2.063809084974692e-15,5.712998785225397e-13,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,209015.3346557617,343217.86700439453,175251.79272460938,153569.63049316406,814380.4487915039,188327.313659668,205692.61584472656,210022.51385498047,1642628.0184936523,1778683.4533081057,1004728.8587646484,571284.4348144531,7917442.884033203,16304391.749145508,4355432.104003906,1107321.9151611328,16998902.05126953,17543202.650390625,3790415.492675781,1010390.6930541992,7668639.425720215,1577170.6771240234,1616543.579711914,755392.5531616211,152078.1902770996,147697.05010986328,224826.7969970703,93939.92599487305,150061.1708984375,243892.13793945313,127190.60919189452,199685.4938354492,258788.9163208008,233005.97705078125,175641.1312866211,145799.90948486328,3736213.030761719,10064502.116394045,381427.88830566406,170313.31188964844,261854.79626464844,853664.1517333984,249859.7368774414,218704.81463623047,40370.902770996094
DG(37:3)_C16:0,1.598199028121175,9.592781583582472,59.72851205553593,1.0888756705293092e-14,2.763022013968122e-12,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,DAG,1729280.427886963,1085617.3080444336,5661513.271759033,1703547.8323059082,1930320.427307129,491006.1948852539,1538141.663131714,2444192.65499878,5928213.67098999,7613067.869995117,5747844.916275024,1844490.486328125,1733521.9427490234,6050284.115081787,35744.962787628174,1522630.9206542969,4645909.74987793,149847.90839767456,6325723.439880371,6909461.872802734,6879570.826812744,4288582.232208252,13003199.079925535,7454677.854705811,695420.4795074463,616216.1190490723,650873.919631958,239009.2182998657,76950.06562805176,35689.22253036499,530278.8203392029,1207806.7330322266,33954.64236831665,1911860.2387619016,33508.562324523926,2100219.433197021,540906.0047302246,728951.5485534668,1606106.962097168,2159736.0388183594,1126048.0227508545,5016429.39855957,1483191.7973632813,34388.34246444702,40108.38299560547
[TG(56:9)|TG(55:2)]_FA20:4,1.5154977765825692,9.515429687829869,54.03250657329693,1.9720000401933674e-13,4.619030863376003e-11,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,193544.15423583984,290704.1846923828,93511.70654296876,113209.62756347656,747425.8942871094,167696.5101928711,119901.66845703124,97221.06677246094,1798040.7994384766,1967763.5524902344,710774.0825805664,260268.75659179688,8524947.020996094,19739522.83642578,4966659.476318359,1159066.430419922,23256633.8046875,24614767.76434326,4864657.1708984375,812095.219543457,8137997.686645508,1730545.5935058594,1651173.499267578,525815.5386352539,157983.45001220703,170876.7108154297,437308.7126464844,89005.3062133789,107140.60772705078,330199.12341308594,105789.96746826172,116929.24786376952,180683.05352783203,202812.35455322263,118323.04913330078,81443.745849609375,4242381.1875,15195345.26107788,432843.5347900391,159858.5714111328,242354.19677734372,1451106.3138427734,219826.7360229492,122788.88848876952,48443.04309082031
DG(34:0)_C16:0,1.512585588824277,4.335147745625408,53.83130789547613,2.1846364048623037e-13,4.751584180575511e-11,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,DAG,235700.91619110107,6686.820503234863,6597.920379638672,4017.300235748291,5100.6403465271,4413.720336914063,118578.6499786377,4104.560279846191,154598.57180404663,239704.4772644043,73266.00559997559,307239.58154296875,228063.4772529602,161903.45015716553,95866.02730560304,262933.4620628357,9511.720603942871,4456.900276184082,144490.35014343262,6343.620452880859,31580.942378997803,5498.960433959961,414169.4259567261,4784.240379333496,3189.440223693848,134117.96994018555,2639.440185546875,2619.7601928710938,2628.3801918029785,2630.620174407959,2640.200183868408,135001.09184646606,2631.440196990967,106689.14765548706,2658.6001930236816,7551.460651397705,6028.580383300781,4948.480373382568,8512.060558319092,9148.260459899902,88697.66715621948,6829.180461883545,5086.060325622559,2629.2001762390137,3417.0002250671387
[TG(51:5)]_FA16:0,-1.4495355201544877,9.064527322548386,52.609063901978516,4.070065025629434e-13,8.262232002027751e-11,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,2931255.063415528,2662633.2572021484,1217572.9246826172,887771.9512329102,1999388.9141845703,2818020.0678100586,2281598.5595092773,3198751.1602783203,97145.26721191406,132702.60998535156,166181.71142578125,178758.43466186523,229528.5000610352,129032.44927978516,111385.56838989258,148210.54956054688,143135.4105834961,116820.0492553711,93078.70654296876,81822.72570800781,89896.92712402344,117311.1682434082,81872.58630371094,112672.90786743164,1790147.5181274414,2532498.1764526367,2945299.695373535,3692049.331726074,2605371.924621582,2619980.700744629,1868717.6813354488,1366759.6182250977,1951277.5197143557,1548488.1408081057,1836448.1845703125,2377087.437561035,1927948.7284545896,1867990.1942749023,2950756.5749206543,2732314.543823242,2644644.3455200195,742645.9927978516,938144.8584594728,2131708.7568969727,39190.08248901367
[TG(57:10)|TG(56:3)]_FA18:0,1.48326329834405,9.292204013233025,51.87796138535484,5.905960468697657e-13,1.1239781016990227e-10,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,354124.04736328125,746420.4553833008,255501.9771728516,323657.72424316406,898084.76513671875,327259.2608642578,378215.46520996094,396806.0255126953,2024598.7119140625,2812167.376220703,1747088.8176269531,731171.4381103516,7224117.029296875,15283537.65197754,4424058.561279297,1658019.0948486328,15068046.932128906,16527461.751342772,3966932.4439086914,1797301.6671142578,6642723.069702148,2312920.196533203,1574035.2817382813,979512.8357543944,371757.7614746094,252815.4339599609,613320.8469238281,159467.4721069336,203809.43432617188,397273.4122314453,402701.30670166016,392010.63067626953,541845.7578125,474341.0657348633,359602.74475097656,177720.77178955078,3594299.6044921875,9031466.37548828,521836.0505371094,296566.142578125,515471.9920043945,799949.4644775391,476363.6352539063,295754.3607788086,43386.563079833984
[TG(54:5)]_FA18:0,1.4736882159680826,9.10273821889648,51.245174340205324,8.15208861110049e-13,1.4601829306353525e-10,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,149058.6099243164,224485.0567626953,84385.10552978516,97698.78680419922,587541.5015869141,132557.0889892578,102937.7667236328,83960.24548339844,1378400.185180664,1492318.643798828,539686.3529052734,198989.31134033203,6415723.7333984375,15085160.431762695,3904012.3850097656,905537.53564453125,16791606.653320313,18684640.31890869,3457017.958129883,633252.1180419922,5833877.726257324,1312877.5151367188,989692.5030517578,406648.6701660156,140613.5297241211,150743.7322998047,331125.22161865234,69930.7646484375,104603.42761230467,278803.5610961914,100708.1669921875,99288.34759521484,159127.21130371094,159153.65118408203,98809.48712158205,66880.90515136719,3361785.062988281,11357279.245239258,319230.0787353516,130602.22912597656,202598.19317626956,1047550.8904418944,189485.2533569336,103340.40740966795,45290.223083496094
[TG(51:6)]_FA16:1,-1.423794347904268,9.217377792317832,50.8019998601485,1.0216955804211875e-12,1.7283683568791755e-10,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,3298346.54876709,2958775.952270508,1323807.096069336,1047698.9948120116,2280555.256958008,3194918.0095214844,2538360.205932617,3570440.018432617,119831.58795166016,146931.69006347656,172532.13250732422,235628.35778808597,234403.5959777832,163424.91040039063,138761.81018066406,166777.21270751953,173561.09185791016,129036.94897460938,107613.30712890624,90604.30615234376,102036.62683105467,150070.03161621094,100200.18768310548,140699.15106201172,1836135.6170959475,2587639.991394043,3139000.044067383,3810962.924530029,2911206.7399902344,2805761.458129883,2171144.057373047,1728675.4010009766,2046954.2775268557,1722077.7590332031,2141164.031677246,2649432.7713623047,2325363.301635742,2157816.8165893555,3389315.184692383,2921303.8751220703,2673347.673339844,819853.119934082,995255.1878051758,2860349.9962158203,41019.22302246094
[TG(57:12)|TG(56:5)]_FA18:2,1.4586888107709914,9.494931246655776,50.26064430357462,1.3462250379313054e-12,2.157502758158329e-10,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,375341.6654663086,843120.9981689453,280421.6361694336,367228.7813110352,1071100.0213623047,362570.4654541016,390303.39025878906,435296.4709472656,2276504.5861816406,3050178.5345458984,1952659.9949951167,986785.0477294922,8441733.1611328125,16995880.77380371,5242910.946044922,1827373.2243652344,16960404.431640625,18438864.83972168,5251584.755859375,1966623.3892822263,8046625.0693359375,2618191.253051758,1969789.5361328125,1128849.8087158203,403290.5104980469,293535.4989013672,663654.440246582,187006.0157470703,256642.74005126956,461261.3913574219,415274.2276611328,429406.5279541016,648714.1624755859,536300.6734008789,408651.07177734375,203441.07550048828,4213833.432128906,10600961.143798828,648965.6031494141,338146.7650756836,589411.7830810547,1053421.3293457031,546881.0783691406,334294.84118652344,49453.223205566406
[TG(53:8)|TG(52:1)]_FA18:3,-1.4086569026721982,8.779321094020299,49.75274451283076,1.743940705058062e-12,2.6551497234508993e-10,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,2382183.890991211,2150532.0334472656,966392.9443359376,733127.6768188477,1638751.4934082031,2183433.3715820313,1793001.0830688477,2558327.557006836,133910.23040771484,180654.03326416016,181652.83142089844,213100.61627197263,241532.37701416016,231202.23846435547,147479.34893798828,172342.15173339844,214859.35546875,191248.95178222656,129976.0692138672,119528.40829467772,136335.42834472656,163127.17059326172,112296.96783447266,139670.43029785156,1398188.7661743164,2046916.57409668,2447243.609436035,2826797.2276000977,2102161.3013916016,2038674.369506836,1555246.9947509766,1193189.1926269531,1607784.1568603516,1234462.473022461,1567829.4393920898,1985450.8454589844,1581536.075744629,1566839.3920288086,2401105.703460694,2189673.580200196,2254872.9161987305,661107.16650390625,761810.2095947266,1671665.2318725586,35997.24267578125
[TG(51:4)]_FA14:0,-1.4050213466167258,8.423546761107977,49.502190821844124,1.981503202571078e-12,2.7663336191793445e-10,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,1811112.022125244,1773224.271484375,753848.82666015625,587949.2760009766,1326297.2395019531,1832418.6748046875,1383185.262664795,1983704.681274414,94592.6475830078,108547.54736328124,117844.72747802734,173716.59295654297,151165.7688293457,112186.84884643556,99326.88732910156,129466.10809326172,125277.56646728516,107290.3677368164,99680.28631591795,92858.4071044922,83876.72576904297,133083.69061279297,76457.48529052734,117728.94714355467,1111713.9201049805,1483829.4456176758,1855686.754699707,2301213.319763184,1702715.2366027832,1653803.7844848633,1272530.4231567385,813765.5987243652,1159383.3270874023,904804.5995483398,1139243.806274414,1468196.5677490234,1377098.6431884766,1252804.9055786133,1981017.0781860352,1697107.4505004885,1602283.202178955,551434.9449462891,610275.0083618164,1406813.5804748535,82697.70608520508
[TG(56:6)]_FA18:3,1.446787387639449,9.574014094849408,49.485272948114016,1.9986646838077365e-12,2.7663336191793445e-10,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,427285.1746826172,891091.2254638672,317370.40368652344,383316.9846191406,1122193.3670654297,370051.88818359375,443107.2315673828,468013.7932128906,2530410.805053711,3421135.651245117,2126993.405151367,963326.6995849608,9094665.759765623,18540212.509277344,5175219.840942383,2037285.465576172,18007226.74346924,19625568.734375,5452877.479980469,2155321.834960937,7378789.3828125,2670460.613220215,2006515.9050292969,1212652.810119629,438406.10791015625,329732.78479003906,713123.1589355469,206363.21612548828,254741.0390625,517649.6123046875,446051.1340942383,493714.3928222656,673140.8782958984,593927.0855712891,439929.8487548828,239746.25592041016,4184810.057373047,11406098.452026367,688042.205078125,358591.9665527344,629936.861328125,1116602.6541748047,602802.9119873047,354566.5030517578,77564.0658569336
[TG(57:11)|TG(56:4)]_FA18:1,1.4353002144291302,9.415888455231842,48.74178676077281,2.919787243026846e-12,3.8655444152246723e-10,24,20,Genotype_ 5xFAD | Region_ Brain,Genotype_ WT | Region_ Brain,TAG,381611.4053955078,843520.2747192383,285670.481628418,335830.8232421875,1052638.4206542969,359182.9029541016,401687.19177246094,410769.3276977539,2097619.41003418,2943675.2709350586,1729387.2676391602,846326.5197753906,7033007.064331055,16991797.455932617,4613641.12109375,1863100.9135742188,16299215.590820313,17338957.65753174,4994340.529052734,1860284.0654296875,7654108.523071289,2401187.067932129,1702132.4145507813,1032349.5600585938,398067.6519775391,303255.9664916992,616025.5849609375,179568.55419921875,201815.2554931641,443088.79052734375,404515.74853515625,435894.4509277344,612248.3125,518743.6163330078,368295.76696777344,204883.63623046875,4093393.2119140634,10090959.854736328,637430.6478271484,333809.7861328125,559217.2618408203,1012240.737548828,529302.0594482422,321478.5416870117,41847.18273925781
