Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5
FA(6:6),6,6,<BBBBB>,0,104.1,271.2,,,,,
FA(6:6),6,6,<BBBBF>,1,104.1,271.2,,,,,
FA(6:6),6,6,<BBBFF>,2,104.1,271.2,,,,,
FA(6:6),6,6,<BBFFF>,3,104.1,271.2,,,,,
FA(6:6),6,6,<BFFFF>,4,104.1,271.2,,,,,
FA(6:6),6,6,<FFFFF>,5,104.1,271.2,,,,,
FA(6:5),6,5,<BBBB>,0,106.1,273.2,,,,,
FA(6:5),6,5,<BBBF>,1,106.1,273.2,,,,,
FA(6:5),6,5,<BBFF>,2,106.1,273.2,,,,,
FA(6:5),6,5,<BFFF>,3,106.1,273.2,,,,,
FA(6:5),6,5,<FFFF>,4,106.1,273.2,,,,,
FA(6:4),6,4,<BBB>,0,108.1,275.2,277.2,,,,
FA(6:4),6,4,<BBF>,1,108.1,275.2,,265.2,,,
FA(6:4),6,4,<BFF>,2,108.1,275.2,,,253.2,,
FA(6:4),6,4,<FFF>,3,108.1,275.2,,,,241.2,
FA(6:3),6,3,<BB>,0,110.1,277.2,279.2,265.2,,,
FA(6:3),6,3,<BF>,1,110.1,277.2,,267.2,253.2,,
FA(6:3),6,3,<FF>,2,110.1,277.2,,,255.2,241.2,
FA(6:2),6,2,<B>,0,112.1,279.2,281.2,267.2,253.2,,
FA(6:2),6,2,<F>,1,112.1,279.2,,269.2,255.2,241.2,
FA(6:1),6,1,<>,0,114.1,281.2,283.2,269.2,255.2,241.2,
