Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6,n-7
FA(9:6),9,6,<BBBBB>,0,146.1,313.2,315.2,301.2,,,,,
FA(9:6),9,6,<BBBBF>,1,146.1,313.2,,303.2,289.2,,,,
FA(9:6),9,6,<BBBFF>,2,146.1,313.2,,,291.2,277.2,,,
FA(9:6),9,6,<BBFFF>,3,146.1,313.2,,,,279.2,265.2,,
FA(9:6),9,6,<BFFFF>,4,146.1,313.2,,,,,267.2,253.2,
FA(9:6),9,6,<FFFFF>,5,146.1,313.2,,,,,,255.2,241.2
FA(9:5),9,5,<BBBB>,0,148.1,315.2,317.2,303.2,289.2,,,,
FA(9:5),9,5,<BBBF>,1,148.1,315.2,,305.2,291.2,277.2,,,
FA(9:5),9,5,<BBFF>,2,148.1,315.2,,,293.2,279.2,265.2,,
FA(9:5),9,5,<BFFF>,3,148.1,315.2,,,,281.2,267.2,253.2,
FA(9:5),9,5,<FFFF>,4,148.1,315.2,,,,,269.2,255.2,241.2
FA(9:4),9,4,<BBB>,0,150.1,317.2,319.2,305.2,291.2,277.2,,,
FA(9:4),9,4,<BBF>,1,150.1,317.2,,307.2,293.2,279.2,265.2,,
FA(9:4),9,4,<BFF>,2,150.1,317.2,,,295.2,281.2,267.2,253.2,
FA(9:4),9,4,<FFF>,3,150.1,317.2,,,,283.2,269.2,255.2,241.2
FA(9:3),9,3,<BB>,0,152.1,319.2,321.2,307.2,293.2,279.2,265.2,,
FA(9:3),9,3,<BF>,1,152.1,319.2,,309.2,295.2,281.2,267.2,253.2,
FA(9:3),9,3,<FF>,2,152.1,319.2,,,297.2,283.2,269.2,255.2,241.2
FA(9:2),9,2,<B>,0,154.1,321.2,323.2,309.2,295.2,281.2,267.2,253.2,
FA(9:2),9,2,<F>,1,154.1,321.2,,311.2,297.2,283.2,269.2,255.2,241.2
FA(9:1),9,1,<>,0,156.1,323.2,325.2,311.2,297.2,283.2,269.2,255.2,241.2
