Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6
FA(8:6),8,6,<BBBBB>,0,132.1,299.2,301.2,,,,,
FA(8:6),8,6,<BBBBF>,1,132.1,299.2,,289.2,,,,
FA(8:6),8,6,<BBBFF>,2,132.1,299.2,,,277.2,,,
FA(8:6),8,6,<BBFFF>,3,132.1,299.2,,,,265.2,,
FA(8:6),8,6,<BFFFF>,4,132.1,299.2,,,,,253.2,
FA(8:6),8,6,<FFFFF>,5,132.1,299.2,,,,,,241.2
FA(8:5),8,5,<BBBB>,0,134.1,301.2,303.2,289.2,,,,
FA(8:5),8,5,<BBBF>,1,134.1,301.2,,291.2,277.2,,,
FA(8:5),8,5,<BBFF>,2,134.1,301.2,,,279.2,265.2,,
FA(8:5),8,5,<BFFF>,3,134.1,301.2,,,,267.2,253.2,
FA(8:5),8,5,<FFFF>,4,134.1,301.2,,,,,255.2,241.2
FA(8:4),8,4,<BBB>,0,136.1,303.2,305.2,291.2,277.2,,,
FA(8:4),8,4,<BBF>,1,136.1,303.2,,293.2,279.2,265.2,,
FA(8:4),8,4,<BFF>,2,136.1,303.2,,,281.2,267.2,253.2,
FA(8:4),8,4,<FFF>,3,136.1,303.2,,,,269.2,255.2,241.2
FA(8:3),8,3,<BB>,0,138.1,305.2,307.2,293.2,279.2,265.2,,
FA(8:3),8,3,<BF>,1,138.1,305.2,,295.2,281.2,267.2,253.2,
FA(8:3),8,3,<FF>,2,138.1,305.2,,,283.2,269.2,255.2,241.2
FA(8:2),8,2,<B>,0,140.1,307.2,309.2,295.2,281.2,267.2,253.2,
FA(8:2),8,2,<F>,1,140.1,307.2,,297.2,283.2,269.2,255.2,241.2
FA(8:1),8,1,<>,0,142.1,309.2,311.2,297.2,283.2,269.2,255.2,241.2
