Lipid,Class,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cortex10x_01202023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M1FAD173-5xFAD-Cortex10x_01182023,M1FAD173-5xFAD-Diencephalon10x_01182023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,M2FAD173-5xFAD-Cortex10x_01192023,M2FAD173-5xFAD-Diencephalon10x_01192023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-cerebellum10x_01202023,DOD100-M1-WT-cortex10x_01202023,DOD100-M1-WT-diencephalon10x_01202023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,DOD99-M2-WT-cortex10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,M5FAD173-WT-Cortex10x_01192023,M5FAD173-WT-Diencephalon10x_01192023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1256930.4736328125,1461574.3852539062,1498962.5366210938,1324620.29296875,1313193.267578125,1640511.7080078125,1469218.4106445312,1370506.4516601562,1395572.740234375,1468215.3647460938,1479341.6264648438,1476902.5249023438,1457662.7182617188,1455302.6083984375,1496397.3359375,1624465.5419921875,1408961.5532226562,1517652.2963867188,1650848.89453125,1410061.365234375,1450974.412109375,1300758.2841796875,1456478.2348632812,1453789.9145507812,1446175.0439453125,1356376.1943359375,1413134.9760742188,1548320.9340820312,1469500.5795898438,1553075.8388671875,1427365.9682617188,1770335.1005859375,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1262933.6362304688,1429124.1762695312,1490627.2612304688,1322329.38671875,1288290.3208007812,1620460.4702148438,1437470.2348632812,1349906.3383789062,1350856.4809570312,1434255.701171875,1481437.8369140625,1447970.6625976562,1431788.9677734375,1426995.7827148438,1510009.1274414062,1569963.0502929688,1357653.3920898438,1442118.8286132812,1611557.333984375,1408351.625,1464825.83203125,1332756.2084960938,1450859.4833984375,1448199.4814453125,1445031.9301757812,1313436.7885742188,1382104.2397460938,1567602.6728515625,1422254.4301757812,1536662.2856445312,1351883.9409179688,1833013.6752929688,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1200177.8431396484,1420361.1004638672,1468592.0839233398,1265010.6803588867,1229167.669921875,1801727.1483154297,1427897.3614501953,1293432.1517333984,1281745.7750854492,1494908.485961914,1472655.911315918,1486547.2768554688,1508125.2795410156,1415503.9500732422,1561466.8793945312,1530059.8298339844,1349872.0334472656,1514023.7989501953,1541192.444946289,1334500.4373779297,1547859.0264282227,1284612.1057128906,1468483.6235961914,1392547.188293457,1384342.3704833984,1277668.0494384766,1328693.3626708984,2235124.575866699,1401085.4095458984,1509455.984741211,1344775.7668457031,1846519.2565917969,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,1939767.9885253906,2184246.087890625,2392796.6845703125,2194784.690185547,2430496.0634765625,2414485.858154297,2492220.4825439453,2140645.078491211,2205746.576171875,2782494.2834472656,2412503.1643066406,2665311.731689453,2470854.0014648438,2515677.2600097656,2579735.21484375,2279392.241455078,2018780.2897949219,2177589.061767578,2093678.0153808594,2215148.1447753906,2341072.076904297,3004035.1204833984,2338786.4896240234,2234323.5102539062,2281951.5776367188,2011026.9294433594,2207064.514526367,2256080.6622314453,2132253.7890625,2188599.0122070312,2303434.2719726562,2077579.7651367188,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,154140949.5595703,29948597.337890625,24583201.19921875,30582186.538085938,92351915.6875,20847168.3828125,28337082.129882812,63344919.2109375,26648913.84375,28155528.892578125,139608184.45239258,16220704.654785156,16632944.549316406,22671427.51611328,26376597.729492188,24353723.305664062,65346110.588378906,34723637.06933594,25367756.571044922,97017264.08886719,75825428.85351562,15439015.444335938,26782130.583007812,62660995.83984375,29749622.64453125,37982357.49316406,71101793.19970703,69671289.73339844,40969587.21484375,18655737.474609375,66282272.07910156,1785924.2541503906,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1559599.7697753906,1770713.4094238281,1929676.4936523438,1606353.2426757812,1588900.2687988281,1850445.7600097656,1873921.4216308594,1693150.3903808594,1717515.3078613281,1793115.1359863281,1902876.1496582031,1906106.0573730469,1811327.671875,1852051.1657714844,2005393.2492675781,1901348.1828613281,1667394.3842773438,1707312.4143066406,1818268.4250488281,1807297.3984375,1808904.2744140625,1685194.9013671875,1825433.8562011719,1819888.0288085938,1820135.4990234375,1660596.78125,1740083.2781982422,2113105.662841797,1873401.7072753906,1881966.8132324219,1721781.189453125,2578376.0740966797,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1049124.5791015625,1260946.1431884766,1291661.7513427734,1110796.737915039,1070540.3215332031,1585961.4837646484,1253343.1610107422,1140392.4146728516,1137990.1825561523,1354965.4031982422,1276397.7185058594,1251955.5372314453,1271184.7647705078,1177180.6912841797,1314163.5539550781,1374031.0412597656,1143505.6591796875,1447871.6550292969,1433375.4030761719,1186263.4771728516,1355693.1580810547,1148186.4895019531,1245549.2482910156,1201712.4168701172,1244091.2459716797,1091271.1774902344,1155280.1492919922,1592147.222290039,1216621.2817382812,1370722.9538574219,1153606.4608154297,1684194.2908935547,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,10822962.869628906,17311510.770996094,16167813.693847656,23314671.77001953,19673378.95703125,18424387.296875,12741658.968261719,18254947.068847656,20298427.107910156,16605329.997558594,19088064.09716797,15744826.903320312,20722991.56201172,25047980.522460938,16634745.890625,13176578.108886719,21033323.51171875,24543649.78955078,15611679.194824219,14309309.020996094,11026079.612304688,25626555.60546875,16846448.53515625,14130034.278320312,19093728.143554688,21029996.708984375,17096836.13671875,13802748.841796875,15453683.577636719,8047711.1728515625,17868681.639160156,2395006.220703125,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,4548090.254638672,6556788.756103516,6473824.611083984,8245887.214111328,7191994.978515625,7022553.862060547,5412256.6162109375,7154281.061279297,7579394.700439453,6461878.519042969,7534727.410644531,6230783.154052734,7847061.452392578,9142425.646728516,6695696.98828125,5983506.459472656,7985043.2802734375,9132833.381347656,6682941.8681640625,5710127.011474609,4689957.828857422,8561014.840332031,6432831.161865234,5824302.9326171875,7210002.552490234,7636011.399658203,6656555.244384766,5732824.095458984,6411734.287353516,4199385.319580078,6981670.763916016,2817110.0759277344,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,10354077.518066406,16470506.173828125,15425044.841796875,22132601.1640625,18743120.123535156,17616816.35986328,12139073.696289062,17230450.004882812,19040901.25390625,15560660.842773438,18102972.64501953,14976742.081542969,19527801.967285156,23578611.47607422,15758916.812988281,12457421.822753906,19669121.095703125,23004359.768066406,14440797.770507812,13681185.669433594,10508922.293945312,24808766.91748047,16027996.416015625,13360938.161621094,17918375.471679688,19723779.49658203,16234431.179199219,13065989.963378906,14634731.657226562,7436995.044921875,16859631.28076172,2155070.9477539062,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WTBlank1,19,12,10xBlank_01202023
