Lipid,cereb,cortex,dienc,hippo
[TG(50:3)]_FA18:1_n-7,1,1,0,0
[TG(50:3)]_FA18:1_n-9,1,1,1,1
[TG(52:5)]_FA16:1_n-7,1,1,0,0
[TG(52:5)]_FA16:1_n-9,1,1,0,0
[TG(54:5)]_FA18:1_n-7,1,1,1,0
[TG(54:5)]_FA18:1_n-9,1,1,1,1
[TG(54:6)]_FA18:1_n-9,1,1,0,0
"[TG(55:10),TG(54:3)]_FA18:1_n-7",1,1,1,1
"[TG(55:10),TG(54:3)]_FA18:1_n-9",1,1,1,1
"[TG(55:11),TG(54:4)]_FA16:1_n-7",0,1,0,0
"[TG(55:11),TG(54:4)]_FA18:1_n-7",1,1,1,0
"[TG(55:11),TG(54:4)]_FA18:1_n-9",1,1,1,1
"[TG(55:8),TG(54:1)]_FA18:1_n-9",1,1,0,0
"[TG(55:9),TG(54:2)]_FA18:1_n-10",1,1,0,1
"[TG(55:9),TG(54:2)]_FA18:1_n-7",1,1,1,1
"[TG(55:9),TG(54:2)]_FA18:1_n-9",1,1,1,1
"[TG(56:7),]_FA18:1_n-7",0,1,0,0
"[TG(56:7),]_FA18:1_n-9",1,0,0,0
"[TG(57:11),TG(56:4)]_FA18:1_n-7",1,0,0,0
"[TG(57:11),TG(56:4)]_FA18:1_n-9",1,1,0,0
"[TG(57:12),TG(56:5)]_FA18:1_n-9",1,0,0,0
"[TG(57:9),TG(56:2)]_FA18:1_n-9",1,1,0,0
