Lipid,Class,DOD100-M1-WT-cortex10x_01202023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,33323.14264297485,36692.462463378906,37616.98265457153,36546.822441101074,47163.46329879761,38684.44284820557,39283.802684783936,41078.122703552246,34723.00240325928,36657.50228881836,39095.642879486084,41187.70300292969,48923.5634727478,37555.882331848145,27728.001831054688,22294.401321411133,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,119585.86815261841,94097.04789352417,71634.02543640137,86770.38639831543,152652.411567688,90605.04538345337,115558.20627593994,63072.24443435669,95524.1658706665,72723.06428146362,87146.86511993408,96314.38687133789,155467.693359375,73221.06582641602,71027.58568572998,49086.90395736694,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,24480.881874084473,24564.40146255493,21907.801445007324,23461.22156906128,21279.241298675537,21167.64161300659,21810.941791534424,16931.921321868896,22350.521404266357,19638.42140197754,19103.36149597168,20784.1814994812,21265.181526184082,19184.941383361816,21460.881801605225,32565.38228225708,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,100954.56726074219,77182.18599319458,67614.68476867676,83571.66579055786,112079.00816345215,75406.60494613647,98255.28512954712,63247.98458099365,77170.1263885498,71760.08392715454,66176.30462646484,78392.94470977783,109173.28615570068,77536.20505905151,111197.36640167236,104272.36771011353,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,304801.284576416,261576.97959136963,228328.85834503174,276514.42039108276,223601.65310287476,227696.1364517212,285917.71657562256,157930.9115447998,260292.91549301147,226606.41647338867,224349.4774131775,228741.71733093262,218882.65203475952,217872.79592895508,339689.64263916016,544596.580368042,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,38517.28271102905,36027.762283325195,42948.363021850586,40629.2631149292,42736.36308288574,30331.58203125,37163.8623008728,40477.462688446045,40271.942752838135,48901.74348449707,79985.14546966553,47302.34348678589,45007.06316757202,38794.08239746094,36310.98204803467,28402.641986846924,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,104923.82834243774,84782.36605834961,66330.18539047241,79647.96742630005,144407.71041107178,81413.10648345947,97751.66666412354,70156.98491287231,88004.54573059082,67973.50408935547,83376.7452545166,90403.96683502197,147981.1301498413,69986.14563369751,53195.04327392578,19274.341342926025,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,55029.08363342285,54183.54351043701,53711.363929748535,50479.26407623291,49155.66358947754,50361.163749694824,45911.8233833313,44181.50326156616,48533.30375289917,53109.183780670166,59416.14421081543,49011.963397979736,49433.40335083008,43722.223094940186,45070.7234954834,43334.30277252197,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,41975.34289932251,42159.56315231323,46103.00323486328,43672.76354598999,43331.863063812256,40639.18308258057,43771.94339752197,39518.76318740845,42280.12342071533,51340.90389251709,57042.14367675781,44456.16331863403,44925.50315475464,38691.3226890564,41486.06307220459,50665.82361602783,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,44340.323066711426,41978.902713775635,47592.20374298096,49289.16366195679,53856.84366226196,37718.002490997314,44351.12351226807,51899.823543548584,45861.98350524902,60920.963722229004,108743.84694671631,56296.36441421509,58732.24412536621,43761.362968444824,42019.50308609009,32940.40257644653,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,45042.482692718506,47917.14291381836,44551.783615112305,47179.88382720947,79700.04627227783,46306.862968444824,49861.92351913452,42341.26301193237,42481.76253890991,46389.883586883545,47993.662883758545,47969.623191833496,85672.64553451538,45309.76321029663,34593.72241592407,21537.66153717041,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,13229.820877075195,11874.980777740479,11112.440662384033,10774.420791625977,11614.500896453857,10037.64073562622,11459.260730743408,9018.440578460693,9886.160655975342,11597.380840301514,10146.580741882324,11086.620765686035,12243.720832824707,8869.920574188232,10810.2406539917,12759.900817871094,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
12-Hydroxy-12-octadecanoylcarnitine | 3-hydroxyoctadecanoylcarnitine,CAR,3537992.9995117188,4612804.606933594,5059683.297363281,4869216.183105469,5089087.544433594,4672021.863769531,3993657.2543945312,5983760.49609375,4456442.3203125,4906805.72265625,4376553.2001953125,5044906.811035156,5851287.732910156,5240845.183105469,2897261.4868164062,2428656.8916015625,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
15:0 Campesteryl ester_simulated | CE(16:0),CE,292253.8006591797,289878.5213623047,287886.201171875,309868.7003173828,121756.28823852539,94190.34649658203,101925.20712280273,282307.53967285156,344296.18408203125,322049.3430175781,282733.9587402344,277162.119140625,111289.70825195312,97976.74700927734,107436.90838623047,268696.0985107422,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
15:0 Campesteryl ester_simulated | CE(16:0)_2,CE,288007.4022216797,292477.3010253906,290238.64123535156,308109.24353027344,120988.00839233398,93845.26657104492,105516.18823242188,282309.6809082031,339298.6618652344,310006.2232055664,279367.6589355469,278571.67907714844,109775.18774414062,90888.4663696289,108698.96670532227,281328.5203857422,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
15:1 Campesteryl ester_simulated | CE(16:1),CE,278878.5386352539,296957.74169921875,290135.00103759766,308956.20349121094,120349.36853027344,108678.26788330078,115424.5080871582,295206.8620605469,325613.7829589844,314207.48400878906,285182.6004638672,267262.1589355469,111228.06823730469,104504.52752685547,126887.06896972656,282264.8193359375,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
15:1 Campesteryl ester_simulated | CE(16:1)_2,CE,286760.6004638672,299675.64099121094,298718.8214111328,295662.2412109375,121086.38803100586,111295.56848144531,118771.74865722656,280321.3400878906,332167.22412109375,320285.1428222656,290290.8615722656,274924.6597290039,109240.58813476562,110252.7873840332,121661.82904052734,287922.24072265625,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
16:0 Campesteryl ester | CE(17:0),CE,181109.19328308105,482661.26905822754,230368.095413208,438289.16777038574,157669.31104660034,44475.383281707764,77134.06510925293,336776.8264312744,599021.1501617432,364204.10803222656,448713.8888244629,328525.7266998291,151944.7908821106,56299.903301239014,76195.66496658325,121273.30940246582,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
16:0 Campesteryl ester | CE(17:0)_2,CE,187184.91275024414,457017.1744232178,232697.2156829834,443183.8342895508,162404.1529197693,42214.92322540283,79354.32606506348,347830.1068267822,609993.4200134277,360084.2857208252,463799.4299316406,326737.56340026855,156451.45086669922,55858.1439781189,75534.00523757935,125768.08905029297,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
16:2 Campesteryl ester,CE,167781.59133911133,468778.72998046875,229844.91590881348,418315.46867370605,165206.61423492432,43435.38317108154,74919.82628250122,342955.9080352783,625300.3235015869,333241.1462402344,437722.5107727051,310051.0410308838,152684.90951156616,56317.044551849365,69768.96461868286,117353.56846618652,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
16:3 Campesteryl ester,CE,170507.59172058105,456562.51862335205,217033.97341918945,427672.8699798584,160582.991481781,41053.32256317139,75315.50601577759,332875.0812988281,615577.7465820312,344850.82232666016,433388.474029541,310477.7449951172,157380.9925956726,58418.86434555054,71218.46506500244,114802.70822143555,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
16:3 Stigmasteryl ester,CE,238233.19439697266,542890.2322692871,303466.01583862305,491452.9175415039,177535.57064819336,70479.92538833618,112134.62752532959,417130.14904785156,727697.5627822876,427144.43183898926,529747.2166748047,365903.52224731445,192696.09077453613,87870.18571090698,105826.88729095459,174687.61349487305,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester,CE,269417.33947753906,609582.4785461426,339927.88663482666,589933.1188049316,196164.55129241943,63067.42455291748,103941.22734069824,472836.29583740234,855093.6213684082,510967.8601989746,612365.7075805664,411432.90814208984,204385.93420410156,84979.48628616333,95725.1279220581,197711.39486694336,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester_2,CE,275774.5595397949,612892.9210205078,352186.2632141113,578218.7215881348,199214.2363128662,66339.54444122314,105990.80756378174,467518.1094055176,852660.2135925293,521878.4792175293,601565.9233398438,432811.65029907227,199647.81414794922,89481.14645385742,94433.90701293945,197452.61389160156,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester,CE,272276.99826049805,604201.1010437012,344977.4267883301,578229.0800170898,195620.6760406494,66619.54499816895,104960.36757659912,449361.2501220703,842930.1578979492,510275.13067626953,586323.5788574219,421981.7488708496,197720.9366455078,81592.54598236084,102442.5464553833,201944.25617980957,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester_2,CE,282595.2204284668,601233.5832366943,331640.3845214844,584872.5077514648,200966.05520629883,63674.6642036438,106163.54775619507,468996.0119934082,862067.712310791,517304.19201660156,595576.9428405762,424691.0045776367,204358.05494308472,83035.78645706177,98708.50708389282,199674.95538330078,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated,CE,238098.99700927734,278488.0610809326,250274.46084594727,265711.5782318115,88312.66635894775,66861.42481994629,72586.16502380371,251351.8338623047,579479.3815917969,415102.8081359863,312724.2644042969,233254.1951904297,103781.74765777588,79692.8857498169,69918.46492004395,232670.8377380371,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated_2,CE,234472.71701049805,273423.89978027344,259398.0389404297,270909.55950927734,92443.26620483398,70337.48574829102,68150.66487884521,256823.51718139648,581549.4797363281,415805.8867492676,298301.0598449707,238287.11483764648,106387.14749145508,80918.7451248169,71601.82501220703,241449.87837219238,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
18:1 Campesteryl ester,CE,233450.53912353516,263904.27825927734,252689.3544921875,261731.28118896484,82409.8259010315,56984.78404998779,63951.22497558594,251414.53872680664,455285.64990234375,356218.5864562988,290367.66189575195,228142.67880249023,90191.30676269531,66857.70453643799,71419.0849647522,225617.7167816162,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
18:3 Campesteryl ester,CE,213127.35446166992,233462.63381958008,232237.91787719727,242607.49642944336,76780.36492156982,65536.76523590088,66174.2045288086,230115.6553955078,349060.78579711914,310821.30099487305,245531.99661254883,210156.63537597656,79602.82596588135,67994.36478424072,71416.26483917236,197820.75631713867,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester,CE,419422.98986816406,447091.57263183594,447873.4123535156,415310.3869628906,205471.35342407227,140569.51007080078,146106.55047607422,410047.4875488281,738547.298828125,590154.2624511719,468987.13415527344,395767.26806640625,208501.35400390625,149831.62994384766,149879.97039794922,328716.4434814453,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester_2,CE,427756.94885253906,443882.2932128906,452466.95568847656,430666.9284667969,199821.99346923828,138753.42993164062,150386.73071289062,410446.4294433594,721592.5570068359,591230.9625244141,457069.5925292969,389397.66931152344,204910.27416992188,155575.15103149414,154023.69094848633,329537.4803466797,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
2-Hydroxymyristoylcarnitine | 3-hydroxytetradecanoylcarnitine,CAR,1218044.2957763672,1195290.8078613281,1194065.662109375,1240025.5187988281,1239282.0832519531,1133090.1042480469,1244585.4881591797,1111581.3986816406,1342165.8034667969,1293608.794555664,1232293.98046875,1121579.8967285156,1205931.8406982422,1154733.269897461,1366424.7204589844,1930786.4631347656,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
20:0 Campesteryl ester,CE,944354.2272949219,1051954.5400390625,802405.3129882812,799106.8182373047,404391.10778808594,333963.88360595703,242206.25750732422,792573.4987792969,4539166.369384766,2738800.2377929688,1488004.1958007812,704186.2043457031,631150.6455078125,367630.4270629883,251567.6792602539,317584.8635253906,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
20:1 Campesteryl ester,CE,922340.9077148438,1035268.6345214844,770815.9124755859,768436.0723876953,390393.90771484375,324425.34533691406,229859.89709472656,774650.533203125,4235422.83215332,2598765.4096679688,1407519.564819336,688702.3489990234,627173.1862182617,362508.36560058594,246157.97802734375,310572.0031738281,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
20:3 Campesteryl ester,CE,831691.5396728516,690644.8483886719,670642.0698242188,630418.0675048828,303552.1791381836,338287.26470947266,291385.0417480469,603714.2861328125,971733.7509765625,796782.5151367188,658286.7297363281,607590.48828125,331052.8444213867,359388.5831298828,299902.3406982422,532591.3153076172,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
22:0 Campesteryl ester,CE,526033.4529647827,466218.7146835327,350722.9248352051,384554.50311279297,96338.56734848022,93248.54647445679,71315.94483184814,472356.95237731934,896566.9890136719,939694.8839035034,509218.24995422363,330720.66106414795,95272.74718475342,195138.1933746338,102224.66787719727,105651.5481300354,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
22:0 Sitosteryl ester,CE,561003.0242385864,485815.2135925293,355294.92652893066,421927.34729003906,88051.98610305786,102267.82748413086,79683.76554870605,486894.434677124,765647.420135498,885845.569229126,525418.6844100952,369547.3709869385,82712.30665969849,204437.75436782837,114893.82941436768,228572.99380493164,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
22:1 Campesteryl ester,CE,479712.1131286621,468357.8101348877,350133.2861633301,395492.0505371094,110473.78787994385,98551.34607315063,70321.82493591309,438211.0646972656,1047875.6008148193,946360.6265792847,542836.6854553223,309484.46377563477,118994.38879013062,192189.37321090698,99733.32707595825,102455.64757919312,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
22:1 Stigmasteryl ester | 22:2 Sitosteryl ester,CE,568701.699710846,498246.4359283447,359096.9853553772,423679.4720993042,98792.72665023804,99168.76778030396,84803.34576416016,491484.9942550659,755514.5677680969,944503.3225631714,491153.4977798462,370056.0489387512,81157.6648902893,208831.17345809937,108360.74819946289,206498.9136428833,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
22:2 Campesteryl ester,CE,289210.3822784424,560526.3181762695,350653.6643676758,381027.0474014282,191685.95164108276,109390.46683120728,70477.46474456787,366085.0646057129,3415261.498123169,1941418.5549240112,950963.794708252,299380.28102111816,341881.02141952515,226201.93586730957,109228.78860855103,80835.36569976807,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
22:2 Stigmasteryl ester | 22:3 Sitosteryl ester,CE,558193.1280670166,469579.57151794434,358588.62020111084,415441.63109588623,94247.98609542847,99335.6669845581,78620.56488800049,490631.93672180176,743872.3928756714,898655.6136779785,502230.538608551,363682.14473342896,85175.60606384277,209764.57259750366,113005.9493637085,160474.38968276978,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
22:3 Campesteryl ester,CE,353298.22665405273,665137.4459533691,401060.3264312744,449166.67167663574,213215.67528152466,110209.54704284668,60358.8840713501,427643.9084777832,4006962.4003601074,2313333.353652954,1145395.0406341553,345265.1865081787,463608.8536758423,215819.47241592407,99418.78695678711,78485.72638702393,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
22:3 Stigmasteryl ester,CE,511923.66984558105,469026.6374282837,339874.48025512695,404606.42864990234,81643.70561981201,92794.06651306152,73503.32471084595,474261.48516845703,723321.4232177734,894071.6810836792,463588.0719909668,322717.52098083496,83160.50679779053,201195.9746055603,99826.9475517273,107463.74801254272,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
3-hydroxyarachidonoylcarnitine,CAR,2006010.5383300781,1804854.5581054688,1691555.87109375,1782707.8674316406,1853001.6511230469,1728707.09375,1758179.8117675781,1799780.4743652344,1856874.8933105469,2316012.5373535156,1997917.2893066406,1569145.6931152344,1784077.2758789062,2009942.3466796875,1896938.0458984375,1852556.1604003906,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
3-hydroxyeicosanoylcarnitine | Cervonyl carnitine,CAR,1648205.6264648438,1483060.986328125,1352919.6352539062,1463896.3289794922,1493629.2587890625,1350391.4493408203,1432335.53125,1492376.4155273438,1554010.6118164062,1916138.7844238281,1676102.2985839844,1272668.7355957031,1419993.0892333984,1622108.3797607422,1561962.6239013672,1670603.4350585938,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
3-hydroxylinoleoylcarnitine,CAR,10761649.6015625,16541263.293945312,19619409.79248047,18211508.875,19984253.64794922,20210526.215820312,15035135.946289062,24845405.71484375,15726473.67578125,17840220.71875,15795650.272949219,20141493.19873047,23904027.19970703,23345401.69580078,7696857.471191406,2200595.70703125,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine,CAR,5162313.787597656,7377617.71875,8635526.384277344,8139380.8115234375,8777433.122558594,8896624.508789062,7055534.583984375,10120286.5234375,7174074.6181640625,7910488.398925781,7254243.041503906,8644065.336914062,10290363.202148438,10271814.326171875,4404611.219238281,2678909.9697265625,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
Arachidyl carnitine | O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine,CAR,1759514.2299804688,1729499.3325195312,1661999.3544921875,1749869.0766601562,1749794.1958007812,1715870.7236328125,1744912.2163085938,1702237.0874023438,1828917.9155273438,1991359.2607421875,1810925.8793945312,1567913.7353515625,1731165.087890625,1800051.0874023438,1825566.8857421875,1844464.9086914062,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
CE(12:0),CE,184184.01274108887,206443.9545135498,187842.8329925537,194290.03338623047,54702.864181518555,53449.14390563965,57300.26417160034,169429.59413146973,197889.75340270996,192208.85467529297,196251.07221984863,191839.97328186035,46403.643058776855,45492.56311035156,48507.40311431885,158999.98956298828,Brain Region: cortex,Brain Region: diencephalon,Brain Region: cortex vs Brain Region: diencephalon,7,8,10xBlank_01202023
