,Lipid,Sample_ID,db_pos,LipidParent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Parent_Ion,Purity
0,[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,573.6,14.31,615.0,790.7 -> 573.6,0,11.0,790.7,Crude
1,[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,573.6,14.3,1875.0,762.6 -> 573.6,0,1.0,762.6,Crude
2,[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,573.6,14.2,640.0,790.7 -> 573.6,0,11.0,790.7,Degummed
3,[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,573.6,14.19,1897.0,762.6 -> 573.6,0,1.0,762.6,Degummed
4,[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,,573.6,14.31,492.0,790.7 -> 573.6,0,11.0,790.7,RBD
5,[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,573.6,14.35,1317.0,762.6 -> 573.6,0,1.0,762.6,RBD
6,[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,599.6,14.31,1287.0,816.7 -> 599.6,0,19.0,816.7,Crude
7,[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,599.6,14.31,5259.0,788.6 -> 599.6,0,9.0,788.6,Crude
8,[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,599.6,14.21,1061.0,816.7 -> 599.6,0,19.0,816.7,Degummed
9,[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,599.6,14.2,4061.0,788.6 -> 599.6,0,9.0,788.6,Degummed
10,[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,,599.6,14.28,891.0,816.7 -> 599.6,0,19.0,816.7,RBD
11,[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,599.6,14.33,3415.0,788.6 -> 599.6,0,9.0,788.6,RBD
