Lipid,Class,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0145,AK0164,AK0174,AK0175,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1499141.0727539062,1159558.7852783203,1202099.1199951172,1561939.1799316406,1278446.3055419922,2960353.279296875,1128833.5732421875,1278053.767944336,1238776.1319580078,1282045.1535644531,285046.4786605835,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1380411.9562988281,1179871.0670166016,1218773.5845947266,1302167.092163086,1176849.5888671875,2821156.5366210938,1130798.7427978516,1181701.8826904297,1254938.1559448242,1132406.2965698242,283604.88078689575,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
"(13Z,16Z)-docosadienoylcarnitine",CAR,1488449.0466308594,1193195.6975708008,1149769.7707519531,1397754.8560791016,1063207.8836669922,2707231.5189208984,1079653.0477294922,1238666.0463256836,1221247.5565185547,1017794.9621582031,181664.57362365723,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2612464.2541503906,1584487.484008789,1759009.0557861328,2210718.679321289,2266709.955444336,4539267.546386719,2139352.323059082,2044519.1489868164,2786300.2643432617,2522326.7109375,114023.58724212646,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,1094941.1242675781,718203.7386474609,721524.2933959961,936592.482421875,645266.2047119141,1766401.763671875,699176.3087768555,659514.9055175781,764933.9527587891,652278.2630615234,158361.42999267578,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1456700.292602539,1046285.1735839844,971811.7346191406,1376905.8234863281,1039734.9908447266,2592716.475341797,1080488.7222595215,994361.0492553711,1286415.7739868164,1079671.9899902344,148019.67110061646,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1363543.480041504,1135056.982788086,1079179.2010498047,1314794.0446166992,996268.9852294922,2561769.2114257812,1076848.0437011719,1079055.9274902344,1177549.126953125,1027356.7213745117,153256.1509437561,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,5198610.0556640625,4968568.333374023,4314156.84765625,4576701.091308594,5939488.359130859,8748329.255859375,4360791.6220703125,4894547.858154297,3856481.7958984375,4835780.072509766,341258.06032562256,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,2002974.8272705078,1913919.235534668,1748927.3958740234,1901714.705444336,2106989.879760742,3335229.4018554688,1580741.047241211,2097805.024169922,1671652.7352294922,1796628.9790039062,168484.0325164795,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,5300942.361083984,4788771.525024414,3860608.9428710938,4220326.905151367,5549661.710693359,8361298.29296875,4388263.270019531,4789257.653442383,3928391.265625,4548470.571166992,263180.44006347656,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy,6,4,Blank-1x
