Lipid,Class,AK0135,AK0140,AK0169,AK0154,AK0155,AK0168,AK0174,AK0175,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1385807.142211914,1307461.673461914,1170394.5592041016,1123954.2408447266,1403092.8359375,1347732.7966308594,1238776.1319580078,1282045.1535644531,285046.4786605835,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1386486.881225586,1270323.0888671875,1079225.223022461,979734.9114685059,1315000.8809814453,1287640.1538085938,1254938.1559448242,1132406.2965698242,283604.88078689575,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"(13Z,16Z)-docosadienoylcarnitine",CAR,1193675.4536132812,917784.1473388672,963797.7319335938,775983.2182006836,1021483.6547241211,1117817.3359375,1221247.5565185547,1017794.9621582031,181664.57362365723,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2312001.0830078125,1738335.9741210938,2302781.201599121,1796025.6650390625,1691230.3599853516,2114082.271484375,2786300.2643432617,2522326.7109375,114023.58724212646,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,764319.4936523438,655389.2666015625,646658.5451660156,516543.6394042969,733716.3115234375,712078.0900878906,764933.9527587891,652278.2630615234,158361.42999267578,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1123748.9030761719,891040.62109375,953706.0941162109,712716.2937011719,881094.546875,1058898.5242919922,1286415.7739868164,1079671.9899902344,148019.67110061646,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1126353.620300293,938498.4275512695,883585.7555541992,749638.4543457031,1025579.0539550781,1071678.8985595703,1177549.126953125,1027356.7213745117,153256.1509437561,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,4887687.393920898,4183498.2982177734,5193424.2548828125,2848896.9407958984,4165821.642944336,4556464.165771484,3856481.7958984375,4835780.072509766,341258.06032562256,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,1940554.4440917969,1498702.8666992188,2052745.1049804688,1061737.3879394531,1500157.6706542969,1776308.5927734375,1671652.7352294922,1796628.9790039062,168484.0325164795,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,4891001.678283691,4231218.8837890625,5079197.523925781,2744756.177734375,3778032.8237304688,4114643.4873046875,3928391.265625,4548470.571166992,263180.44006347656,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-behenoyl-Cer(d18:1/16:0),Cer,5852.4604415893555,4118.460285186768,5075.18034362793,5098.460361480713,4085.260284423828,3839.480270385742,3850.560276031494,4372.38032913208,3583.220245361328,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-carboceroyl-Cer(d18:1/16:0),Cer,5216.740371704102,3582.860237121582,4236.8803062438965,4713.260307312012,3759.620258331299,3989.080280303955,4237.000282287598,4758.760353088379,4646.720367431641,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-carboceroyl-Cer(d18:1/18:0),Cer,8720.900714874268,5660.100425720215,6960.540477752686,4087.080265045166,5734.580436706543,4548.860317230225,6091.820507049561,6554.140449523926,5040.740333557129,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
