Lipid,Class,AK0135,AK0140,AK0142,AK0169,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1385807.142211914,1307461.673461914,1112698.8952636719,1170394.5592041016,1173379.2845458984,1273471.4271240234,1123954.2408447266,1403092.8359375,1211117.0444335938,1347732.7966308594,285046.4786605835,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1386486.881225586,1270323.0888671875,1016258.3680419922,1079225.223022461,1106398.5203857422,1174063.134399414,979734.9114685059,1315000.8809814453,1150253.9196777344,1287640.1538085938,283604.88078689575,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
"(13Z,16Z)-docosadienoylcarnitine",CAR,1193675.4536132812,917784.1473388672,858200.9806518555,963797.7319335938,901172.6478271484,994215.9099121094,775983.2182006836,1021483.6547241211,944415.6671142578,1117817.3359375,181664.57362365723,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2312001.0830078125,1738335.9741210938,2065626.0770263672,2302781.201599121,1975725.435546875,1865403.3950195312,1796025.6650390625,1691230.3599853516,2450736.8177490234,2114082.271484375,114023.58724212646,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,764319.4936523438,655389.2666015625,582569.9982910156,646658.5451660156,623829.7839355469,648136.1826171875,516543.6394042969,733716.3115234375,634336.0673828125,712078.0900878906,158361.42999267578,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1123748.9030761719,891040.62109375,832436.5582275391,953706.0941162109,875553.4079589844,875817.8896484375,712716.2937011719,881094.546875,987459.4455566406,1058898.5242919922,148019.67110061646,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1126353.620300293,938498.4275512695,757553.4345092773,883585.7555541992,926965.067199707,852648.1026611328,749638.4543457031,1025579.0539550781,932723.5684814453,1071678.8985595703,153256.1509437561,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,4887687.393920898,4183498.2982177734,3858002.0883789062,5193424.2548828125,4515173.979614258,4665629.469604492,2848896.9407958984,4165821.642944336,3656461.825073242,4556464.165771484,341258.06032562256,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,1940554.4440917969,1498702.8666992188,1509876.7067871094,2052745.1049804688,1642605.657836914,1640416.5393066406,1061737.3879394531,1500157.6706542969,1439568.689453125,1776308.5927734375,168484.0325164795,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,4891001.678283691,4231218.8837890625,3663724.6591796875,5079197.523925781,3921731.4681396484,4140817.1970214844,2744756.177734375,3778032.8237304688,3403129.6446533203,4114643.4873046875,263180.44006347656,Genotype: cKO | time point: 28d ISCI,Genotype: WT | time point: 28d ISCI,Genotype: cKO__time point: 28d ISCI vs Genotype: WT__time point: 28d ISCI,4,6,Blank-1x
