Lipid,Class,AK0144,AK0147,AK0154,AK0155,AK0166,AK0168,AK0145,AK0164,AK0174,AK0175,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1173379.2845458984,1273471.4271240234,1123954.2408447266,1403092.8359375,1211117.0444335938,1347732.7966308594,1128833.5732421875,1278053.767944336,1238776.1319580078,1282045.1535644531,285046.4786605835,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1106398.5203857422,1174063.134399414,979734.911468506,1315000.8809814453,1150253.9196777344,1287640.1538085938,1130798.7427978516,1181701.8826904297,1254938.1559448242,1132406.2965698242,283604.8807868957,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(13Z,16Z)-docosadienoylcarnitine",CAR,901172.6478271484,994215.9099121094,775983.2182006836,1021483.6547241212,944415.6671142578,1117817.3359375,1079653.0477294922,1238666.0463256836,1221247.5565185547,1017794.9621582032,181664.57362365723,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,1975725.435546875,1865403.3950195312,1796025.6650390625,1691230.3599853516,2450736.8177490234,2114082.271484375,2139352.323059082,2044519.1489868164,2786300.2643432617,2522326.7109375,114023.58724212646,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,623829.7839355469,648136.1826171875,516543.6394042969,733716.3115234375,634336.0673828125,712078.0900878906,699176.3087768555,659514.9055175781,764933.9527587891,652278.2630615234,158361.42999267578,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,875553.4079589844,875817.8896484375,712716.2937011719,881094.546875,987459.4455566406,1058898.5242919922,1080488.7222595215,994361.0492553712,1286415.7739868164,1079671.9899902344,148019.67110061646,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,926965.067199707,852648.1026611328,749638.4543457031,1025579.053955078,932723.5684814452,1071678.8985595703,1076848.043701172,1079055.9274902344,1177549.126953125,1027356.7213745116,153256.1509437561,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,4515173.979614258,4665629.469604492,2848896.9407958984,4165821.642944336,3656461.825073242,4556464.165771484,4360791.6220703125,4894547.858154297,3856481.7958984375,4835780.072509766,341258.06032562256,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,1642605.657836914,1640416.5393066406,1061737.3879394531,1500157.6706542969,1439568.689453125,1776308.5927734375,1580741.047241211,2097805.024169922,1671652.7352294922,1796628.9790039062,168484.0325164795,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,3921731.468139648,4140817.197021485,2744756.177734375,3778032.8237304688,3403129.6446533203,4114643.487304688,4388263.270019531,4789257.653442383,3928391.265625,4548470.571166992,263180.44006347656,Genotype: WT | time point: 28d ISCI,Genotype: WT | time point: healthy,Genotype: WT__time point: 28d ISCI vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
