Lipid,Class,AK0142,AK0170,AK0200,AK0202,AK0144,AK0145,AK0147,AK0164,AK0166,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,AC,1112698.8952636719,1202099.1199951172,1561939.1799316406,1278446.3055419922,1173379.2845458984,1128833.5732421875,1273471.4271240234,1278053.767944336,1211117.0444335938,285046.4786605835,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"(11Z,14Z)-eicosadienoylcarnitine",AC,1016258.3680419922,1218773.5845947266,1302167.092163086,1176849.5888671875,1106398.5203857422,1130798.7427978516,1174063.134399414,1181701.8826904297,1150253.9196777344,283604.88078689575,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"(13Z,16Z)-docosadienoylcarnitine",AC,858200.9806518555,1149769.7707519531,1397754.8560791016,1063207.8836669922,901172.6478271484,1079653.0477294922,994215.9099121094,1238666.0463256836,944415.6671142578,181664.57362365723,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",AC,2065626.0770263672,1759009.0557861328,2210718.679321289,2266709.955444336,1975725.435546875,2139352.323059082,1865403.3950195312,2044519.1489868164,2450736.8177490234,114023.58724212646,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"(5Z,8Z)-tetradecadienoylcarnitine",AC,582569.9982910156,721524.2933959961,936592.482421875,645266.2047119141,623829.7839355469,699176.3087768555,648136.1826171875,659514.9055175781,634336.0673828125,158361.42999267578,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"(7Z,10Z)-hexadecadienoylcarnitine",AC,832436.5582275391,971811.7346191406,1376905.8234863281,1039734.9908447266,875553.4079589844,1080488.7222595215,875817.8896484375,994361.0492553711,987459.4455566406,148019.67110061646,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",AC,757553.4345092773,1079179.2010498047,1314794.0446166992,996268.9852294922,926965.067199707,1076848.0437011719,852648.1026611328,1079055.9274902344,932723.5684814453,153256.1509437561,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
(9Z)-3-hydroxyoctadecenoylcarnitine,AC,3858002.0883789062,4314156.84765625,4576701.091308594,5939488.359130859,4515173.979614258,4360791.6220703125,4665629.469604492,4894547.858154297,3656461.825073242,341258.06032562256,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",AC,1509876.7067871094,1748927.3958740234,1901714.705444336,2106989.879760742,1642605.657836914,1580741.047241211,1640416.5393066406,2097805.024169922,1439568.689453125,168484.0325164795,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",AC,3663724.6591796875,3860608.9428710938,4220326.905151367,5549661.710693359,3921731.4681396484,4388263.270019531,4140817.1970214844,4789257.653442383,3403129.6446533203,263180.44006347656,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-behenoyl-Cer(d18:1/16:0),CER,4033.060287475586,4248.760307312012,4174.160293579102,5481.920394897461,4544.720314025879,5703.600429534912,3847.680278778076,4355.2003173828125,3895.6602783203125,3583.220245361328,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-carboceroyl-Cer(d18:1/16:0),CER,4081.8003158569336,3969.8202781677246,3614.9802589416504,5576.680419921875,4074.4802780151367,5085.420352935791,3604.5002479553223,3836.640239715576,3713.360263824463,4646.720367431641,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-carboceroyl-Cer(d18:1/18:0),CER,4481.360313415527,7192.140544891357,6553.460472106934,9145.040660858154,5170.960353851318,10447.660861968994,4386.000316619873,6016.460430145264,4719.100315093994,5040.740333557129,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-cerotoyl-Cer(d18:1/16:0),CER,5178.580360412598,8310.960536956787,6413.280429840088,13825.741111755371,7008.30041885376,10870.080791473389,4465.6003341674805,5406.520370483398,5366.040374755859,3809.9602699279785,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
