Sample Name,Position,Name,Type,Sex,experiment
IPAblank_NA,P1-A1,IPA,blank,_NA,blank
BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank
C-1BrainF,P1-A3,C-1,Brain,F,C
C-2BrainF,P1-A4,C-2,Brain,F,C
C-3BrainF,P1-A5,C-3,Brain,F,C
C-4BrainM,P1-A6,C-4,Brain,M,C
C-5BrainM,P1-A7,C-5,Brain,M,C
C-6BrainM,P1-A8,C-6,Brain,M,C
E-1BrainF,P1-A9,E-1,Brain,F,E
E-2BrainF,P1-B1,E-2,Brain,F,E
E-3BrainF,P1-B2,E-3,Brain,F,E
E-4BrainM,P1-B3,E-4,Brain,M,E
E-5BrainM,P1-B4,E-5,Brain,M,E
E-6BrainM,P1-B5,E-6,Brain,M,E
BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank
C-1LiverF,P1-B7,C-1,Liver,F,C
C-2LiverF,P1-B8,C-2,Liver,F,C
C-3LiverF,P1-B9,C-3,Liver,F,C
C-4LiverM,p1-C1,C-4,Liver,M,C
C-5LiverM,p1-C2,C-5,Liver,M,C
C-6LiverM,p1-C3,C-6,Liver,M,C
E-1LiverF,p1-C4,E-1,Liver,F,E
E-2LiverF,p1-C5,E-2,Liver,F,E
E-3LiverF,p1-C6,E-3,Liver,F,E
E-4LiverM,p1-C7,E-4,Liver,M,E
E-5LiverM,p1-C8,E-5,Liver,M,E
E-6LiverM,p1-C9,E-6,Liver,M,E
BlankRetina_NA,p1-d1,Blank,Retina,_NA,blank
C-1RetinaF,p1-d2,C-1,Retina,F,C
C-2RetinaF,p1-d3,C-2,Retina,F,C
C-3RetinaF,p1-d4,C-3,Retina,F,C
C-4RetinaM,p1-d5,C-4,Retina,M,C
C-5RetinaM,p1-d6,C-5,Retina,M,C
C-6RetinaM,p1-d7,C-6,Retina,M,C
E-1RetinaF,p1-d8,E-1,Retina,F,E
E-2RetinaF,p1-d9,E-2,Retina,F,E
E-3RetinaF,p1-e1,E-3,Retina,F,E
E-4RetinaM,p1-e2,E-4,Retina,M,E
E-5RetinaM,p1-e3,E-5,Retina,M,E
E-6RetinaM,p1-e4,E-6,Retina,M,E
BlankPlasma_NA,P1-e5,Blank,Plasma,_NA,blank
C-1PlasmaF,P1-e6,C-1,Plasma,F,C
C-2PlasmaF,P1-e7,C-2,Plasma,F,C
C-3PlasmaF,P1-e8,C-3,Plasma,F,C
C-4PlasmaM,P1-e9,C-4,Plasma,M,C
C-5PlasmaM,p1-f1,C-5,Plasma,M,C
C-6PlasmaM,p1-f2,C-6,Plasma,M,C
E-1PlasmaF,p1-f3,E-1,Plasma,F,E
E-2PlasmaF,p1-f4,E-2,Plasma,F,E
E-3PlasmaF,p1-f5,E-3,Plasma,F,E
E-4PlasmaM,p1-f6,E-4,Plasma,M,E
E-5PlasmaM,p1-f7,E-5,Plasma,M,E
E-6PlasmaM,p1-f8,E-6,Plasma,M,E
blankBMV_NA,p1-f9,blank,BMV,_NA,blank
C-1BMVF,p2-a1,C-1,BMV,F,C
C-2BMVF,p2-a2,C-2,BMV,F,C
C-3BMVF,p2-a3,C-3,BMV,F,C
C-4BMVM,p2-a4,C-4,BMV,M,C
C-5BMVM,p2-a5,C-5,BMV,M,C
C-6BMVM,p2-a6,C-6,BMV,M,C
E-1BMVF,p2-a7,E-1,BMV,F,E
E-2BMVF,p2-a8,E-2,BMV,F,E
E-3BMVF,p2-a9,E-3,BMV,F,E
E-4BMVM,p2-b1,E-4,BMV,M,E
E-5BMVM,p2-b2,E-5,BMV,M,E
E-6BMVM,p2-b3,E-6,BMV,M,E
