lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PG (32:5),-3.1126071504719737,9.023155817150787,22.932748878104576,1.6776907474079625e-6,0.00251150304886972,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,PG,69036.98474121094,59599.624603271484,56953.104248046875,1390551.1256103516,58263.66400146485,52151.98425292969,52170.14404296875
Cer(d18:2/22:0),-2.327678285621595,12.958611764038801,13.677443823179864,2.1704585138720395e-4,0.09860288282286693,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,Cer,1038344.095703125,2183185.178466797,1487201.7111816406,1942072.0131835935,8367852.797119141,10945631.022216797,284826.11853027344
Lyso_PS(20:2) | PS (20:2)_2,2.3982397046796793,9.295438175735969,14.441390965766914,1.445892622649145e-4,0.09860288282286693,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,PS,162181.99141311646,1324859.714050293,366582.3260498047,48791.58422470093,78494.06533813477,180147.79452514648,80939.62471008301
PS (32:5),-2.2936358663455874,7.878902102814389,13.313742540502062,2.6346795677452753e-4,0.09860288282286693,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,PS,25751.381797790527,50682.403869628906,56235.723724365234,526516.2245483398,33125.182247161865,46853.883239746094,43834.64358520508
Cer(d18:2/14:0),-2.236439393756137,9.72297174589529,12.712072964285651,3.633024835471718e-4,0.10551119132032323,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,Cer,174427.89269256592,152164.46856689453,190887.815322876,224569.14073944092,734661.9940185547,1252961.2428741455,40619.60283660889
Lyso_PS(20:2) | PS (20:2),2.2091289194560084,9.259496921781537,12.428238649044943,4.22890546374041e-4,0.10551119132032323,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,PS,53945.304470062256,1309739.403869629,406250.045715332,70398.02376556396,83133.02516174316,181936.4906005859,78611.82608032227
"(11Z,14Z)-eicosadienoylcarnitine",-0.11836076670530285,11.612201324072899,0.03896805016665894,0.8435119725449218,0.9995827794640442,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,1332756.2084960938,1313436.7885742188,1536662.2856445312,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.14877930101773365,11.620776260890622,0.06156127170652326,0.8040450894583899,0.9995827794640442,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,1300758.2841796875,1356376.1943359375,1553075.8388671875,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.14249525042307168,11.594252834559754,0.05647278396645561,0.8121603001088272,0.9995827794640442,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,1284612.1057128906,1277668.0494384766,1509455.984741211,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.046288782783894665,12.253177362287063,0.005961397750070319,0.9384564162270982,0.9995827794640442,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,3004035.1204833984,2011026.9294433591,2188599.0122070312,2338786.489624023,2207064.514526367,2303434.271972656,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",-1.3377926187784015,16.108858368894005,4.810786231785357,0.02828213881827814,0.9995827794640442,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,15439015.444335938,37982357.49316406,18655737.474609375,26782130.583007812,71101793.19970703,66282272.07910156,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.09372833449070354,11.411534262603034,0.02443881503859302,0.8757735504290347,0.9995827794640442,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,1148186.4895019531,1091271.1774902344,1370722.953857422,1245549.2482910156,1155280.1492919922,1153606.4608154297,1684194.2908935547
