Sample Name,Position,Genotype,Brain Region,Sex
10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1
Blank10x_01182023,Not Needed,Blank2,Blank2,Blank2
Blank10x_01192023,Not Needed,Blank3,Blank3,Blank3
DOD100-M1-WT-cerebellum10x_01202023,Not Needed,WT,cerebellum,Male
DOD100-M1-WT-cortex10x_01202023,Not Needed,WT,cortex,Male
DOD100-M1-WT-diencephalon10x_01202023,Not Needed,WT,diencephalon,Male
DOD100-M1-WT-hippo10x_01202023,Not Needed,WT,hippo,Male
DOD100-M2-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male
DOD100-M2-5xFAD-cortex10x_01202023,Not Needed,5xFAD,cortex,Male
DOD100-M2-5xFAD-diencephalon10x_01202023,Not Needed,5xFAD,diencephalon,Male
DOD100-M2-5xFAD-hippo10x_01202023,Not Needed,5xFAD,hippo,Male
DOD100-M3-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male
DOD100-M3-5xFAD-diencephalon10x_01202023,Not Needed,5xFAD,diencephalon,Male
DOD100-M3-5xFAD-hippo10x_01202023,Not Needed,5xFAD,hippo,Male
DOD99-M1-5xFAD-cerebellum10x_01202023,Not Needed,5xFAD,cerebellum,Male
DOD99-M1-5xFAD-cortex10x_01202023,Not Needed,5xFAD,cortex,Male
DOD99-M1-5xFAD-diencephalon10x_01202023,Not Needed,5xFAD,diencephalon,Male
DOD99-M1-5xFAD-hippo10x_01202023,Not Needed,5xFAD,hippo,Male
DOD99-M2-WT-cerebellum10x_01202023,Not Needed,WT,cerebellum,Male
DOD99-M2-WT-cortex10x_01202023,Not Needed,WT,cortex,Male
DOD99-M2-WT-diencephalon10x_01202023,Not Needed,WT,diencephalon,Male
DOD99-M2-WT-hippo10x_01202023,Not Needed,WT,hippo,Male
M1FAD173-5xFAD-Cerebellum10x_01182023,Not Needed,5xFAD,cerebellum,Male
M1FAD173-5xFAD-Cortex10x_01182023,Not Needed,5xFAD,cortex,Male
M1FAD173-5xFAD-Diencephalon10x_01182023,Not Needed,5xFAD,diencephalon,Male
M1FAD173-5xFAD-Hippo10x_01182023,Not Needed,5xFAD,hippo,Male
M2FAD173-5xFAD-Cerebellum10x_01192023,Not Needed,5xFAD,cerebellum,Male
M2FAD173-5xFAD-Cortex10x_01192023,Not Needed,5xFAD,cortex,Male
M2FAD173-5xFAD-Diencephalon10x_01192023,Not Needed,5xFAD,diencephalon,Male
M2FAD173-5xFAD-Hippo10x_01192023,Not Needed,5xFAD,hippo,Male
M5FAD173-WT-Cerebellum10x_01192023,Not Needed,WT,cerebellum,Male
M5FAD173-WT-Cortex10x_01192023,Not Needed,WT,cortex,Male
M5FAD173-WT-Diencephalon10x_01192023,Not Needed,WT,diencephalon,Male
M5FAD173-WT-Hippo10x_01192023,Not Needed,WT,hippo,Male
