Sample Name,Position,Treatment,Dose,Time
12hrS-100nM-s1,Test,S,100nM,12 Hour
12hrS-100nM-s2,Test,S,100nM,12 Hour
12hrS-100nM-s3,Test,S,100nM,12 Hour
12hrS-100nM-v1,Test,V,100nM,12 Hour
12hrS-100nM-v2,Test,V,100nM,12 Hour
12hrS-100nM-v3,Test,V,100nM,12 Hour
12hrS-10uM-s1,Test,S,10uM,12 Hour
12hrS-10uM-s2,Test,S,10uM,12 Hour
12hrS-10uM-s3,Test,S,10uM,12 Hour
12hrS-10uM-v1,Test,V,10uM,12 Hour
12hrS-10uM-v2,Test,V,10uM,12 Hour
12hrS-10uM-v3,Test,V,10uM,12 Hour
12hrS-1uM-s1,Test,S,1uM,12 Hour
12hrS-1uM-s2,Test,S,1uM,12 Hour
12hrS-1uM-s3,Test,S,1uM,12 Hour
12hrS-1uM-v1,Test,V,1uM,12 Hour
12hrS-1uM-v2,Test,V,1uM,12 Hour
12hrS-1uM-v3,Test,V,1uM,12 Hour
24hrS-100nM-s1,Test,S,100nM,24 Hour
24hrS-100nM-s2,Test,S,100nM,24 Hour
24hrS-100nM-s3,Test,S,100nM,24 Hour
24hrS-100nM-v1,Test,V,100nM,24 Hour
24hrS-100nM-v2,Test,V,100nM,24 Hour
24hrS-100nM-v3,Test,V,100nM,24 Hour
24hrS-10uM-s1,Test,S,10uM,24 Hour
24hrS-10uM-s2,Test,S,10uM,24 Hour
24hrS-10uM-s3,Test,S,10uM,24 Hour
24hrS-10uM-v1,Test,V,10uM,24 Hour
24hrS-10uM-v2,Test,V,10uM,24 Hour
24hrS-10uM-v3,Test,V,10uM,24 Hour
24hrS-1uM-s1,Test,S,1uM,24 Hour
24hrS-1uM-s2,Test,S,1uM,24 Hour
24hrS-1uM-s3,Test,S,1uM,24 Hour
24hrS-1uM-v1,Test,V,1uM,24 Hour
24hrS-1uM-v2,Test,V,1uM,24 Hour
24hrS-1uM-v3,Test,V,1uM,24 Hour
Blank,Blank,Blank,Blank,Blank
