lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023
Lyso_PE(18:4),2.523016095111703,10.769699715469102,14.067650094541023,1.7635099729613023e-4,0.263997442952307,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,PE,83877.54577636719,6150566.934814453,200389.6328125,89168.46691894531,719531.388671875,200920.294921875,48831.60382080078
"(11Z,14Z)-eicosadienoylcarnitine",0.021345825627067324,11.523502924964014,0.001126699906308204,0.9732229553075507,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,1408351.625,1448199.4814453125,1567602.6728515625,1464825.83203125,1445031.9301757812,1422254.4301757812,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.006962053296034739,11.515680544826177,1.1985606397502124e-4,0.9912650305208776,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,1410061.365234375,1453789.9145507812,1548320.9340820312,1450974.412109375,1446175.0439453125,1469500.5795898438,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.19086604040058847,11.601030640930356,0.09001753886695951,0.7641548597721882,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,1334500.4373779297,1392547.188293457,2235124.575866699,1547859.026428223,1384342.3704833984,1401085.4095458984,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.022650221418010458,12.065882338971013,0.0012686067493632436,0.971587349232806,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,2215148.1447753906,2234323.5102539062,2256080.6622314453,2341072.076904297,2281951.5776367188,2132253.7890625,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",0.6079316400428499,16.664167326993944,0.907213188272677,0.3408549247119317,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,97017264.0888672,62660995.83984375,69671289.73339844,75825428.853515625,29749622.64453125,40969587.21484375,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.05262755880345028,11.369585366582475,0.0068483893701341,0.9340463542790574,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,1186263.4771728516,1201712.4168701172,1592147.222290039,1355693.1580810547,1244091.2459716797,1216621.2817382812,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",0.0573260290542444,11.911782897971305,0.008125715336063877,0.9281737780747321,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,1807297.3984375,1819888.0288085935,2113105.662841797,1808904.2744140625,1820135.4990234375,1873401.7072753904,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.0825415649846846,14.47598277848238,0.016845086278601096,0.89673366546961,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,13681185.669433594,13360938.161621094,13065989.963378906,10508922.293945312,17918375.471679688,14634731.657226562,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.07091155080792078,13.340241534314648,0.012433036377411388,0.9112170694558024,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,5710127.011474609,5824302.9326171875,5732824.095458984,4689957.828857422,7210002.552490234,6411734.287353516,2817110.0759277344
