lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cortex10x_01202023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M1FAD173-5xFAD-Cortex10x_01182023,M1FAD173-5xFAD-Diencephalon10x_01182023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,M2FAD173-5xFAD-Cortex10x_01192023,M2FAD173-5xFAD-Diencephalon10x_01192023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-cerebellum10x_01202023,DOD100-M1-WT-cortex10x_01202023,DOD100-M1-WT-diencephalon10x_01202023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,DOD99-M2-WT-cortex10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,M5FAD173-WT-Cortex10x_01192023,M5FAD173-WT-Diencephalon10x_01192023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
C24:6,-2.539807795036308,6.644504850533408,91.14920520109536,1.332369413543089e-21,1.994557012074004e-18,19,12,Genotype_ 5xFAD,Genotype_ WT,FA,12326.400840759276,14724.921058654783,14206.14096069336,14555.08102798462,10077.6607131958,11297.280799865724,13046.480945587158,14030.540996551514,13442.360980987549,13010.440864562988,12623.040897369385,47751.12338256836,59095.50420379639,47410.3631439209,47890.76341247559,9621.36060333252,10546.140739440918,12029.120834350586,9405.680633544922,10561.200748443604,14481.600986480713,14413.2610206604,13269.780883789062,13263.780952453611,14948.381107330322,13877.68102645874,13179.320930480955,272243.0631752014,354402.948135376,415605.2879180908,258853.2403793335,15041.60111618042
22:3 Campesteryl ester,1.5179383253337586,9.484772890617231,28.7759775346658,8.125270835912343e-8,6.081765220680389e-5,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,128654.78890991212,665137.4459533691,4006962.4003601074,345234.3631744385,235293.97583007807,2313333.353652954,229129.03816223145,123301.788772583,401060.3264312744,1145395.0406341553,175946.43223571777,32028.121990203857,213215.67528152463,463608.8536758423,34748.142459869385,29257.102043151852,110209.54704284668,215819.47241592407,32327.26247024536,119099.86869812012,353298.22665405273,427643.9084777832,117693.50897216795,140469.92993164062,449166.6716766357,345265.1865081787,117399.28813171388,32036.042041778564,60358.8840713501,99418.78695678712,27730.041870117188,78485.72638702393
C24:5,-1.3840736751763163,7.828563479617588,27.799054406823416,1.3459187829909975e-7,6.716134727125078e-5,19,12,Genotype_ 5xFAD,Genotype_ WT,FA,13476.480907440186,15964.541080474854,16507.021045684814,16385.72120285034,11292.020793914797,12323.40089416504,14604.30101776123,15463.721138000488,15109.661087036133,14607.021083831787,14021.64101409912,52588.40413665772,57000.02405548096,55844.02407073975,53978.32370758057,181311.0133934021,279655.6807937622,485918.2353820801,211407.67669677731,12792.980945587158,15738.401149749756,15465.401084899902,15376.321109771729,13827.74101638794,15673.68117904663,16131.00112915039,14395.621006011965,556735.4445800781,624001.2620849609,714886.6081542969,530051.2543334961,13804.400928497314
22:2 Campesteryl ester,1.4491593573569064,9.287694836992607,26.39812171293306,2.778105015740171e-7,1.039705802140759e-4,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,100209.36726379396,560526.3181762695,3415261.498123169,310858.8617248535,197735.27307128903,1941418.5549240112,204018.31434631348,113135.72926330566,350653.6643676758,950963.794708252,165681.3123474121,48554.28336715698,191685.9516410828,341881.02141952515,55576.944202423096,58030.14366531372,109390.46683120728,226201.9358673096,53085.56405258179,107182.94714355467,289210.3822784424,366085.0646057129,109912.80857086182,130781.98825073242,381027.0474014282,299380.28102111816,103576.40770339966,53468.66411590576,70477.46474456787,109228.78860855104,55119.703243255615,80835.36569976807
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",1.1750104231164424,9.7817429709845225,17.792828591196667,2.4630987338555433e-5,0.0056606022509424385,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,395209.9066314697,760646.4669799805,4193570.23059082,418908.9720458984,293992.34017944336,2436225.9285354614,288414.3606262207,204615.7733001709,476102.9566268921,1227538.8339004517,395202.1464691162,41977.76301956177,238534.7177581787,487762.71195983887,60594.46385574341,56235.90398788452,214955.03761291504,245699.79766082764,54126.38396835327,273860.9999847412,636603.4621429443,491573.2315979004,172745.71115112305,198562.29412078857,524705.1521759033,408879.0844268799,235747.2753677368,90103.56624221802,114199.28704071043,132412.4898223877,80594.5062789917,79871.64535522461
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",1.190950835747602,9.783311944274471,18.253231189016333,1.9339760161184503e-5,0.0056606022509424385,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,401505.6079406738,759511.5723876953,4263195.970428467,429962.6456832886,279027.41773986816,2450399.517211914,281520.3006362915,202002.13383483887,460364.1280517578,1237139.4935913086,380934.2229003906,46140.94332122803,238796.4598121643,480094.9753990173,58387.70426940918,56842.763942718506,205046.51355743408,260850.21912384036,56851.84379959106,276648.3995361328,631755.8412628174,483708.2539367676,169745.83312225342,193528.11378479004,508749.6130981445,420318.2272872925,234477.81832885745,89969.3465385437,112743.7882270813,128342.92868804932,84083.74672317505,78654.8657836914
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",1.1702354782967375,9.815446343945347,17.65591502183635,2.646908200173485e-5,0.0056606022509424385,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,418094.6909484863,785230.433883667,4335094.217636108,440693.1749420166,291328.83966064453,2424601.445907593,302909.70166015625,229211.5368499756,486303.7544708252,1214155.489013672,399352.206993103,50162.80352783203,242612.57849502563,473240.09295654297,67133.70456695557,61692.403953552246,212423.1340522766,260224.8973274231,60102.20470428467,298767.4224395752,631113.1820526123,508719.3950653076,182368.67237854004,203995.51489257807,519931.7783508301,431463.2315979004,239286.7336273193,94036.04633712769,111592.80855560304,140062.0503730774,81550.40517807007,95162.20687866212
Lyso_PE(18:4),1.1272843375621162,10.884264432682436,16.445235734681773,5.0075871733359405e-5,0.009370447498104879,19,12,Genotype_ 5xFAD,Genotype_ WT,PE,130497.98791503906,132420.98950195312,128090.62939453124,160638.87255859375,87590.98681640625,98033.467529296875,112687.5479736328,47646.68365478516,49292.86352539063,906425.1446533204,27969.562103271484,113600.64776611328,50390.56359863281,39787.3427734375,35946.782318115234,23387747.104492188,1178031.4189453125,602193.0234375,90881.506103515625,83877.54577636719,89168.46691894531,79140.36560058594,82246.365234375,6150566.934814453,719531.388671875,356090.884765625,83568.72521972656,200389.6328125,200920.294921875,173677.85327148438,243814.63671875,48831.60382080078
PG (32:5),-0.9735034676584147,7.816086426521252,13.719812265597284,2.1220408112147842e-4,0.03529661215987258,19,12,Genotype_ 5xFAD,Genotype_ WT,PG,51579.42388916016,64834.60479736328,56995.0637512207,28723.361907958984,53168.24328613281,66687.0654296875,67011.54473876953,54014.363830566406,61361.8037109375,55179.38348388672,24903.141830444336,49416.28317260742,141260.64776611328,45016.04336547852,50010.76354980469,50647.60369873047,55899.803955078125,738903.2070922852,53159.36410522461,59121.56433105469,56942.42364501953,69036.98474121094,1390551.1256103516,68848.2642211914,58152.703552246094,59599.624603271484,58263.66400146485,48331.80380249024,54420.32379150391,56953.10424804688,52151.98425292969,52170.14404296875
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",0.9533927576468135,10.031215661293444,11.937241659361462,5.502288309858731e-4,0.0823692559985852,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,509853.1942749024,886596.4566040039,4266531.996337891,551197.3804321289,395252.35021972656,2546012.7651367188,404505.4692993164,341752.60235595703,609977.1625366211,1304348.4512939453,510826.0159912109,94177.84733581544,312567.95877075195,547096.079498291,108040.34707641602,93625.94639587402,252679.2993774414,299023.34020996094,97633.84701538086,409572.60858154297,761966.9335327148,607827.5447998047,295440.6604003906,315141.1229248047,636043.1421508789,525964.3529052734,345451.66107177734,127826.9700012207,151632.98983764648,172992.2515258789,116165.72821044922,186491.7528076172
