,Lipid,Retention_Time,Purity,Area_DDT,Area_DDT_Ratio
0,[TG(52:2)]_FA18:1,18.05,Crude,577.0,4.19
1,[TG(52:2)]_FA18:1,18.05,Crude,2418.0,4.19
2,[TG(52:2)]_FA18:1,17.93,Degummed,446.0,4.13
3,[TG(52:2)]_FA18:1,17.94,Degummed,1843.0,4.13
4,[TG(52:2)]_FA18:1,18.06,RBD,524.0,3.68
5,[TG(52:2)]_FA18:1,18.07,RBD,1929.0,3.68
6,[TG(52:3)]_FA18:1,16.04,Crude,167.0,2.46
7,[TG(52:3)]_FA18:1,16.09,Crude,410.0,2.46
8,[TG(52:3)]_FA18:1,15.98,Degummed,141.0,2.81
9,[TG(52:3)]_FA18:1,16.01,Degummed,396.0,2.81
10,[TG(52:3)]_FA18:1,16.07,RBD,194.0,2.2
11,[TG(52:3)]_FA18:1,16.16,RBD,426.0,2.2
12,[TG(52:4)]_FA18:1,14.31,Crude,133.0,2.16
13,[TG(52:4)]_FA18:1,14.3,Crude,287.0,2.16
14,[TG(52:4)]_FA18:1,14.2,Degummed,140.0,2.3
15,[TG(52:4)]_FA18:1,14.19,Degummed,322.0,2.3
16,[TG(52:4)]_FA18:1,14.31,RBD,167.0,2.19
17,[TG(52:4)]_FA18:1,14.35,RBD,365.0,2.19
18,[TG(54:2)]_FA18:1,19.98,Crude,452.0,3.81
19,[TG(54:2)]_FA18:1,20.0,Crude,1723.0,3.81
20,[TG(54:2)]_FA18:1,19.95,Degummed,273.0,2.55
21,[TG(54:2)]_FA18:1,19.92,Degummed,697.0,2.55
22,[TG(54:2)]_FA18:1,19.98,RBD,309.0,3.91
23,[TG(54:2)]_FA18:1,20.04,RBD,1207.0,3.91
24,[TG(54:3)]_FA18:1,17.98,Crude,2569.0,4.7
25,[TG(54:3)]_FA18:1,17.98,Crude,12065.0,4.7
26,[TG(54:3)]_FA18:1,17.9,Degummed,1617.0,4.67
27,[TG(54:3)]_FA18:1,17.88,Degummed,7552.0,4.67
28,[TG(54:3)]_FA18:1,18.01,RBD,1808.0,4.38
29,[TG(54:3)]_FA18:1,18.01,RBD,7914.0,4.38
30,[TG(54:4)]_FA18:1,16.09,Crude,903.0,3.62
31,[TG(54:4)]_FA18:1,16.07,Crude,3267.0,3.62
32,[TG(54:4)]_FA18:1,15.96,Degummed,495.0,3.71
33,[TG(54:4)]_FA18:1,15.98,Degummed,1838.0,3.71
34,[TG(54:4)]_FA18:1,16.1,RBD,584.0,3.87
35,[TG(54:4)]_FA18:1,16.12,RBD,2262.0,3.87
36,[TG(54:5)]_FA18:1,14.31,Crude,149.0,5.74
37,[TG(54:5)]_FA18:1,14.31,Crude,855.0,5.74
38,[TG(54:5)]_FA18:1,14.21,Degummed,105.0,5.15
39,[TG(54:5)]_FA18:1,14.2,Degummed,541.0,5.15
40,[TG(54:5)]_FA18:1,14.28,RBD,111.0,4.23
41,[TG(54:5)]_FA18:1,14.33,RBD,469.0,4.23
