Sample Name,Position,Sample Type,Sex,Name,C_E
IPA1_NA,P1-A1,1,_NA,IPA,IPA
BlankBrain_NA,P1-A2,Brain,_NA,Blank,Blank
C-1BrainF,P1-A3,Brain,F,C-1,C
C-2BrainF,P1-A4,Brain,F,C-2,C
C-3BrainF,P1-A5,Brain,F,C-3,C
C-4BrainM,P1-A6,Brain,M,C-4,C
C-5BrainM,P1-A7,Brain,M,C-5,C
C-6BrainM,P1-A8,Brain,M,C-6,C
E-1BrainF,P1-A9,Brain,F,E-1,E
E-2BrainF,P1-B1,Brain,F,E-2,E
E-3BrainF,P1-B2,Brain,F,E-3,E
E-4BrainM,P1-B3,Brain,M,E-4,E
E-5BrainM,P1-B4,Brain,M,E-5,E
E-6BrainM,P1-B5,Brain,M,E-6,E
BlankLiver_NA,P1-B6,Liver,_NA,Blank,Blank
C-1LiverF,P1-B7,Liver,F,C-1,C
C-2LiverF,P1-B8,Liver,F,C-2,C
C-3LiverF,P1-B9,Liver,F,C-3,C
C-4LiverM,p1-C1,Liver,M,C-4,C
C-5LiverM,p1-C2,Liver,M,C-5,C
C-6LiverM,p1-C3,Liver,M,C-6,C
E-1LiverF,p1-C4,Liver,F,E-1,E
E-2LiverF,p1-C5,Liver,F,E-2,E
E-3LiverF,p1-C6,Liver,F,E-3,E
E-4LiverM,p1-C7,Liver,M,E-4,E
E-5LiverM,p1-C8,Liver,M,E-5,E
E-6LiverM,p1-C9,Liver,M,E-6,E
BlankRetina_NA,p1-d1 ,Retina,_NA,Blank,Blank
C-1RetinaF,p1-d2,Retina,F,C-1,C
C-2RetinaF,p1-d3,Retina,F,C-2,C
C-3RetinaF,p1-d4,Retina,F,C-3,C
C-4RetinaM,p1-d5,Retina,M,C-4,C
C-5RetinaM,p1-d6,Retina,M,C-5,C
C-6RetinaM,p1-d7,Retina,M,C-6,C
E-1RetinaF,p1-d8,Retina,F,E-1,E
E-2RetinaF,p1-d9,Retina,F,E-2,E
E-3RetinaF,p1-e1,Retina,F,E-3,E
E-4RetinaM,p1-e2,Retina,M,E-4,E
E-5RetinaM,p1-e3,Retina,M,E-5,E
E-6RetinaM,p1-e4,Retina,M,E-6,E
BlankPlasma_NA,P1-e5,Plasma,_NA,Blank,Blank
C-1PlasmaF,P1-e6,Plasma,F,C-1,C
C-2PlasmaF,P1-e7,Plasma,F,C-2,C
C-3PlasmaF,P1-e8,Plasma,F,C-3,C
C-4PlasmaM,P1-e9,Plasma,M,C-4,C
C-5PlasmaM,p1-f1,Plasma,M,C-5,C
C-6PlasmaM,p1-f2,Plasma,M,C-6,C
E-1PlasmaF,p1-f3,Plasma,F,E-1,E
E-2PlasmaF,p1-f4,Plasma,F,E-2,E
E-3PlasmaF,p1-f5,Plasma,F,E-3,E
E-4PlasmaM,p1-f6,Plasma,M,E-4,E
E-5PlasmaM,p1-f7,Plasma,M,E-5,E
E-6PlasmaM,p1-f8,Plasma,M,E-6,E
blankBMV_NA,p1-f9,BMV,_NA,blank,blank
C-1BMVF,p2-a1,BMV,F,C-1,C
C-2BMVF,p2-a2,BMV,F,C-2,C
C-3BMVF,p2-a3,BMV,F,C-3,C
C-4BMVM,p2-a4,BMV,M,C-4,C
C-5BMVM,p2-a5,BMV,M,C-5,C
C-6BMVM,p2-a6,BMV,M,C-6,C
E-1BMVF,p2-a7,BMV,F,E-1,E
E-2BMVF,p2-a8,BMV,F,E-2,E
E-3BMVF,p2-a9,BMV,F,E-3,E
E-4BMVM,p2-b1,BMV,M,E-4,E
E-5BMVM,p2-b2,BMV,M,E-5,E
E-6BMVM,p2-b3,BMV,M,E-6,E
