Sample Name,Processed Name
CER_FAD184_F4_Female_WT_cortex _N1_Brain_Region_8_17_23.mzML,FAD184_F4_Female_WT_cortex _N1_Brain_Region_8_17_23.mzML
AC_FAD184_F4_Female_WT_cerebellum_N1_Brain_Region_8_17_23.mzML,FAD184_F4_Female_WT_cerebellum_N1_Brain_Region_8_17_23.mzML
TAG20_0_DOD94_F3_Female_WT_cerebellum_N1_Brain_Region_8_17_23.mzML,DOD94_F3_Female_WT_cerebellum_N1_Brain_Region_8_17_23.mzML
CE_DOD94_F4_Female_5xFAD_cortex _N1_Brain_Region_8_17_23.mzML,DOD94_F4_Female_5xFAD_cortex _N1_Brain_Region_8_17_23.mzML
TAG20_0_FAD185_M3_Male_5xFAD_hippocampus_N1_Brain_Region_8_17_23.mzML,FAD185_M3_Male_5xFAD_hippocampus_N1_Brain_Region_8_17_23.mzML
AC_FAD185_M1_Male_5xFAD_diencephalon_N1_Brain_Region_8_17_23.mzML,FAD185_M1_Male_5xFAD_diencephalon_N1_Brain_Region_8_17_23.mzML
TAG20_0_DOD93_F4_Female_5xFAD_cerebellum_N1_Brain_Region_8_17_23.mzML,DOD93_F4_Female_5xFAD_cerebellum_N1_Brain_Region_8_17_23.mzML
PG_DOD94_F4_Female_5xFAD_cortex _N1_Brain_Region_8_17_23.mzML,DOD94_F4_Female_5xFAD_cortex _N1_Brain_Region_8_17_23.mzML
AC_DOD94_F3_Female_WT_cerebellum_N1_Brain_Region_5_9_23.mzML,DOD94_F3_Female_WT_cerebellum_N1_Brain_Region_5_9_23.mzML
CER_FAD185_M4_Male_WT_hippocampus_N1_Brain_Region_8_17_23.mzML,FAD185_M4_Male_WT_hippocampus_N1_Brain_Region_8_17_23.mzML
AC_FAD185_M3_Male_5xFAD_cerebellum_N1_Brain_Region_8_17_23.mzML,FAD185_M3_Male_5xFAD_cerebellum_N1_Brain_Region_8_17_23.mzML
AC_FAD185_M3_Male_5xFAD_cortex _N1_Brain_Region_8_17_23.mzML,FAD185_M3_Male_5xFAD_cortex _N1_Brain_Region_8_17_23.mzML
PG_FAD185_M4_Male_WT_hippocampus_N1_Brain_Region_8_17_23.mzML,FAD185_M4_Male_WT_hippocampus_N1_Brain_Region_8_17_23.mzML
AC_FAD189_M3_Male_WT_hippocampus_N1_Brain_Region_5_9_23.mzML,FAD189_M3_Male_WT_hippocampus_N1_Brain_Region_5_9_23.mzML
