,Lipid,Retention_Time,OzESI_Intensity,group_by_ion,group_by_lipid,Sample_ID,Transition,Sample,Parent_Ion,Product_Ion,Species,Class,STD,STD_RT_OFF,Peak_Height,FWHM,Peak_Width,Peak_Area,Filter_Column,Isomer
3,FA(10:0),4.086,88307.0,10,1,FAME_off,339.3 -> 183.0,FAME,339.3,183.0,10:0,FA,FAME,8.169266666666667,88307.0,0.07929952781301777,0.07869999999999955,6949.76089999996,group_by_lipid,
4,FA(11:0),4.3736500000000005,238663.0,12,3,FAME_off,353.3 -> 183.0,FAME,353.3,183.0,11:0,FA,FAME,8.169266666666667,238663.0,0.07827368463938676,0.07869999999999955,18782.77809999989,group_by_lipid,
5,FA(12:0),4.81825,705102.0,15,5,FAME_off,367.3 -> 183.0,FAME,367.3,183.0,12:0,FA,FAME,8.169266666666667,705102.0,0.0912685511084894,0.10493333333333332,73988.70319999999,group_by_lipid,
7,FA(13:0),5.525183333333334,504149.0,18,8,FAME_off,381.3 -> 183.0,FAME,381.3,183.0,13:0,FA,FAME,8.169266666666667,504149.0,0.10111600522254906,0.10493333333333332,52902.03506666666,group_by_lipid,
9,FA(14:0),6.337033333333333,1573355.0,21,11,FAME_off,395.4 -> 183.0,FAME,395.4,183.0,14:0,FA,FAME,8.169266666666667,1573355.0,0.10588868728083341,0.10493333333333332,165097.38466666665,group_by_lipid,
12,FA(14:1),5.3144,834263.0,20,12,FAME_off,393.4 -> 183.0,FAME,393.4,183.0,14:1,FA,FAME,8.169266666666667,834263.0,0.0970119134054477,0.10493333333333332,87541.99746666665,group_by_lipid,cis
16,FA(15:0),7.2791500000000005,857885.0,26,14,FAME_off,409.4 -> 183.0,FAME,409.4,183.0,15:0,FA,FAME,8.169266666666667,857885.0,0.11517754466400792,0.1311666666666671,112525.9158333337,group_by_lipid,
19,FA(15:1),6.072883333333333,1323773.0,25,15,FAME_off,407.4 -> 183.0,FAME,407.4,183.0,15:1,FA,FAME,8.169266666666667,1323773.0,0.0026096476471423936,0.07823333333333338,103563.17436666672,group_by_lipid,cis
23,FA(16:0),8.19595,2398234.0,29,18,FAME_off,423.4 -> 183.0,FAME,423.4,183.0,16:0,FA,FAME,8.169266666666667,2398234.0,0.10109484017309396,0.10493333333333332,251654.6877333333,group_by_lipid,
30,FA(16:1),6.910983333333333,1813371.0,28,19,FAME_off,421.4 -> 183.0,FAME,421.4,183.0,16:1,FA,FAME,8.169266666666667,1813371.0,0.10440833226349572,0.10493333333333332,190283.0636,group_by_lipid,
33,FA(17:0),9.217216666666667,547385.0,33,21,FAME_off,437.4 -> 183.0,FAME,437.4,183.0,17:0,FA,FAME,8.169266666666667,547385.0,0.13545038371580992,0.1311666666666671,71798.66583333357,group_by_lipid,
35,FA(17:1),7.801083333333334,2232096.0,32,22,FAME_off,435.4 -> 183.0,FAME,435.4,183.0,17:1,FA,FAME,8.169266666666667,2232096.0,0.11270926529370881,0.1311666666666662,292776.59199999896,group_by_lipid,cis
41,FA(18:0),10.211783333333333,659183.0,38,24,FAME_off,451.4 -> 183.0,FAME,451.4,183.0,18:0,FA,FAME,8.169266666666667,659183.0,0.16350848554852,0.18363333333333287,121047.97156666637,group_by_lipid,
46,FA(18:1),8.7432,4043347.0,37,25,FAME_off,449.4 -> 183.0,FAME,449.4,183.0,18:1,FA,FAME,8.169266666666667,4043347.0,0.12751578422839158,0.1311666666666671,530352.3481666684,group_by_lipid,cis
89,FA(18:2),8.035350000000001,1831706.0,36,26,FAME_off,447.4 -> 183.0,FAME,447.4,183.0,18:2,FA,FAME,8.169266666666667,1831706.0,0.11520267940826812,0.10493333333333332,192207.01626666664,group_by_lipid,
95,FA(18:3),6.776616666666667,2320712.0,35,27,FAME_off,445.4 -> 183.0,FAME,445.4,183.0,18:3,FA,FAME,8.169266666666667,2320712.0,0.09778605052789617,0.07869999999999955,182640.03439999896,group_by_lipid,
100,FA(20:0),12.25525,144205.0,44,29,FAME_off,479.4 -> 183.0,FAME,479.4,183.0,20:0,FA,FAME,8.169266666666667,144205.0,0.203265264286051,0.20986666666666665,30263.822666666663,group_by_lipid,
104,FA(20:1),10.629233333333334,1023483.0,43,30,FAME_off,477.4 -> 183.0,FAME,477.4,183.0,20:1,FA,FAME,8.169266666666667,1023483.0,0.1441580129642283,0.1573999999999991,161096.22419999907,group_by_lipid,trans
108,FA(20:2),9.318033333333334,1269626.0,42,31,FAME_off,475.4 -> 183.0,FAME,475.4,183.0,20:2,FA,FAME,8.169266666666667,1269626.0,0.10774311994468458,0.10493333333333332,133226.08826666666,group_by_lipid,
111,FA(20:3),8.269166666666667,2384459.0,41,32,FAME_off,473.4 -> 183.0,FAME,473.4,183.0,20:3,FA,FAME,8.169266666666667,2384459.0,0.13088641318983996,0.13116666666666532,312761.53883333015,group_by_lipid,
117,FA(20:4),7.6138,2003592.0,40,33,FAME_off,471.4 -> 183.0,FAME,471.4,183.0,20:4,FA,FAME,8.169266666666667,2003592.0,0.10036470146789069,0.07870000000000044,157682.69040000087,group_by_lipid,
120,FA(20:5),6.669866666666667,1621650.0,39,34,FAME_off,469.4 -> 183.0,FAME,469.4,183.0,20:5,FA,FAME,8.169266666666667,1621650.0,0.09000899871256826,0.07870000000000044,127623.85500000071,group_by_lipid,
122,FA(21:0),13.356583333333335,25096.0,45,35,FAME_off,493.4 -> 183.0,FAME,493.4,183.0,21:0,FA,FAME,8.169266666666667,25096.0,0.24052296258549452,0.23610000000000042,5925.16560000001,group_by_lipid,
125,FA(22:0),14.37785,20790.0,49,36,FAME_off,507.4 -> 183.0,FAME,507.4,183.0,22:0,FA,FAME,8.169266666666667,20790.0,0.2008274191624622,0.20984999999999943,4362.781499999988,group_by_lipid,
128,FA(22:1),12.541983333333334,274078.0,48,37,FAME_off,505.4 -> 183.0,FAME,505.4,183.0,22:1,FA,FAME,8.169266666666667,274078.0,0.2125111568446981,0.20986666666666842,57519.836266667146,group_by_lipid,trans
132,FA(22:2),11.178316666666667,436034.0,47,38,FAME_off,503.4 -> 183.0,FAME,503.4,183.0,22:2,FA,FAME,8.169266666666667,436034.0,0.1589305754119939,0.15740000000000087,68631.75160000038,group_by_lipid,
134,FA(22:6),7.558583333333334,2139168.0,46,39,FAME_off,495.4 -> 183.0,FAME,495.4,183.0,22:6,FA,FAME,8.169266666666667,2139168.0,0.09145831917744586,0.07869999999999955,168352.52159999905,group_by_lipid,
137,FA(23:0),15.479166666666668,2677.0,50,40,FAME_off,521.4 -> 183.0,FAME,521.4,183.0,23:0,FA,FAME,8.169266666666667,2677.0,0.2795360520470491,0.2623333333333342,702.2663333333356,group_by_lipid,
138,FA(24:0),14.533866666666666,2242.0,53,41,FAME_off,535.4 -> 183.0,FAME,535.4,183.0,24:0,FA,FAME,8.169266666666667,2242.0,0.21101711791194752,0.23610000000000042,529.336200000001,group_by_lipid,
140,FA(24:1),14.534316666666667,55694.0,51,42,FAME_off,533.4 -> 183.0,FAME,533.4,183.0,24:1,FA,FAME,8.169266666666667,55694.0,0.28133244108296757,0.2623333333333342,14610.392666666714,group_by_lipid,cis
0,FA(8:0),3.5893833333333336,23194.0,6,46,FAME_off,311.3 -> 183.0,FAME,311.3,183.0,8:0,FA,FAME,8.169266666666667,23194.0,0.07205272977087578,0.05246666666666666,1216.9118666666666,group_by_lipid,
1,FA(9:0),3.8245666666666667,7033.0,8,48,FAME_off,325.2 -> 183.0,FAME,325.2,183.0,9:0,FA,FAME,8.169266666666667,7033.0,0.07285813637204877,0.05246666666666666,368.9980666666666,group_by_lipid,
21,FA(d2-16:0),8.169266666666667,208041.0,30,50,FAME_off,425.4 -> 183.0,FAME,425.4,183.0,16:0,FA,FAME,8.169266666666667,208041.0,0.0977966680519408,0.10493333333333332,21830.435599999997,group_by_lipid,
