,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,10.8,0.1
2,[TG(52:5)]_FA16:1,5xFAD,5.5,
3,[TG(50:3)]_FA18:1,WT,98.3,3.4
7,[TG(50:3)]_FA18:1,5xFAD,100.0,0.0
10,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
13,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,0.0
16,"[TG(55:9),TG(54:2)]_FA18:1",WT,88.5,4.0
21,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,97.9,5.1
27,"[TG(55:10),TG(54:3)]_FA18:1",WT,93.8,2.4
32,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,98.4,1.6
37,"[TG(55:11),TG(54:4)]_FA18:1",WT,94.4,8.0
42,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,98.4,2.6
48,[TG(54:5)]_FA18:1,WT,94.8,7.1
52,[TG(54:5)]_FA18:1,5xFAD,99.4,1.6
58,[TG(54:6)]_FA18:1,WT,100.0,
59,[TG(54:6)]_FA18:1,5xFAD,100.0,0.0
61,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
65,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,
66,"[TG(57:10),TG(56:3)]_FA18:1",WT,95.9,5.9
68,"[TG(57:11),TG(56:4)]_FA18:1",WT,97.6,3.4
70,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,
71,"[TG(56:7),]_FA18:1",WT,100.0,
72,"[TG(56:7),]_FA18:1",5xFAD,100.0,
