,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,13.1,
1,[TG(52:5)]_FA16:1,5xFAD,10.1,4.3
3,[TG(50:3)]_FA18:1,WT,94.7,7.5
5,[TG(50:3)]_FA18:1,5xFAD,98.0,3.5
8,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
10,"[TG(55:9),TG(54:2)]_FA18:1",WT,95.7,4.8
15,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,99.6,1.0
20,"[TG(55:10),TG(54:3)]_FA18:1",WT,96.5,3.2
25,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,98.4,1.9
30,"[TG(55:11),TG(54:4)]_FA18:1",WT,95.1,4.8
35,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,93.8,3.5
40,[TG(54:5)]_FA18:1,WT,93.4,7.6
44,[TG(54:5)]_FA18:1,5xFAD,97.2,3.9
49,[TG(54:6)]_FA18:1,WT,100.0,
50,[TG(54:6)]_FA18:1,5xFAD,100.0,0.0
52,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
54,"[TG(57:11),TG(56:4)]_FA18:1",WT,100.0,0.0
56,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,
