,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,11.0,3.5
2,[TG(52:5)]_FA16:1,5xFAD,5.8,
3,[TG(50:3)]_FA18:1,WT,95.8,4.6
6,[TG(50:3)]_FA18:1,5xFAD,98.9,2.3
11,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
14,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,
15,"[TG(55:9),TG(54:2)]_FA18:1",WT,95.4,5.2
20,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,100.0,0.0
25,"[TG(55:10),TG(54:3)]_FA18:1",WT,96.5,3.2
30,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,97.2,4.1
34,"[TG(55:11),TG(54:4)]_FA18:1",WT,96.8,3.0
39,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,91.1,10.6
44,[TG(54:5)]_FA18:1,WT,93.7,6.1
49,[TG(54:5)]_FA18:1,5xFAD,99.1,1.9
54,[TG(54:6)]_FA18:1,WT,100.0,0.0
56,[TG(54:6)]_FA18:1,5xFAD,100.0,
57,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
60,"[TG(57:10),TG(56:3)]_FA18:1",WT,100.0,0.0
63,"[TG(57:11),TG(56:4)]_FA18:1",WT,100.0,0.0
66,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,
