,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,10.9,2.0
4,[TG(52:5)]_FA16:1,5xFAD,5.7,0.2
7,[TG(50:3)]_FA18:1,WT,98.6,3.0
21,[TG(50:3)]_FA18:1,5xFAD,99.6,1.4
36,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
46,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,0.0
51,"[TG(55:9),TG(54:2)]_FA18:1",WT,93.8,6.0
71,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,99.4,2.6
93,"[TG(55:10),TG(54:3)]_FA18:1",WT,96.6,2.9
113,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,99.0,2.1
133,"[TG(55:11),TG(54:4)]_FA18:1",WT,96.7,4.7
153,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,96.9,6.2
176,[TG(54:5)]_FA18:1,WT,94.9,6.1
191,[TG(54:5)]_FA18:1,5xFAD,98.9,3.2
211,[TG(54:6)]_FA18:1,WT,100.0,0.0
215,[TG(54:6)]_FA18:1,5xFAD,100.0,0.0
218,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
231,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,0.0
233,"[TG(57:10),TG(56:3)]_FA18:1",WT,99.0,2.9
241,"[TG(57:11),TG(56:4)]_FA18:1",WT,99.2,2.0
247,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,0.0
249,"[TG(56:7),]_FA18:1",WT,100.0,0.0
251,"[TG(56:7),]_FA18:1",5xFAD,100.0,
