,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,8.5,
1,[TG(52:5)]_FA16:1,5xFAD,5.2,1.1
3,[TG(50:3)]_FA18:1,WT,97.4,3.6
5,[TG(50:3)]_FA18:1,5xFAD,96.5,6.1
8,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,
9,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,
10,"[TG(55:9),TG(54:2)]_FA18:1",WT,89.9,5.3
15,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,97.8,4.0
21,"[TG(55:10),TG(54:3)]_FA18:1",WT,93.5,2.2
26,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,95.5,2.3
32,"[TG(55:11),TG(54:4)]_FA18:1",WT,94.8,7.6
37,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,94.6,4.4
43,[TG(54:5)]_FA18:1,WT,93.4,11.4
46,[TG(54:5)]_FA18:1,5xFAD,95.6,4.0
52,[TG(54:6)]_FA18:1,WT,100.0,
53,[TG(54:6)]_FA18:1,5xFAD,95.4,6.5
55,"[TG(56:11),TG(55:4)]_FA18:1",5xFAD,100.0,
56,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,
57,"[TG(57:10),TG(56:3)]_FA18:1",5xFAD,90.9,
58,"[TG(57:11),TG(56:4)]_FA18:1",WT,95.2,
59,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,0.0
61,"[TG(57:12),TG(56:5)]_FA18:1",WT,100.0,
62,"[TG(57:12),TG(56:5)]_FA18:1",5xFAD,100.0,
63,"[TG(56:7),]_FA18:1",WT,100.0,
64,"[TG(56:7),]_FA18:1",5xFAD,100.0,
