,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,10.8,3.2
2,[TG(52:5)]_FA16:1,5xFAD,6.9,3.7
7,[TG(50:3)]_FA18:1,WT,97.7,4.2
14,[TG(50:3)]_FA18:1,5xFAD,97.9,4.0
22,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
25,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,0.0
27,"[TG(55:9),TG(54:2)]_FA18:1",WT,94.6,5.4
47,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,97.3,4.8
70,"[TG(55:10),TG(54:3)]_FA18:1",WT,96.3,2.8
90,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,97.3,2.7
113,"[TG(55:11),TG(54:4)]_FA18:1",WT,96.4,4.9
133,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,96.3,3.9
156,[TG(54:5)]_FA18:1,WT,94.8,7.5
167,[TG(54:5)]_FA18:1,5xFAD,96.9,4.4
189,[TG(54:6)]_FA18:1,WT,100.0,0.0
191,[TG(54:6)]_FA18:1,5xFAD,98.2,4.1
196,"[TG(56:11),TG(55:4)]_FA18:1",5xFAD,100.0,
197,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
200,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,
201,"[TG(57:10),TG(56:3)]_FA18:1",5xFAD,95.4,6.5
203,"[TG(57:11),TG(56:4)]_FA18:1",WT,98.4,2.8
206,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,0.0
210,"[TG(57:12),TG(56:5)]_FA18:1",WT,100.0,
211,"[TG(57:12),TG(56:5)]_FA18:1",5xFAD,100.0,
212,"[TG(56:7),]_FA18:1",WT,100.0,
213,"[TG(56:7),]_FA18:1",5xFAD,82.2,25.2
