,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,5xFAD,5.8,
1,[TG(50:3)]_FA18:1,WT,100.0,0.0
6,[TG(50:3)]_FA18:1,5xFAD,100.0,0.0
9,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
12,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,
13,"[TG(55:9),TG(54:2)]_FA18:1",WT,93.4,6.6
18,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,100.0,0.0
24,"[TG(55:10),TG(54:3)]_FA18:1",WT,97.1,2.0
29,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,100.0,0.0
35,"[TG(55:11),TG(54:4)]_FA18:1",WT,95.5,3.4
40,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,97.1,5.1
46,[TG(54:5)]_FA18:1,WT,95.0,6.9
51,[TG(54:5)]_FA18:1,5xFAD,97.3,6.0
56,[TG(54:6)]_FA18:1,WT,100.0,
57,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
60,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,
61,"[TG(57:10),TG(56:3)]_FA18:1",WT,100.0,0.0
63,"[TG(57:11),TG(56:4)]_FA18:1",WT,100.0,
64,"[TG(56:7),]_FA18:1",WT,100.0,
