,Lipid,Retention_Time,OzESI_Intensity,group_by_ion,group_by_lipid,Sample_ID,Transition,Sample,Parent_Ion,Product_Ion,Species,Class,STD,STD_RT_OFF,Peak_Height,FWHM,Peak_Width,Peak_Area,Filter_Column,Isomer
0,FA(14:1),5.3144,834263.0,20,12,FAME_off,393.4 -> 183.0,FAME,393.4,183.0,14:1,FA,FAME,8.169266666666667,834263.0,0.0970119134054477,0.10493333333333332,87541.99746666665,group_by_lipid,1
1,FA(14:1),6.2588,1224.0,20,12,FAME_off,393.4 -> 183.0,FAME,393.4,183.0,14:1,FA,FAME,8.169266666666667,1224.0,0.05279687796470836,0.05246666666666666,64.2192,group_by_lipid,2
2,FA(15:1),6.072883333333333,1323773.0,25,15,FAME_off,407.4 -> 183.0,FAME,407.4,183.0,15:1,FA,FAME,8.169266666666667,1323773.0,0.0026096476471423936,0.07823333333333338,103563.17436666672,group_by_lipid,1
3,FA(15:1),7.30585,1123.0,25,15,FAME_off,407.4 -> 183.0,FAME,407.4,183.0,15:1,FA,FAME,8.169266666666667,1123.0,0.0025313993594481225,0.07824999999999971,87.87474999999968,group_by_lipid,2
4,FA(16:1),6.910983333333333,1813371.0,28,19,FAME_off,421.4 -> 183.0,FAME,421.4,183.0,16:1,FA,FAME,8.169266666666667,1813371.0,0.10440833226349572,0.10493333333333332,190283.0636,group_by_lipid,1
5,FA(17:1),7.801083333333334,2232096.0,32,22,FAME_off,435.4 -> 183.0,FAME,435.4,183.0,17:1,FA,FAME,8.169266666666667,2232096.0,0.11270926529370881,0.1311666666666662,292776.59199999896,group_by_lipid,1
6,FA(17:1),8.8504,2549.0,32,22,FAME_off,435.4 -> 183.0,FAME,435.4,183.0,17:1,FA,FAME,8.169266666666667,2549.0,0.06194332087595099,0.05245000000000033,133.69505000000083,group_by_lipid,2
7,FA(18:1),8.7432,4043347.0,37,25,FAME_off,449.4 -> 183.0,FAME,449.4,183.0,18:1,FA,FAME,8.169266666666667,4043347.0,0.12751578422839158,0.1311666666666671,530352.3481666684,group_by_lipid,1
8,FA(18:1),9.057983333333334,2013433.0,37,25,FAME_off,449.4 -> 183.0,FAME,449.4,183.0,18:1,FA,FAME,8.169266666666667,2013433.0,0.08974172950347403,0.07869999999999955,158457.1770999991,group_by_lipid,2
9,FA(18:2),8.035350000000001,1831706.0,36,26,FAME_off,447.4 -> 183.0,FAME,447.4,183.0,18:2,FA,FAME,8.169266666666667,1831706.0,0.11520267940826812,0.10493333333333332,192207.01626666664,group_by_lipid,2
