Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Purity,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,Mouse,SLBG_group
[TG(52:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,794.7,577.6,18.05,3815.0,45,Crude,FA18:1,"TG(52:2), TG(53:9)",21,3815.0,18.045533333333335,0.0055333333333358325,734.0,661.0,3.42,O3on_150gN3,10
[TG(52:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,766.7,577.6,18.05,16153.0,9,Crude,FA18:1,"TG(52:2), TG(53:9)",24,16153.0,18.05111666666667,0.011116666666669772,2243.0,2259.0,3.42,O3on_150gN3,10
[TG(52:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,792.7,575.6,16.04,1083.0,39,Crude,FA18:1,"TG(52:3), TG(53:10)",15,1083.0,16.040583333333334,0.07941666666666691,314.0,276.0,1.85,O3on_150gN3,7
[TG(52:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,764.6,575.6,16.09,3420.0,6,Crude,FA18:1,"TG(52:3), TG(53:10)",18,3420.0,16.094616666666667,0.02538333333333398,705.0,511.0,1.85,O3on_150gN3,7
[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,790.7,573.6,14.31,615.0,33,Crude,FA18:1,TG(52:4),0,615.0,14.312883333333334,0.00711666666666666,182.0,133.0,2.16,O3on_150gN3,0
[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,762.6,573.6,14.3,1875.0,3,Crude,FA18:1,TG(52:4),3,1875.0,14.301200000000001,0.018799999999998818,362.0,287.0,2.16,O3on_150gN3,0
[TG(54:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,822.7,605.6,19.98,2716.0,66,Crude,FA18:1,"TG(54:2), TG(55:9)",57,2716.0,19.982916666666668,0.02708333333333357,427.0,430.0,3.79,O3on_150gN3,28
[TG(54:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,794.6,605.6,20.0,11693.0,42,Crude,FA18:1,"TG(54:2), TG(55:9)",60,11693.0,20.002950000000002,0.007049999999999557,1656.0,1628.0,3.79,O3on_150gN3,28
[TG(54:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,820.7,603.6,17.98,17186.0,63,Crude,FA18:1,"TG(54:3), TG(55:10)",45,17186.0,17.9775,0.01249999999999929,2576.0,2535.0,4.76,O3on_150gN3,22
[TG(54:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,792.6,603.6,17.98,99860.0,36,Crude,FA18:1,"TG(54:3), TG(55:10)",48,99860.0,17.9817,0.00829999999999842,12132.0,12065.0,4.76,O3on_150gN3,22
[TG(54:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,818.7,601.6,16.09,5501.0,60,Crude,FA18:1,"TG(54:4), TG(55:11)",51,5501.0,16.086233333333332,0.013766666666668925,927.0,871.0,3.73,O3on_150gN3,25
[TG(54:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,790.6,601.6,16.07,27001.0,30,Crude,FA18:1,"TG(54:4), TG(55:11)",54,27001.0,16.0746,0.0254000000000012,3257.0,3248.0,3.73,O3on_150gN3,25
[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,816.7,599.6,14.31,1287.0,57,Crude,FA18:1,TG(54:5),27,1287.0,14.309133333333333,0.009133333333332772,349.0,310.0,3.25,O3on_150gN3,13
[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.31,5259.0,27,Crude,FA18:1,TG(54:5),30,5259.0,14.313816666666668,0.013816666666667032,1072.0,1009.0,3.25,O3on_150gN3,13
[TG(52:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,794.7,577.6,17.93,2316.0,46,Degummed,FA18:1,"TG(52:2), TG(53:9)",22,2316.0,17.9314,0.10859999999999914,604.0,529.0,2.89,O3on_150gN3,11
[TG(52:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,766.7,577.6,17.94,9987.0,10,Degummed,FA18:1,"TG(52:2), TG(53:9)",25,9987.0,17.936966666666667,0.10303333333333242,1671.0,1527.0,2.89,O3on_150gN3,11
[TG(52:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,792.7,575.6,15.98,955.0,40,Degummed,FA18:1,"TG(52:3), TG(53:10)",16,955.0,15.975366666666668,0.14463333333333317,238.0,204.0,2.45,O3on_150gN3,8
[TG(52:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,764.6,575.6,16.01,2387.0,7,Degummed,FA18:1,"TG(52:3), TG(53:10)",19,2387.0,16.0131,0.10689999999999955,553.0,500.0,2.45,O3on_150gN3,8
[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,790.7,573.6,14.2,640.0,34,Degummed,FA18:1,TG(52:4),1,640.0,14.19875,0.12124999999999986,179.0,154.0,2.06,O3on_150gN3,1
[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,762.6,573.6,14.19,1897.0,4,Degummed,FA18:1,TG(52:4),4,1897.0,14.187066666666666,0.1329333333333338,354.0,317.0,2.06,O3on_150gN3,1
