Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Purity,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
"[TG(53:9),TG(52:2)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-7,794.7,577.6,17.93,2316.0,46,Degummed,FA18:1,"TG(52:2), TG(53:9)",22,2316.0,17.9314,0.10859999999999914,604.0,604.0,2.74,10
"[TG(53:9),TG(52:2)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-9,766.7,577.6,17.94,9987.0,10,Degummed,FA18:1,"TG(52:2), TG(53:9)",25,9987.0,17.936966666666667,0.10303333333333242,1671.0,1653.0,2.74,10
"[TG(53:9),TG(52:2)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-7,794.7,577.6,18.06,2689.0,47,RBD,FA18:1,"TG(52:2), TG(53:9)",23,2689.0,18.061833333333333,0.02183333333333337,609.0,609.0,3.11,11
"[TG(53:9),TG(52:2)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,766.7,577.6,18.07,12642.0,11,RBD,FA18:1,"TG(52:2), TG(53:9)",26,12642.0,18.067416666666666,0.02741666666666731,1892.0,1893.0,3.11,11
[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,816.7,599.6,14.31,1287.0,57,Crude,FA18:1,TG(54:5),27,1287.0,14.309133333333333,0.009133333333332772,349.0,349.0,3.08,12
[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.31,5259.0,27,Crude,FA18:1,TG(54:5),30,5259.0,14.313816666666668,0.013816666666667032,1072.0,1074.0,3.08,12
[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,816.7,599.6,14.21,1061.0,58,Degummed,FA18:1,TG(54:5),28,1061.0,14.211316666666667,0.08868333333333389,259.0,259.0,3.02,13
[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.2,4061.0,28,Degummed,FA18:1,TG(54:5),31,4061.0,14.199683333333335,0.10031666666666617,781.0,782.0,3.02,13
[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,816.7,599.6,14.28,891.0,59,RBD,FA18:1,TG(54:5),29,891.0,14.276533333333335,0.02346666666666586,298.0,299.0,2.47,14
[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.33,3415.0,29,RBD,FA18:1,TG(54:5),32,3415.0,14.330116666666667,0.030116666666666347,738.0,738.0,2.47,14
[TG(54:6)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,814.7,597.6,12.4,437.0,54,Crude,FA18:1,TG(54:6),33,437.0,12.401566666666668,0.03843333333333199,162.0,162.0,1.22,15
[TG(54:6)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,786.6,597.6,12.44,948.0,21,Crude,FA18:1,TG(54:6),36,948.0,12.439316666666667,0.000683333333332925,197.0,198.0,1.22,15
[TG(54:6)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,814.7,597.6,12.42,390.0,55,Degummed,FA18:1,TG(54:6),34,390.0,12.417916666666667,0.02208333333333279,118.0,118.0,1.19,16
[TG(54:6)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,786.6,597.6,12.37,413.0,22,Degummed,FA18:1,TG(54:6),37,413.0,12.374116666666668,0.06588333333333196,140.0,140.0,1.19,16
[TG(54:6)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,786.6,597.6,12.42,398.0,23,RBD,FA18:1,TG(54:6),38,398.0,12.423016666666667,0.01698333333333224,136.0,137.0,1.09,17
"[TG(54:7),]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-7,812.7,595.6,11.16,336.0,51,Crude,FA18:1,TG(54:7),39,336.0,11.162633333333334,0.0026333333333337094,94.0,95.0,0.99,18
"[TG(54:7),]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-9,784.6,595.6,11.14,298.0,15,Crude,FA18:1,TG(54:7),42,298.0,11.1356,0.024399999999999977,94.0,94.0,0.99,18
"[TG(54:7),]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-7,812.7,595.6,10.92,276.0,52,Degummed,FA18:1,TG(54:7),40,276.0,10.918050000000001,0.24194999999999922,81.0,81.0,1.07,19
"[TG(54:7),]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-9,784.6,595.6,10.78,300.0,16,Degummed,FA18:1,TG(54:7),43,300.0,10.776850000000001,0.38314999999999877,86.0,87.0,1.07,19
"[TG(54:7),]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,784.6,595.6,10.68,325.0,17,RBD,FA18:1,TG(54:7),44,325.0,10.678983333333333,0.4810166666666671,119.0,119.0,1.27,20
"[TG(55:10),TG(54:3)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-7,820.7,603.6,17.98,17186.0,63,Crude,FA18:1,"TG(54:3), TG(55:10)",45,17186.0,17.9775,0.01249999999999929,2576.0,2578.0,4.52,21
"[TG(55:10),TG(54:3)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-9,792.6,603.6,17.98,99860.0,36,Crude,FA18:1,"TG(54:3), TG(55:10)",48,99860.0,17.9817,0.00829999999999842,11657.0,11657.0,4.52,21
"[TG(55:10),TG(54:3)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-7,820.7,603.6,17.9,10785.0,64,Degummed,FA18:1,"TG(54:3), TG(55:10)",46,10785.0,17.895983333333334,0.09401666666666486,1638.0,1638.0,4.65,22
"[TG(55:10),TG(54:3)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-9,792.6,603.6,17.88,61998.0,37,Degummed,FA18:1,"TG(54:3), TG(55:10)",49,61998.0,17.883866666666666,0.1061333333333323,7614.0,7614.0,4.65,22
"[TG(55:10),TG(54:3)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-7,820.7,603.6,18.01,11771.0,65,RBD,FA18:1,"TG(54:3), TG(55:10)",47,11771.0,18.01011666666667,0.020116666666670113,1849.0,1841.0,4.3,23
"[TG(55:10),TG(54:3)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,792.6,603.6,18.01,63686.0,38,RBD,FA18:1,"TG(54:3), TG(55:10)",50,63686.0,18.014316666666666,0.02431666666666743,7922.0,7922.0,4.3,23
"[TG(55:11),TG(54:4)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-7,818.7,601.6,16.09,5501.0,60,Crude,FA18:1,"TG(54:4), TG(55:11)",51,5501.0,16.086233333333332,0.013766666666668925,927.0,924.0,3.52,24
"[TG(55:11),TG(54:4)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-9,790.6,601.6,16.07,27001.0,30,Crude,FA18:1,"TG(54:4), TG(55:11)",54,27001.0,16.0746,0.0254000000000012,3257.0,3252.0,3.52,24
"[TG(55:11),TG(54:4)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-7,818.7,601.6,15.96,3479.0,61,Degummed,FA18:1,"TG(54:4), TG(55:11)",52,3479.0,15.9558,0.14420000000000144,519.0,519.0,3.43,25
"[TG(55:11),TG(54:4)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-9,790.6,601.6,15.98,14145.0,31,Degummed,FA18:1,"TG(54:4), TG(55:11)",55,14145.0,15.976766666666668,0.1232333333333333,1780.0,1780.0,3.43,25
"[TG(55:11),TG(54:4)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-7,818.7,601.6,16.1,3560.0,62,RBD,FA18:1,"TG(54:4), TG(55:11)",53,3560.0,16.10255,0.002549999999999386,624.0,624.0,3.58,26
"[TG(55:11),TG(54:4)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,790.6,601.6,16.12,17709.0,32,RBD,FA18:1,"TG(54:4), TG(55:11)",56,17709.0,16.123533333333334,0.023533333333332962,2234.0,2236.0,3.58,26
"[TG(55:9),TG(54:2)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-7,822.7,605.6,19.98,2716.0,66,Crude,FA18:1,"TG(54:2), TG(55:9)",57,2716.0,19.982916666666668,0.02708333333333357,427.0,427.0,2.96,27
"[TG(55:9),TG(54:2)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-9,794.6,605.6,20.0,11693.0,42,Crude,FA18:1,"TG(54:2), TG(55:9)",60,11693.0,20.002950000000002,0.007049999999999557,1266.0,1266.0,2.96,27
"[TG(55:9),TG(54:2)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-7,822.7,605.6,19.95,1345.0,67,Degummed,FA18:1,"TG(54:2), TG(55:9)",58,1345.0,19.950300000000002,0.05969999999999942,267.0,267.0,3.72,28
"[TG(55:9),TG(54:2)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-9,794.6,605.6,19.92,5166.0,43,Degummed,FA18:1,"TG(54:2), TG(55:9)",61,5166.0,19.921433333333333,0.08856666666666868,993.0,993.0,3.72,28
"[TG(55:9),TG(54:2)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-7,822.7,605.6,19.98,1725.0,68,RBD,FA18:1,"TG(54:2), TG(55:9)",59,1725.0,19.9829,0.02710000000000079,309.0,309.0,2.93,29
"[TG(55:9),TG(54:2)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,794.6,605.6,20.04,7721.0,44,RBD,FA18:1,"TG(54:2), TG(55:9)",62,7721.0,20.035566666666668,0.025566666666666293,906.0,905.0,2.93,29
