,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,5xFAD,3.9,
1,[TG(50:3)]_FA18:1,WT,100.0,
2,[TG(50:3)]_FA18:1,5xFAD,100.0,
3,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,
4,"[TG(55:9),TG(54:2)]_FA18:1",WT,94.9,4.9
9,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,94.1,6.8
15,"[TG(55:10),TG(54:3)]_FA18:1",WT,97.1,1.9
20,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,96.3,3.4
26,"[TG(55:11),TG(54:4)]_FA18:1",WT,95.7,3.1
31,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,97.3,3.8
37,[TG(54:5)]_FA18:1,WT,96.4,6.2
40,[TG(54:5)]_FA18:1,5xFAD,95.0,7.0
45,[TG(54:6)]_FA18:1,5xFAD,100.0,
46,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,
47,"[TG(57:10),TG(56:3)]_FA18:1",5xFAD,100.0,
48,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,
49,"[TG(56:7),]_FA18:1",5xFAD,64.4,
