Sample Name,Position,Cage,Sex,Genotype,Brain Region
Blank,p1-a1,Blank,Blank,Blank,Blank
Clean,p1-a2,IPA,clean,clean,clean
DOD94_F3_Female_WT_hippocampus,p1-a3,DOD94,Female,WT,hippocampus
DOD94_F3_Female_WT_cortex ,p1-a4,DOD94,Female,WT,cortex 
DOD94_F3_Female_WT_cerebellum,p1-a5,DOD94,Female,WT,cerebellum
DOD94_F3_Female_WT_diencephalon,p1-a6,DOD94,Female,WT,diencephalon
DOD93_F4_Female_5xFAD_hippocampus,p1-a7,DOD93,Female,5xFAD,hippocampus
DOD93_F4_Female_5xFAD_cortex ,p1-a8,DOD93,Female,5xFAD,cortex 
DOD93_F4_Female_5xFAD_cerebellum,p1-b1,DOD93,Female,5xFAD,cerebellum
DOD93_F4_Female_5xFAD_diencephalon,p1-b2,DOD93,Female,5xFAD,diencephalon
DOD94_F4_Female_5xFAD_hippocampus,p1-b3,DOD94,Female,5xFAD,hippocampus
DOD94_F4_Female_5xFAD_cortex ,p1-b4,DOD94,Female,5xFAD,cortex 
DOD94_F4_Female_5xFAD_cerebellum,p1-b5,DOD94,Female,5xFAD,cerebellum
DOD94_F4_Female_5xFAD_diencephalon,p1-b6,DOD94,Female,5xFAD,diencephalon
FAD185_M4_Male_WT_hippocampus,p1-b7,FAD185,Male,WT,hippocampus
FAD185_M4_Male_WT_cortex ,p1-b8,FAD185,Male,WT,cortex 
FAD185_M4_Male_WT_cerebellum,p1-c1,FAD185,Male,WT,cerebellum
FAD185_M4_Male_WT_diencephalon,p1-c2,FAD185,Male,WT,diencephalon
FAD184_F3_Female_WT_hippocampus,p1-c3,FAD184,Female,WT,hippocampus
FAD184_F3_Female_WT_cortex ,p1-c4,FAD184,Female,WT,cortex 
FAD184_F3_Female_WT_cerebellum,p1-c5,FAD184,Female,WT,cerebellum
FAD184_F3_Female_WT_diencephalon,p1-c6,FAD184,Female,WT,diencephalon
FAD184_F4_Female_WT_hippocampus,p1-c7,FAD184,Female,WT,hippocampus
FAD184_F4_Female_WT_cortex ,p1-c8,FAD184,Female,WT,cortex 
FAD184_F4_Female_WT_cerebellum,p1-d1,FAD184,Female,WT,cerebellum
FAD184_F4_Female_WT_diencephalon,p1-d2,FAD184,Female,WT,diencephalon
FAD189_M3_Male_WT_hippocampus,p1-d3,FAD189,Male,WT,hippocampus
FAD189_M3_Male_WT_cortex ,p1-d4,FAD189,Male,WT,cortex 
FAD189_M3_Male_WT_cerebellum,p1-d5,FAD189,Male,WT,cerebellum
FAD189_M3_Male_WT_diencephalon,p1-d6,FAD189,Male,WT,diencephalon
FAD189_M2_Male_5xFAD_hippocampus,p1-d7,FAD189,Male,5xFAD,hippocampus
FAD189_M2_Male_5xFAD_cortex ,p1-d8,FAD189,Male,5xFAD,cortex 
FAD189_M2_Male_5xFAD_cerebellum,p1-e1,FAD189,Male,5xFAD,cerebellum
FAD189_M2_Male_5xFAD_diencephalon,p1-e2,FAD189,Male,5xFAD,diencephalon
FAD189_M1_Male_5xFAD_hippocampus,p1-e3,FAD189,Male,5xFAD,hippocampus
FAD189_M1_Male_5xFAD_cortex ,p1-e4,FAD189,Male,5xFAD,cortex 
FAD189_M1_Male_5xFAD_cerebellum,p1-e5,FAD189,Male,5xFAD,cerebellum
FAD189_M1_Male_5xFAD_diencephalon,p1-e6,FAD189,Male,5xFAD,diencephalon
FAD185_M3_Male_5xFAD_hippocampus,p1-e7,FAD185,Male,5xFAD,hippocampus
FAD185_M3_Male_5xFAD_cortex ,p1-e8,FAD185,Male,5xFAD,cortex 
FAD185_M3_Male_5xFAD_cerebellum,p1-f1,FAD185,Male,5xFAD,cerebellum
FAD185_M3_Male_5xFAD_diencephalon,p1-f2,FAD185,Male,5xFAD,diencephalon
FAD185_M1_Male_5xFAD_hippocampus,p1-f3,FAD185,Male,5xFAD,hippocampus
FAD185_M1_Male_5xFAD_cortex ,p1-f4,FAD185,Male,5xFAD,cortex 
FAD185_M1_Male_5xFAD_cerebellum,p1-f5,FAD185,Male,5xFAD,cerebellum
FAD185_M1_Male_5xFAD_diencephalon,p1-f6,FAD185,Male,5xFAD,diencephalon
SPLASH_splash_splash_splash_splash,p1-f7,SPLASH,splash,splash,splash
