,Parent_Ion_new,Product_Ion_new,Intensity_new,Transition_new,Class,Sample_ID_new,Sample Name_new,Cage,Position_new,Dilution Factor,Sex2,Sex_new,Genotype_new,Brain Region,method_type_new,Blank Subtraction_new,subclasses,chain_length,saturation,between_parenthese,FA_Chain,Start,End,Parent_Ion_old,Product_Ion_old,Intensity_old,Transition_old,Sample_ID_old,Sample Name_old,Position_old,nickname,Sex_old,Genotype_old,time point,method_type_old,Blank Subtraction_old,_tmpkey,Lipid
18094,279.2,279.2,92326.447265625,279.2 -> 279.2,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,2,(18:2),(18:2),279.2,279.2,279.3,279.3,1040349.2161865234,279.3 -> 279.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,848838.1227722168,FA1396.01396.0,FA(18:2)
18131,281.2,281.2,118149.4287109375,281.2 -> 281.2,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,1,(18:1),(18:1),281.2,281.2,281.3,281.3,1269482.4680786133,281.3 -> 281.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,1031252.3924560548,FA1406.01406.0,FA(18:1)
18168,283.3,283.3,142626.45068359375,283.3 -> 283.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(18:0),(18:0),283.3,283.3,283.3,283.3,11906935.778808594,283.3 -> 283.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,6363088.594909668,FA1416.01416.0,FA(18:0)
18385,297.3,297.3,183205.93432617188,297.3 -> 297.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(19:0),(19:0),297.3,297.3,297.3,297.3,7954.340511322021,297.3 -> 297.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,0.0,FA1486.01486.0,FA(19:0)
18458,301.2,301.2,98341.04724121094,301.2 -> 301.2,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,5,(20:5),(20:5),301.2,301.2,301.3,301.3,7958.200542449951,301.3 -> 301.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,0.0,FA1506.01506.0,FA(20:5)
18495,303.2,303.2,74704.64587402344,303.2 -> 303.2,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,4,(20:4),(20:4),303.2,303.2,303.3,303.3,7955.160545349121,303.3 -> 303.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,0.0,FA1516.01516.0,FA(20:4)
18532,305.2,305.2,136383.86962890625,305.2 -> 305.2,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,3,(20:3),(20:3),305.2,305.2,305.3,305.3,7956.24055480957,305.3 -> 305.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,0.0,FA1526.01526.0,FA(20:3)
18605,309.3,309.3,98814.62719726562,309.3 -> 309.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,1,(20:1),(20:1),309.3,309.3,309.3,309.3,7957.380546569824,309.3 -> 309.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,0.0,FA1546.01546.0,FA(20:1)
18642,311.3,311.3,258155.2587890625,311.3 -> 311.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(20:0),(20:0),311.3,311.3,311.3,311.3,7961.160514831543,311.3 -> 311.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,0.0,FA1556.01556.0,FA(20:0)
18895,327.2,327.2,117102.00854492188,327.2 -> 327.2,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,6,(22:6),(22:6),327.2,327.2,327.3,327.3,3607529.3559265137,327.3 -> 327.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,3110147.055541992,FA1636.01636.0,FA(22:6)
18932,329.2,329.2,90716.666015625,329.2 -> 329.2,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,5,(22:5),(22:5),329.2,329.2,329.3,329.3,3252209.494995117,329.3 -> 329.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,2360220.73551178,FA1646.01646.0,FA(22:5)
18969,331.3,331.3,73046.98486328125,331.3 -> 331.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,4,(22:4),(22:4),331.3,331.3,331.3,331.3,966979.874206543,331.3 -> 331.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,842215.2465362549,FA1656.01656.0,FA(22:4)
19078,337.3,337.3,66904.96472167969,337.3 -> 337.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,1,(22:1),(22:1),337.3,337.3,337.3,337.3,1382191.5220031738,337.3 -> 337.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,1152517.7425003052,FA1686.01686.0,FA(22:1)
19115,339.3,339.3,158888.591796875,339.3 -> 339.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(22:0),(22:0),339.3,339.3,339.3,339.3,6921673.673706055,339.3 -> 339.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,5764015.133331299,FA1696.01696.0,FA(22:0)
19296,353.2,353.2,69632.14453125,353.2 -> 353.2,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,7,(24:7),(24:7),353.2,353.2,353.3,353.3,2389622.010498047,353.3 -> 353.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,1884313.6782913208,FA1766.01766.0,FA(24:7)
19332,353.3,353.3,58693.98394775391,353.3 -> 353.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(23:0),(23:0),353.3,353.3,353.3,353.3,2389622.010498047,353.3 -> 353.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,1884313.6782913208,FA1766.01766.0,FA(23:0)
19369,355.3,355.3,49563.42321777344,355.3 -> 355.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,6,(24:6),(24:6),355.3,355.3,355.3,355.3,3935161.329467773,355.3 -> 355.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,3524471.7628936768,FA1776.01776.0,FA(24:6)
19550,365.3,365.3,45426.24346923828,365.3 -> 365.3,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,1,(24:1),(24:1),365.3,365.3,365.3,365.3,2184860.599914551,365.3 -> 365.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,1989106.0662460327,FA1826.01826.0,FA(24:1)
19587,367.4,367.4,45829.36328125,367.4 -> 367.4,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(24:0),(24:0),367.4,367.4,367.3,367.3,3295477.663192749,367.3 -> 367.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,2816040.1474456787,FA1836.01836.0,FA(24:0)
19912,393.4,393.4,39933.90270996094,393.4 -> 393.4,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,1,(26:1),(26:1),393.4,393.4,393.3,393.3,2798202.533325196,393.3 -> 393.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,2644163.1630477905,FA1966.01966.0,FA(26:1)
19949,395.4,395.4,44583.703674316406,395.4 -> 395.4,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(26:0),(26:0),395.4,395.4,395.3,395.3,4076158.4682998657,395.3 -> 395.3,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,3849755.7733078,FA1976.01976.0,FA(26:0)
20418,423.4,423.4,28822.442321777344,423.4 -> 423.4,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(28:0),(28:0),423.4,423.4,423.4,423.4,4162727.565383911,423.4 -> 423.4,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,3943707.270931244,FA2116.02116.0,FA(28:0)
20996,479.5,479.5,13181.56095123291,479.5 -> 479.5,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(32:0),(32:0),479.5,479.5,479.4,479.4,1627699.7334861755,479.4 -> 479.4,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,1535868.9674835205,FA2396.02396.0,FA(32:0)
21177,507.5,507.5,13632.401084899902,507.5 -> 507.5,FA,FFA_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,FFA,0.0,FA,FA,0,(34:0),(34:0),507.5,507.5,507.5,507.5,1373733.1092185974,507.5 -> 507.5,FFA_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,FFA,1189965.1360473633,FA2537.02537.0,FA(34:0)
21610,300.1,184.1,21602.38175201416,300.1 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(2:0),,300.1,184.1,300.1,184.1,229172.8354187012,300.1 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,210419.43405151367,PC1500.0920.0,LPC(2:0)
21780,312.1,184.1,17637.001205444336,312.1 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,1,(3:1),,312.1,184.1,312.1,184.1,132699.2713623047,312.1 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,105773.18960571288,PC1560.0920.0,LPC(3:1)
21950,314.1,184.1,19077.801300048828,314.1 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(3:0),,314.1,184.1,314.1,184.1,134642.36819458008,314.1 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,117016.44686889648,PC1570.0920.0,LPC(3:0)|PC(O-3:0)
22120,328.2,184.1,62643.72424316406,328.2 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(4:0),,328.2,184.1,328.1,184.1,205610.4560546875,328.1 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,110951.91009521484,PC1640.0920.0,LPC(4:0)|PC(O-4:0)|PC(O-5:0)
22290,342.2,184.1,72521.76513671875,342.2 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(4:0),,342.2,184.1,342.2,184.1,186421.55560302731,342.2 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,156630.61328125,PC1710.0920.0,PC(4:0)|LPC(5:0)
22460,356.2,184.1,33953.34265136719,356.2 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(6:0),,356.2,184.1,356.2,184.1,145689.9501953125,356.2 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,101778.6671447754,PC1780.0920.0,LPC(6:0)
22630,370.2,184.1,59714.54412841797,370.2 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(6:0),,370.2,184.1,370.2,184.1,149242.05017089844,370.2 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,44628.86297607422,PC1850.0920.0,PC(6:0)|LPC(7:0)
22800,384.2,184.1,25071.181671142574,384.2 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(8:0),,384.2,184.1,384.2,184.1,68446.12509155273,384.2 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,42561.08334350586,PC1920.0920.0,LPC(8:0)
23139,398.2,184.1,44395.063415527344,398.2 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(8:0),,398.2,184.1,398.2,184.1,74487.62567138672,398.2 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,39241.3430480957,PC1990.0920.0,PC(8:0)|LPC(9:0)
23309,412.2,184.1,41544.88305664063,412.2 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(10:0),,412.2,184.1,412.2,184.1,84429.36669921875,412.2 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,39944.88375854492,PC2060.0920.0,LPC(10:0)|PC(O-10:0)
23479,426.3,184.1,45321.36334228516,426.3 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(10:0),,426.3,184.1,426.3,184.1,78483.80651855469,426.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,50333.12448120117,PC2131.0920.0,PC(10:0)|LPC(11:0)
23818,440.3,184.1,53912.94366455078,440.3 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,0,(12:0),,440.3,184.1,440.3,184.1,117873.1078491211,440.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,86905.1460723877,PC2201.0920.0,LPC(12:0)
24326,454.3,184.1,38026.90274047852,454.3 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(O-,LPC(O-,0,(12:0),,454.3,184.1,454.3,184.1,150667.9700012207,454.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,126127.72801208496,PC2271.0920.0,PC(12:0)|LPC(13:0)|LPC(O-14:0)
24496,466.3,184.1,226678.43603515625,466.3 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(P-,LPC(P-,1,(14:1),,466.3,184.1,466.3,184.1,280183.46044921875,466.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,244693.17791748047,PC2331.0920.0,LPC(14:1)|LPC(P-15:0)
24666,468.3,184.1,234598.55541992188,468.3 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(O-,LPC(O-,0,(14:0),,468.3,184.1,468.3,184.1,254762.4541015625,468.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,218270.7314605713,PC2341.0920.0,LPC(14:0)|PC(O-14:0)|LPC(O-15:0)
24836,480.3,184.1,39583.62292480469,480.3 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(O-,LPC(O-,1,(15:1),,480.3,184.1,480.3,184.1,499950.6755981445,480.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,475350.3538513184,PC2401.0920.0,LPC(15:1)|LPC(O-16:1)|LPC(P-16:0)
25006,482.4,184.1,36015.7024230957,482.4 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(O-,LPC(O-,0,(14:0),,482.4,184.1,482.3,184.1,474897.0526123047,482.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,453919.8512115479,PC2411.0920.0,PC(14:0)|LPC(15:0)|LPC(O-16:0)
25176,494.4,184.1,52141.70385742188,494.4 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(P-,LPC(P-,1,(16:1),,494.4,184.1,494.3,184.1,575361.0708618164,494.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,547833.8089904785,PC2471.0920.0,LPC(16:1)|LPC(P-17:0)
25177,494.4,184.1,52141.70385742188,494.4 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(P-,LPC(P-,1,(16:1),,494.4,184.1,494.3,184.1,557173.8588867188,494.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,529653.3970031738,PC2471.0920.0,LPC(16:1)|LPC(P-17:0)
25347,496.4,184.1,53302.00384521485,496.4 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(O-,LPC(O-,0,(16:0),,496.4,184.1,496.3,184.1,464270.07568359375,496.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,438787.7337646485,PC2481.0920.0,LPC(16:0)|PC(O-16:0)|LPC(O-17:0)
25686,506.4,184.1,50958.98394775391,506.4 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(P-,LPC(P-,2,(17:2),,506.4,184.1,506.3,184.1,483133.83392333984,506.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,457096.4921264648,PC2531.0920.0,LPC(17:2)|LPC(P-18:1)
25856,508.4,184.1,51907.023193359375,508.4 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(O-,LPC(O-,1,(17:1),,508.4,184.1,508.3,184.1,513590.9287719727,508.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,484543.3467102051,PC2541.0920.0,LPC(17:1)|LPC(O-18:1)|LPC(P-18:0)
26026,510.4,184.1,41837.923095703125,510.4 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC(O-,LPC(O-,0,(16:0),,510.4,184.1,510.3,184.1,416712.7072753906,510.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,394806.645904541,PC2551.0920.0,PC(16:0)|PC(O-17:0)|LPC(O-18:0)
26196,516.3,184.1,41977.502990722656,516.3 -> 184.1,PC,PCandSM_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,PCandSM,0.0,LPC,LPC,4,(18:4),,516.3,184.1,516.3,184.1,289451.9224243164,516.3 -> 184.1,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,264616.42053222656,PC2581.0920.0,LPC(18:4)
