,Class,Transition,Lipid
3,CAR,374.2 -> 85.1,O-(11-carboxyundecanoyl)carnitine
4,CAR,384.3 -> 85.1,"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine"
5,CAR,388.3 -> 85.1,"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine"
9,CAR,402.3 -> 85.1,O-(13-carboxytridecanoyl)carnitine
10,CAR,412.3 -> 85.1,"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine"
16,CAR,438.3 -> 85.1,"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine"
17,CAR,440.3 -> 85.1,"3-hydroxylinoleoylcarnitine,"
18,CAR,442.3 -> 85.1,(9Z)-3-hydroxyoctadecenoylcarnitine
19,CAR,444.4 -> 85.1,"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine"
24,CAR,458.3 -> 85.1,O-(17-carboxyheptadecanoyl)carnitine
25,CAR,464.3 -> 85.1,3-hydroxyarachidonoylcarnitine
40,Cer,522.5 -> 206.3,"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))"
41,Cer,524.5 -> 206.3,"Cer(d14:2(4E,6E)/18:0(2OH))"
46,Cer,550.5 -> 206.3,"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))"
47,Cer,552.5 -> 208.3,Cer(d14:1(4E)/20:1(11Z)(2OH))
48,Cer,554.5 -> 208.3,Cer(d14:1(4E)/20:0(2OH))
49,Cer,556.5 -> 266.4,Cer(d18:0/16:0(2OH))
55,Cer,572.5 -> 282.4,Cer(t18:0/16:0(2OH))
56,Cer,578.5 -> 206.3,"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))"
57,Cer,580.5 -> 208.3,Cer(d14:1(4E)/22:1(13Z)(2OH))
58,Cer,582.5 -> 208.3,Cer(d14:1(4E)/22:0(2OH))
59,Cer,584.6 -> 266.4,Cer(d18:0/18:0(2OH))
65,Cer,600.6 -> 282.4,Cer(t18:0/18:0(2OH))
66,Cer,606.5 -> 234.3,"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))"
67,Cer,608.6 -> 206.3,"Cer(d14:2(4E,6E)/24:0(2OH))"
68,Cer,610.6 -> 208.3,Cer(d14:1(4E)/24:0(2OH))
69,Cer,612.6 -> 266.4,Cer(d18:0/20:0(2OH))
75,Cer,628.6 -> 282.4,Cer(t18:0/20:0(2OH))
76,Cer,636.6 -> 234.3,"Cer(d16:2(4E,6E)/24:0(2OH))"
77,Cer,638.6 -> 208.3,Cer(d14:1(4E)/26:0(2OH))
78,Cer,640.6 -> 266.4,Cer(d18:0/22:0(2OH))
83,Cer,656.6 -> 282.4,Cer(t18:0/22:0(2OH))
89,Cer,684.7 -> 282.4,Cer(t18:0/24:0(2OH))
92,Cer,708.7 -> 292.4,Cer(d20:0/26:0)
93,Cer,712.7 -> 282.4,Cer(t18:0/26:0(2OH))
94,Cer,724.7 -> 292.4,Cer(d20:0/26:0(2OH))
97,Cer,740.7 -> 310.4,Cer(t20:0/26:0(2OH))
124,CE,650.6 -> 369.1,16:3 Campesteryl ester
125,CE,652.6 -> 369.1,16:2 Campesteryl ester
130,CE,662.6 -> 369.1,16:3 Stigmasteryl ester
135,CE,670.6 -> 369.1,"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester"
136,CE,670.6 -> 369.1,"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester"
137,CE,678.6 -> 369.1,18:3 Campesteryl ester
138,CE,680.6 -> 369.1,"lanosteryl palmitoleate, 18:2 Campesteryl ester"
139,CE,682.6 -> 369.1,18:1 Campesteryl ester
140,CE,684.6 -> 369.1,"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated"
141,CE,684.6 -> 369.1,"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated"
145,CE,694.6 -> 369.1,"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester"
146,CE,696.6 -> 369.1,"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester"
147,CE,698.6 -> 369.1,"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester"
148,CE,698.6 -> 369.1,"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester"
149,CE,706.6 -> 369.1,20:3 Campesteryl ester
150,CE,708.6 -> 369.1,"lanosteryl oleate, 20:2 Campesteryl ester"
151,CE,710.6 -> 369.1,20:1 Campesteryl ester
152,CE,711.6 -> 369.1,Cholesteryl nitrolinoleate
153,CE,712.7 -> 369.1,20:0 Campesteryl ester
156,CE,718.6 -> 369.1,"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester"
157,CE,720.5 -> 369.1,"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester"
158,CE,722.6 -> 369.1,"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester"
161,CE,734.6 -> 369.1,22:3 Campesteryl ester
162,CE,736.7 -> 369.1,22:2 Campesteryl ester
163,CE,738.7 -> 369.1,22:1 Campesteryl ester
164,CE,740.7 -> 369.1,22:0 Campesteryl ester
165,CE,746.6 -> 369.1,22:3 Stigmasteryl ester
166,CE,748.7 -> 369.1,"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester"
167,CE,750.7 -> 369.1,"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester"
169,CE,754.7 -> 369.1,22:0 Sitosteryl ester
173,FA,227.3 -> 227.3,C14:0
174,FA,239.3 -> 239.3,C15:1
175,FA,241.3 -> 241.3,C15:0
176,FA,253.3 -> 253.3,C16:1
177,FA,255.3 -> 255.3,C16:0
178,FA,267.3 -> 267.3,C17:1
179,FA,269.3 -> 269.3,C17:0
180,FA,275.3 -> 275.3,C18:4
181,FA,277.3 -> 277.3,C18:3
182,FA,279.3 -> 279.3,C18:2
183,FA,281.3 -> 281.3,C18:1
186,FA,301.3 -> 301.3,C20:5
187,FA,303.3 -> 303.3,C20:4
188,FA,305.3 -> 305.3,C20:3
191,FA,327.3 -> 327.3,C22:6
192,FA,329.3 -> 329.3,C22:5
203,FA,451.4 -> 451.4,C30:0
204,FA,479.4 -> 479.4,C32:0
218,SM,451.3 -> 184.1,Lyso_C17 sphingosine-1-phosphocholine
220,SM,465.3 -> 184.1,Lyso_Sphingosine-1-phosphocholine
222,SM,467.4 -> 184.1,Lyso_Sphinganine-1-phosphocholine
238,PC,534.3 -> 184.1,Lyso_PC(19:2)
297,SM,761.6 -> 184.1,SM (d18:0/20:0)
306,PC,776.5 -> 184.1,PC (36:7)
307,PC,776.6 -> 184.1,PCo(36:0)
313,SM,785.6 -> 184.1,SM (d16:1/24:1)
316,PC,788.6 -> 184.1,PC (36:1)
318,PC,790.6 -> 184.1,PC (36:0); PCp(38:6)
319,PC,790.6 -> 184.1,PC (36:0); PCp(38:6)
324,PC,800.5 -> 184.1,PC (38:9)
325,PC,800.6 -> 184.1,PCo(38:2)
326,PC,802.5 -> 184.1,PC (38:8)
328,PC,804.6 -> 184.1,PC (38:7)
336,PC,814.6 -> 184.1,PC (38:2)
338,PC,816.6 -> 184.1,PC (38:1)
340,PC,818.6 -> 184.1,PCp(40:6)
344,PC,824.6 -> 184.1,PCo(40:4)
345,PC,826.5 -> 184.1,PC (40:10)
346,PC,826.6 -> 184.1,PCo(40:3)
347,PC,828.6 -> 184.1,PC (40:9)
349,PC,830.6 -> 184.1,PC (40:8)
351,PC,832.6 -> 184.1,PC (40:7)
362,PC,846.6 -> 184.1,PCp(42:6)
364,PC,848.6 -> 184.1,PCo(42:6)
366,PC,852.6 -> 184.1,PC (42:11)
368,PC,854.6 -> 184.1,PC (42:10)
370,PC,856.6 -> 184.1,PC (42:9)
372,PC,858.6 -> 184.1,PC (42:8)
374,PC,860.6 -> 184.1,PC (42:7)
383,PC,878.6 -> 184.1,PC (44:12)
386,PC,882.6 -> 184.1,PC (44:10)
388,PC,886.6 -> 184.1,PC (44:8)
389,PC,888.6 -> 184.1,PC (44:7)
407,PE,412.2 -> 270.2,Lyso_PE(13:0)
408,PE,424.2 -> 282.2,Lyso_PE(14:1)
410,PE,426.3 -> 284.3,Lyso_PE(14:0)
412,PE,438.3 -> 296.3,Lyso_PE(15:1)
414,PE,440.3 -> 298.3,Lyso_PE(15:0)
415,PE,452.3 -> 310.3,Lyso_PE(16:1)
417,PE,454.3 -> 312.3,Lyso_PE(16:0)
418,PE,454.3 -> 313.3,PE (16:0)
419,PE,464.3 -> 322.3,Lyso_PE(17:2)
420,PE,466.3 -> 324.3,Lyso_PE(17:1)
422,PE,468.3 -> 326.3,Lyso_PE(17:0)
424,PE,474.3 -> 332.3,Lyso_PE(18:4)
426,PE,476.3 -> 334.3,Lyso_PE(18:3)
