IDs,Names,Lipid,Transition,Class
Not Found,Not Found,CAR_QUAL,162.2 -> 60.1,CAR
Not Found,Not Found,CAR,162.2 -> 85.1,CAR
Not Found,Not Found,CAR(2:0)_QUAL,204.1 -> 60.1,CAR
"LMFA07070049, LMFA07070060, LMFA07070050","Acetyl-D-carnitine, DL-Acetylcarnitine, Acetyl-L-carnitine",CAR(2:0),204.1 -> 85.1,CAR
Not Found,Not Found,CAR(3:1)_QUAL,216.1 -> 60.1,CAR
LMFA07070104,Propenoylcarnitine,CAR(3:1),216.1 -> 85.1,CAR
Not Found,Not Found,CAR(3:0)_QUAL,218.1 -> 60.1,CAR
"LMFA07070099, LMFA07070005, LMFA07070105","O-propanoyl-D-carnitine, O-propanoyl-carnitine, Propionylcarnitine",CAR(3:0),218.1 -> 85.1,CAR
Not Found,Not Found,CAR(4:1)_QUAL,230.1 -> 60.1,CAR
LMFA07070053,Butenylcarnitine,CAR(4:1),230.1 -> 85.1,CAR
Not Found,Not Found,CAR(4:0)_QUAL,232.2 -> 60.1,CAR
"LMFA07070003, LMFA07070075, LMFA07070054","O-butanoyl-carnitine, Isobutyryl-L-carnitine, Butyrylcarnitine",CAR(4:0),232.2 -> 85.1,CAR
Not Found,Not Found,CAR(5:1)_QUAL,244.2 -> 60.1,CAR
"LMFA07070030, LMFA07070108","2-ethylacryloylcarnitine, Tiglylcarnitine",CAR(5:1),244.2 -> 85.1,CAR
Not Found,Not Found,CAR(5:0)_QUAL,246.2 -> 60.1,CAR
"LMFA07070076, LMFA07070111, LMFA07070103, LMFA07070034, LMFA07070077","Isovalerylcarnitine, Valerylcarnitine, pivaloylcarnitine, 2-Methylbutyroylcarnitine, isovaleryl-L-carnitine",CAR(5:0),246.2 -> 85.1,CAR
Not Found,Not Found,CAR(6:1)_QUAL,258.2 -> 60.1,CAR
LMFA07070031,2-Hexenoylcarnitine,CAR(6:1),258.2 -> 85.1,CAR
Not Found,Not Found,CAR(6:0)_QUAL,260.2 -> 60.1,CAR
"LMFA07070070, LMFA07070001","Hexanoylcarnitine, O-hexanoyl-R-carnitine",CAR(6:0),260.2 -> 85.1,CAR
Not Found,Not Found,CAR(7:0)_QUAL,274.2 -> 60.1,CAR
LMFA07070068,Heptanoylcarnitine,CAR(7:0),274.2 -> 85.1,CAR
Not Found,Not Found,CAR(8:1)_QUAL,286.2 -> 60.1,CAR
"LMFA07070035, LMFA07070014","2-octenoyl-L-carnitine, (2E)-octenoylcarnitine",CAR(8:1),286.2 -> 85.1,CAR
Not Found,Not Found,CAR(8:0)_QUAL,288.2 -> 60.1,CAR
"LMFA07070002, LMFA07070095","O-octanoyl-R-carnitine, O-octanoylcarnitine",CAR(8:0),288.2 -> 85.1,CAR
Not Found,Not Found,CAR(9:0)_QUAL,302.2 -> 60.1,CAR
