,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Dilution Factor,Sex2,Sex,Genotype,Brain Region,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain,IDs,Names
0,CAR_QUAL,162.2,60.1,81529.0259399414,162.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,None,None,Not Found,Not Found
1,CAR,162.2,85.1,43366.06298828125,162.2 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,None,None,Not Found,Not Found
2,CAR(2:0)_QUAL,204.1,60.1,395996.7683105469,204.1 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(2:0),None,Not Found,Not Found
3,CAR(2:0),204.1,85.1,9820295.890625,204.1 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(2:0),None,"LMFA07070049, LMFA07070060, LMFA07070050","Acetyl-D-carnitine, DL-Acetylcarnitine, Acetyl-L-carnitine"
4,CAR(3:1)_QUAL,216.1,60.1,114578.34790039062,216.1 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(3:1),None,Not Found,Not Found
5,CAR(3:1),216.1,85.1,327042.8210449219,216.1 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(3:1),None,LMFA07070104,Propenoylcarnitine
6,CAR(3:0)_QUAL,218.1,60.1,107413.6280517578,218.1 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(3:0),None,Not Found,Not Found
7,CAR(3:0),218.1,85.1,270974.60119628906,218.1 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(3:0),None,"LMFA07070099, LMFA07070005, LMFA07070105","O-propanoyl-D-carnitine, O-propanoyl-carnitine, Propionylcarnitine"
8,CAR(4:1)_QUAL,230.1,60.1,278300.5791015625,230.1 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(4:1),None,Not Found,Not Found
9,CAR(4:1),230.1,85.1,978969.513671875,230.1 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(4:1),None,LMFA07070053,Butenylcarnitine
10,CAR(4:0)_QUAL,232.2,60.1,86956.88671875,232.2 -> 60.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(4:0),None,Not Found,Not Found
