lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
22:2 Campesteryl ester,2.1509723340057803,10.479420364387064,18.680129033746198,1.5458510405310414e-5,0.011570695038374844,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.9358673096,560526.3181762695,350653.6643676758,191685.9516410828,109390.46683120728,80835.36569976807
22:3 Campesteryl ester,2.1975450725326686,10.712409255667929,19.417093172392924,1.0506250898021601e-5,0.011570695038374844,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668,78485.72638702393
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",1.9868472972393387,10.822161087494678,16.168161684268856,5.79601511728074e-5,0.018850444696933297,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504,79871.64535522461
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",2.0273887093531706,10.832265367392754,16.77600588170753,4.2061808676713114e-5,0.018850444696933297,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4263195.970428467,2450399.517211914,1237139.4935913086,480094.9753990173,260850.21912384036,759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408,78654.8657836914
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",1.9763013761204988,10.84635730429956,16.01144459530769,6.296073713070574e-5,0.018850444696933297,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4335094.217636108,2424601.445907593,1214155.489013672,473240.09295654297,260224.8973274231,785230.433883667,486303.7544708252,242612.57849502563,212423.1340522766,95162.20687866212
TAG(58:8)_FA 20:0,-1.746966137520976,6.853267389528959,13.854250984406942,1.9754934245513496e-4,0.049288560942556174,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,TAG,28455.601776123047,35273.68272399902,40271.56262207031,36963.423263549805,24750.1417388916,34199.32277679443,347220.5799560547,42440.74317932129,25080.001861572266,27536.982162475582
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",1.7646659880562072,10.941656532361442,12.993453322342248,3.125819420297644e-4,0.06684788103122247,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4266531.996337891,2546012.7651367188,1304348.4512939453,547096.079498291,299023.34020996094,886596.4566040039,609977.1625366211,312567.95877075195,252679.2993774414,186491.7528076172
PS (32:5),1.7398346342167637,7.835618948130632,12.655387237306059,3.7448502183409327e-4,0.0700755097107047,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,PS,34273.522399902344,65589.324462890625,26214.4017868042,45109.22280883789,718289.7510681152,30044.382289886475,21637.281494140625,142611.30975341797,50807.263427734375,43834.64358520508
20:0 Campesteryl ester,1.5593353312749387,11.124272196025183,10.311620747263078,0.0013219513401806315,0.1838883125578748,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,1051954.5400390625,802405.31298828125,404391.10778808594,333963.88360595703,317584.8635253906
22:5 Cholesteryl ester,1.5431169562734384,11.142369574079733,10.110768794780597,0.0014740546096823632,0.1838883125578748,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453,343852.4637451172
22:6 Cholesteryl ester,1.5498270452427403,11.11575154820344,10.193666986742755,0.0014092379460628503,0.1838883125578748,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617188,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297,318345.9444580078
Cholesteryl nitrolinoleate,1.5472836702041775,11.090286813460084,10.162211171817034,0.0014334859045068147,0.1838883125578748,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4343857.308349609,2643083.231811523,1497477.1091308594,648281.0699462891,371760.6458129883,1035345.849609375,787725.51953125,392853.3888854981,329565.4995727539,321258.66369628906
20:1 Campesteryl ester,1.5192527630535553,11.053806347730735,9.818246171431383,0.0017278903144366245,0.1984377444271286,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,310572.0031738281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1.5084454037447264,11.16252652504021,9.686965945264092,0.001855797209071343,0.1984377444271286,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,1093322.7568359375,861990.7429199219,423409.3279418945,346047.02673339844,370215.2233886719
PG (32:5),1.4300715861664832,8.00962136199443,8.757212616750621,0.003083800070177281,0.3077632470036926,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,PG,56995.0637512207,66687.0654296875,55179.38348388672,45016.04336547852,738903.2070922852,64834.60479736328,61361.8037109375,141260.64776611328,55899.803955078125,52170.14404296875
"lanosteryl oleate, 20:2 Campesteryl ester",1.3141406318292934,10.82689608574865,7.457059473352274,0.0063188142503237945,0.59120405829592,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CE,3263123.1767578125,2069157.8939208984,1236304.8525390625,569448.6436157227,348855.00384521484,916787.4792480468,753635.3916015625,374125.9454345703,316658.740234375,399176.990234375
"(11Z,14Z)-eicosadienoylcarnitine",0.11219216372929541,11.422355995683382,0.05781509593361989,0.8099832041528789,0.9998955566973985,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.10565635287057135,11.445605650371157,0.051285238085256424,0.8208417666215679,0.9998955566973985,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.16899790938172968,11.448323981593894,0.1309515665743675,0.717447455259342,0.9998955566973985,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.16896895477343832,12.055373608351793,0.13090695733922075,0.7174935217953694,0.9998955566973985,5,4,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ cortex,CAR,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2184246.087890625,2205746.576171875,2470854.001464844,2018780.2897949216,2077579.7651367188
