lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023
22:3 Campesteryl ester,2.944827976377033,10.543282191200262,32.24831877710675,1.3567443085647643e-8,2.031046229921452e-5,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,345234.3631744385,229129.03816223145,175946.43223571777,34748.142459869385,32327.26247024536,78485.72638702393
22:2 Campesteryl ester,2.7614975716910144,10.32512903478769,28.79918894220827,8.028472636029844e-8,6.009311768068338e-5,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.93586730957,310858.8617248535,204018.31434631348,165681.3123474121,55576.944202423096,53085.56405258179,80835.36569976807
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",2.3755263695489166,10.713920310790414,21.977175390755292,2.759122570229398e-6,0.0013768021625444695,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4263195.970428467,2450399.517211914,1237139.4935913086,480094.97539901733,260850.21912384033,429962.6456832886,281520.3006362915,380934.2229003906,58387.70426940918,56851.843799591064,78654.8657836914
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",2.3384633125027223,10.703127401565185,21.356726523517864,3.8128063443193885e-6,0.0014269427743615311,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,418908.9720458984,288414.3606262207,395202.1464691162,60594.46385574341,54126.38396835327,79871.64535522461
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",2.3076321661262305,10.730905511069862,20.84557384053187,4.978413842951288e-6,0.0014905371045796155,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4335094.217636108,2424601.445907593,1214155.489013672,473240.09295654297,260224.8973274231,440693.1749420166,302909.70166015625,399352.206993103,67133.70456695557,60102.20470428467,95162.20687866212
PS (32:5),2.0518792226373757,7.658894083871182,16.7874503092512,4.1808890224876234e-5,0.01043131811110662,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,PS,34273.522399902344,65589.324462890625,26214.4017868042,45109.22280883789,718289.7510681152,42006.22310256958,20760.681663513184,32196.062271118164,48801.88397216797,47388.063537597656,43834.64358520508
PG (32:5),2.0080387439378606,7.783164845581415,16.126442877989803,5.9250950563239555e-5,0.012671238999024231,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,PG,56995.0637512207,66687.0654296875,55179.38348388672,45016.043365478516,738903.2070922852,28723.361907958984,67011.54473876953,24903.141830444336,50010.76354980469,53159.36410522461,52170.14404296875
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",1.9637210168173707,10.850245209400404,15.469392640661681,8.385213833761588e-5,0.015690831386426372,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4266531.996337891,2546012.7651367188,1304348.4512939453,547096.079498291,299023.34020996094,551197.3804321289,404505.4692993164,510826.01599121094,108040.34707641602,97633.84701538086,186491.7528076172
Lyso_PE(18:4),1.9218417510728893,8.589232948389032,14.857847762727943,1.1592473622564548e-4,0.01928214779219903,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,PE,128090.62939453124,98033.467529296875,906425.1446533204,39787.3427734375,602193.0234375,160638.87255859375,112687.5479736328,27969.562103271484,35946.782318115234,90881.506103515625,48831.60382080078
20:0 Campesteryl ester,1.6094675359869417,11.06904718836103,10.624801048877998,0.0011158097255267192,0.16703671591134983,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,726330.0109863281,579660.4241943359,684587.46630859375,186229.01287841797,183809.9330444336,317584.8635253906
