,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,10.8,3.1
2,[TG(52:5)]_FA16:1,5xFAD,7.3,
3,[TG(50:3)]_FA18:1,WT,95.1,5.7
6,[TG(50:3)]_FA18:1,5xFAD,98.7,2.9
11,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
14,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,
15,"[TG(55:9),TG(54:2)]_FA18:1",WT,96.6,3.5
20,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,100.0,0.0
25,"[TG(55:10),TG(54:3)]_FA18:1",WT,96.6,3.2
30,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,99.0,1.3
34,"[TG(55:11),TG(54:4)]_FA18:1",WT,98.1,2.6
39,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,91.0,10.5
44,[TG(54:5)]_FA18:1,WT,93.0,6.8
49,[TG(54:5)]_FA18:1,5xFAD,99.5,1.1
54,[TG(54:6)]_FA18:1,WT,100.0,0.0
56,[TG(54:6)]_FA18:1,5xFAD,100.0,
57,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
60,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,
61,"[TG(57:10),TG(56:3)]_FA18:1",WT,100.0,0.0
64,"[TG(57:11),TG(56:4)]_FA18:1",WT,100.0,0.0
67,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,
