,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,6.6,5.8
2,[TG(52:5)]_FA16:1,5xFAD,6.8,
3,[TG(50:3)]_FA18:1,WT,98.6,2.9
7,[TG(50:3)]_FA18:1,5xFAD,100.0,0.0
10,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
13,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,0.0
16,"[TG(55:9),TG(54:2)]_FA18:1",WT,88.8,4.1
21,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,98.7,3.1
27,"[TG(55:10),TG(54:3)]_FA18:1",WT,94.1,2.1
32,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,98.8,1.6
37,"[TG(55:11),TG(54:4)]_FA18:1",WT,95.2,6.7
42,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,98.5,2.7
48,[TG(54:5)]_FA18:1,WT,93.5,9.3
52,[TG(54:5)]_FA18:1,5xFAD,99.1,2.1
58,[TG(54:6)]_FA18:1,WT,100.0,
59,[TG(54:6)]_FA18:1,5xFAD,100.0,0.0
62,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
66,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,
67,"[TG(57:10),TG(56:3)]_FA18:1",WT,96.4,5.1
69,"[TG(57:11),TG(56:4)]_FA18:1",WT,97.6,3.4
71,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,
72,"[TG(56:7),]_FA18:1",WT,100.0,
73,"[TG(56:7),]_FA18:1",5xFAD,100.0,
