Sample Name,Position,Dilution Factor,Tumor
IPA Wash,P2-A1,Blank,Blank
Blank non LD,P2-A2,Blank,Blank
Blank LD,P2-A3,Blank,Blank
C57BL-6_Proneural_Sample19_Tumor_nonLD,P2-B1,100x,Tumor
C57BL-6_Proneural_Sample18_Tumor_nonLD,P2-B2,100x,Tumor
C57BL-6_Proneural_Sample24_Tumor_nonLD,P2-B3,100x,Tumor
C57BL-6_Mesenchymal_Sample1_Tumor_nonLD,P2-B4,100x,Tumor
C57BL-6_Mesenchymal_Sample61_Tumor_nonLD,P2-B5,100x,Tumor
C57BL-6_Mesenchymal_Sample46_Tumor_nonLD,P2-B6,100x,Tumor
C57BL-6_Proneural_Sample19_NonTumor_nonLD,P2-B7,100x,NonTumor
C57BL-6_Proneural_Sample18_NonTumor_nonLD,P2-B8,100x,NonTumor
C57BL-6_Proneural_Sample24_NonTumor_nonLD,P2-B9,100x,NonTumor
C57BL-6_Mesenchymal_Sample1_NonTumor_nonLD,P2-C1,100x,NonTumor
C57BL-6_Mesenchymal_Sample61_NonTumor_nonLD,P2-C2,100x,NonTumor
C57BL-6_Mesenchymal_Sample46_NonTumor_nonLD,P2-C3,100x,NonTumor
C57BL-6_Proneural_Sample19_Tumor_ LD,P2-C4,100x,Tumor
C57BL-6_Proneural_Sample18_Tumor_ LD,P2-C5,100x,Tumor
C57BL-6_Proneural_Sample24_Tumor_ LD,P2-C6,100x,Tumor
C57BL-6_Mesenchymal_Sample1_Tumor_ LD,P2-C7,100x,Tumor
C57BL-6_Mesenchymal_Sample61_Tumor_ LD,P2-C8,100x,Tumor
C57BL-6_Mesenchymal_Sample46_Tumor_ LD,P2-C9,100x,Tumor
C57BL-6_Proneural_Sample19_NonTumor_ LD,P2-D1,100x,NonTumor
C57BL-6_Proneural_Sample18_NonTumor_ LD,P2-D2,100x,NonTumor
C57BL-6_Proneural_Sample24_NonTumor_ LD,P2-D3,100x,NonTumor
C57BL-6_Mesenchymal_Sample1_NonTumor_ LD,P2-D4,100x,NonTumor
C57BL-6_Mesenchymal_Sample61_NonTumor_ LD,P2-D5,100x,NonTumor
C57BL-6_Mesenchymal_Sample46_NonTumor_ LD,P2-D6,100x,NonTumor
