lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PG (32:5),-3.42977602966789,8.649066225201606,32.916910161653504,9.618298516232367e-9,1.4398592878799854e-5,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,PG,28723.361907958984,67011.54473876953,24903.141830444336,50010.76354980469,53159.36410522461,1390551.1256103516,58263.66400146485,52151.98425292969,52170.14404296875
C24:6,-2.2319442318185243,6.496623681368825,14.698344762808574,1.2615717345307577e-4,0.0629524295530848,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,FFA,14555.08102798462,13046.480945587158,12623.040897369385,47890.76341247559,9405.680633544922,13269.780883789062,13179.320930480955,258853.2403793335,15041.60111618042
PS (32:5),-2.2738422889173093,7.597381682046864,15.238047542468394,9.477464481543844e-5,0.0629524295530848,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,PS,42006.22310256958,20760.681663513184,32196.062271118164,48801.88397216797,47388.063537597656,526516.2245483398,33125.182247161865,46853.883239746094,43834.64358520508
PGp (34:4),-1.8494082865392212,7.175818162295178,10.172946228113462,0.0014251635809196573,0.5333674701591817,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,PG,24384.581859588623,59920.22482299805,15333.101131439207,43121.02276611328,45261.66339111328,322507.24548339844,46082.0033569336,43702.40301513672,39228.48287963867
PG (34:6),-1.7881846368504832,7.48458703623332,9.518231326625028,0.0020344056092578226,0.6091010394117921,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,PG,24153.501556396484,81264.82537841797,15447.06103515625,58262.48403930664,63944.04525756836,377565.8013305664,64470.34359741211,61105.563903808594,49891.1640625
"(11Z,14Z)-eicosadienoylcarnitine",0.25814842349990214,11.659608779920667,0.18732484826614382,0.6651525122868117,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.22946521696158442,11.669035912393936,0.14829109267520835,0.7001738296869315,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.2540315877578809,11.646581698914583,0.18144750503415707,0.6701322174802543,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.2240759958720369,12.285450184512653,0.14145750549505465,0.7068363325287994,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808596,2338786.489624023,2207064.514526367,2303434.271972656,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",0.40782587634503237,16.830423702072338,0.46271308829786406,0.496358730016957,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,30582186.538085938,28337082.12988281,139608184.45239258,26376597.729492188,25367756.57104492,26782130.58300781,71101793.19970703,66282272.07910156,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.28708661991202555,11.457546039196588,0.2312266607377751,0.6306157660174653,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172,1245549.2482910156,1155280.1492919922,1153606.4608154297,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",0.24651636794657225,12.013787425990406,0.17095590422104578,0.6792636589852459,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,1606353.2426757812,1873921.4216308596,1902876.1496582031,2005393.249267578,1818268.425048828,1825433.856201172,1740083.2781982422,1721781.189453125,2578376.07409668
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.21454694676601618,14.984743948363676,0.12976304115863302,0.7186778525270626,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812,16027996.416015623,16234431.17919922,16859631.28076172,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.24822198553368618,13.767015763101005,0.17331025749016726,0.677186478873683,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.868164063,6432831.161865234,6656555.244384766,6981670.763916016,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,0.21879350861297764,15.065740416687692,0.1349133017952986,0.7133911809491758,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,23314671.77001953,12741658.96826172,19088064.09716797,16634745.890625,15611679.19482422,16846448.53515625,17096836.13671875,17868681.639160156,2395006.220703125
