lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PG (32:5),-3.1126071504660113,9.023155817145941,22.932345333032572,1.6780429857560364e-6,0.0025120303496767864,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,PG,69036.98474121094,59599.624603271484,56953.104248046875,1390551.1256103516,58263.66400146485,52151.98425292969,52170.14404296875
Cer(d18:2/22:0),-2.3276782856222384,12.958611764038865,13.677203136041731,2.1707367216917348e-4,0.09861520355590468,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,Cer,1038344.095703125,2183185.178466797,1487201.7111816406,1942072.0131835935,8367852.797119141,10945631.022216797,284826.11853027344
Lyso_PS(20:2) | PS (20:2)_2,2.398239704655721,9.29543817571288,14.441136840665422,1.446087730352403e-4,0.09861520355590468,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,PS,162181.99141311646,1324859.714050293,366582.3260498047,48791.58422470093,78494.06533813477,180147.79452514648,80939.62471008301
PS (32:5),-2.293635866333992,7.878902102809591,13.31350826338985,2.6350087790488893e-4,0.09861520355590468,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,PS,25751.381797790527,50682.403869628906,56235.723724365234,526516.2245483398,33125.182247161865,46853.883239746094,43834.64358520508
Cer(d18:2/14:0),-2.236439393755368,9.72297174589731,12.711849268456715,3.633459440143993e-4,0.10552354778051705,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,Cer,174427.89269256592,152164.46856689453,190887.815322876,224569.14073944092,734661.9940185547,1252961.2428741455,40619.60283660889
Lyso_PS(20:2) | PS (20:2),2.2091289194359165,9.259496921758322,12.42801994826732,4.2294007126459737e-4,0.10552354778051705,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,PS,53945.304470062256,1309739.403869629,406250.045715332,70398.02376556396,83133.02516174316,181936.4906005859,78611.82608032227
"(11Z,14Z)-eicosadienoylcarnitine",-0.1183607667050465,11.612201324074457,0.03896736437218351,0.8435133317653433,0.9995827909132259,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,1332756.2084960938,1313436.7885742188,1536662.2856445312,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.1487793010175594,11.620776260892049,0.061560189384181285,0.8040467769711447,0.9995827909132259,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,1300758.2841796875,1356376.1943359375,1553075.8388671875,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.1424952504228154,11.59425283456144,0.056471789263014216,0.8121619235000687,0.9995827909132259,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,1284612.1057128906,1277668.0494384766,1509455.984741211,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.04628878278380497,12.253177362287373,0.00596129539917456,0.9384569434994973,0.9995827909132259,3,3,Genotype_ WT | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ hippo,CAR,3004035.1204833984,2011026.9294433591,2188599.0122070312,2338786.489624023,2207064.514526367,2303434.271972656,2077579.7651367188
