lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
Cer(d18:2/14:0),3.156935269995882,10.517332085142298,22.406508604201008,2.206250883514158e-6,0.0033027575726206947,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,3416852.9455070496,269664.724155426,694974.3241043091,174427.89269256592,152164.46856689453,190887.815322876,40619.60283660889
Cer(d18:2/22:0),2.7601210977101527,13.332480923570017,17.71940873090791,2.5600123474777127e-5,0.01916169242087068,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,21876463.47729492,2192631.454345703,5911809.000732422,1038344.095703125,2183185.178466797,1487201.7111816406,284826.11853027344
Cer(d18:1/22:0),2.0628561948194224,9.153601500877144,10.44121164305352,0.0012323440283502978,0.4984553165253018,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,1037137.8373565674,160806.1912765503,307433.958732605,100939.0463218689,160411.19227600098,119152.56928253174,49472.7434463501
CerP(d18:1/16:0),2.003202738435827,9.186001650508633,9.886621687161096,0.0016648474165841744,0.4984553165253018,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,1047218.1471862792,161611.6707763672,317005.54399108887,105640.08877563477,175879.49389648438,121013.00926208496,51915.16375732422
Lyso_PS(20:2) | PS (20:2)_2,-2.030736620670667,9.366832566172247,10.14113413202358,0.0014499692603937612,0.4984553165253018,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,PS,73165.14535522461,89653.12752914429,270398.1398925781,162181.99141311646,1324859.714050293,366582.3260498047,80939.62471008301
Lyso_PS(20:2) | PS (20:2),-1.951672549329505,9.315668002119953,9.417262265196769,0.0021495220564976335,0.5363057530961596,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,PS,71950.42471313477,92326.08652114868,272683.3405761719,53945.304470062256,1309739.403869629,406250.045715332,78611.82608032227
"(11Z,14Z)-eicosadienoylcarnitine",0.06416059156221329,11.599634776247013,0.010920311387963011,0.9167723352002879,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1464825.83203125,1445031.9301757812,1422254.4301757812,1332756.2084960938,1313436.7885742188,1536662.2856445312,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.06683466402728652,11.59653294402174,0.011849466754938476,0.9133172962294289,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1450974.412109375,1446175.0439453125,1469500.5795898438,1300758.2841796875,1356376.1943359375,1553075.8388671875,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.10630992636904522,11.588841174603784,0.029976676880323794,0.8625431609566687,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1547859.026428223,1384342.3704833984,1401085.4095458984,1284612.1057128906,1277668.0494384766,1509455.984741211,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.079245701409164,12.210101903028821,0.016658326698234305,0.897304522753455,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,2341072.076904297,2281951.5776367188,2132253.7890625,3004035.1204833984,2011026.9294433591,2188599.0122070312,2077579.7651367188
