,Lipid,Genotype,n-9_avg,std_dev
0,[TG(50:3)]_FA18:1,WT,100.0,0.0
2,[TG(50:3)]_FA18:1,5xFAD,100.0,0.0
4,"[TG(55:9),TG(54:2)]_FA18:1",WT,100.0,0.0
9,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,100.0,0.0
13,"[TG(55:10),TG(54:3)]_FA18:1",WT,98.9,1.9
18,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,100.0,0.0
22,"[TG(55:11),TG(54:4)]_FA18:1",WT,100.0,0.0
25,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,100.0,0.0
29,[TG(54:5)]_FA18:1,WT,100.0,
30,[TG(54:5)]_FA18:1,5xFAD,100.0,0.0
33,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
35,"[TG(57:10),TG(56:3)]_FA18:1",WT,100.0,
