,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,5xFAD,2.1,
1,[TG(50:3)]_FA18:1,WT,100.0,0.0
5,[TG(50:3)]_FA18:1,5xFAD,100.0,0.0
8,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,
9,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,
10,"[TG(55:9),TG(54:2)]_FA18:1",WT,97.7,3.3
15,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,100.0,0.0
19,"[TG(55:10),TG(54:3)]_FA18:1",WT,97.7,1.4
24,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,99.1,1.9
28,"[TG(55:11),TG(54:4)]_FA18:1",WT,96.8,4.6
33,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,99.4,1.3
37,[TG(54:5)]_FA18:1,WT,98.5,2.3
42,[TG(54:5)]_FA18:1,5xFAD,98.8,2.3
46,[TG(54:6)]_FA18:1,WT,100.0,
47,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
49,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,
50,"[TG(57:10),TG(56:3)]_FA18:1",WT,100.0,0.0
52,"[TG(57:11),TG(56:4)]_FA18:1",WT,100.0,
53,"[TG(56:7),]_FA18:1",WT,100.0,
