,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,5.3,1.5
2,[TG(52:5)]_FA16:1,5xFAD,3.4,
3,[TG(50:3)]_FA18:1,WT,100.0,0.0
6,[TG(50:3)]_FA18:1,5xFAD,100.0,0.0
11,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
13,"[TG(55:9),TG(54:2)]_FA18:1",WT,97.5,3.4
18,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,100.0,0.0
22,"[TG(55:10),TG(54:3)]_FA18:1",WT,96.9,2.9
27,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,98.9,1.6
31,"[TG(55:11),TG(54:4)]_FA18:1",WT,94.8,5.2
36,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,97.2,3.8
40,[TG(54:5)]_FA18:1,WT,97.1,3.0
45,[TG(54:5)]_FA18:1,5xFAD,99.3,1.5
49,[TG(54:6)]_FA18:1,WT,100.0,0.0
51,[TG(54:6)]_FA18:1,5xFAD,100.0,
52,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
54,"[TG(57:10),TG(56:3)]_FA18:1",WT,100.0,0.0
57,"[TG(57:11),TG(56:4)]_FA18:1",WT,100.0,0.0
59,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,
