,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,WT,3.8,0.0
2,[TG(52:5)]_FA16:1,5xFAD,2.8,
3,[TG(50:3)]_FA18:1,WT,98.7,2.6
7,[TG(50:3)]_FA18:1,5xFAD,100.0,0.0
10,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
13,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,0.0
15,"[TG(55:9),TG(54:2)]_FA18:1",WT,90.6,3.2
20,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,100.0,0.0
24,"[TG(55:10),TG(54:3)]_FA18:1",WT,94.3,2.3
29,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,98.8,1.8
33,"[TG(55:11),TG(54:4)]_FA18:1",WT,95.0,7.3
38,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,97.7,3.1
42,[TG(54:5)]_FA18:1,WT,97.1,4.5
46,[TG(54:5)]_FA18:1,5xFAD,99.2,1.7
50,[TG(54:6)]_FA18:1,WT,100.0,
51,[TG(54:6)]_FA18:1,5xFAD,100.0,
52,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
54,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,0.0
57,"[TG(57:10),TG(56:3)]_FA18:1",WT,100.0,0.0
59,"[TG(57:11),TG(56:4)]_FA18:1",WT,97.7,3.3
61,"[TG(57:11),TG(56:4)]_FA18:1",5xFAD,100.0,
62,"[TG(56:7),]_FA18:1",5xFAD,100.0,
